menu,price,order_time
케이크,1930,2024-12-30 03:45:56
케이크,28571,2024-12-30 17:07:56
아메리카노,6845,2024-12-30 11:06:56
케이크,6641,2024-12-29 20:45:56
케이크,12552,2024-12-30 12:15:56
아메리카노,13367,2024-12-30 09:37:56
아메리카노,17580,2024-12-30 07:55:56
케이크,23506,2024-12-29 23:26:56
카푸치노,29166,2024-12-30 00:52:56
아메리카노,17485,2024-12-29 23:39:56
아메리카노,26777,2024-12-30 16:29:56
케이크,17128,2024-12-30 16:12:56
케이크,15937,2024-12-30 14:48:56
아메리카노,19277,2024-12-30 10:57:56
케이크,5317,2024-12-30 01:44:56
케이크,23847,2024-12-30 12:12:56
카푸치노,21877,2024-12-30 00:38:56
아메리카노,6666,2024-12-30 10:10:56
케이크,14852,2024-12-30 05:13:56
케이크,10369,2024-12-29 17:39:56
카푸치노,19830,2024-12-30 11:46:56
카푸치노,16352,2024-12-30 13:52:56
카푸치노,12037,2024-12-30 09:49:56
카푸치노,23243,2024-12-29 18:55:56
카푸치노,14655,2024-12-29 23:21:56
케이크,16840,2024-12-30 09:26:56
아메리카노,26935,2024-12-30 15:08:56
카푸치노,8289,2024-12-30 12:37:56
케이크,28705,2024-12-30 08:59:56
아메리카노,8361,2024-12-30 05:42:56
케이크,15274,2024-12-30 09:53:56
카푸치노,4110,2024-12-30 07:22:56
아메리카노,3256,2024-12-30 13:21:56
아메리카노,22939,2024-12-30 09:22:56
케이크,26897,2024-12-29 19:45:56
카푸치노,2938,2024-12-29 18:27:56
케이크,29213,2024-12-29 22:16:56
케이크,5917,2024-12-30 05:23:56
케이크,2642,2024-12-30 07:35:56
카푸치노,17151,2024-12-30 16:00:56
케이크,28704,2024-12-29 17:53:56
아메리카노,2710,2024-12-30 05:06:56
케이크,3643,2024-12-30 10:05:56
카푸치노,16084,2024-12-30 05:19:56
아메리카노,27930,2024-12-30 14:30:56
카푸치노,18949,2024-12-30 03:40:56
아메리카노,13393,2024-12-30 14:06:56
아메리카노,22928,2024-12-30 10:00:56
케이크,13213,2024-12-30 16:47:56
카푸치노,27328,2024-12-29 22:01:56
케이크,28872,2024-12-30 11:35:56
케이크,7618,2024-12-30 15:15:56
아메리카노,2832,2024-12-29 20:59:56
케이크,9167,2024-12-30 11:22:56
케이크,10176,2024-12-29 19:47:56
카푸치노,10459,2024-12-30 00:26:56
아메리카노,1129,2024-12-29 20:03:56
카푸치노,26712,2024-12-29 19:26:56
아메리카노,2077,2024-12-30 10:16:56
아메리카노,19956,2024-12-30 06:22:56
카푸치노,5085,2024-12-30 10:00:56
아메리카노,21803,2024-12-30 04:18:56
카푸치노,21133,2024-12-30 13:56:56
케이크,28602,2024-12-29 18:10:56
아메리카노,4731,2024-12-29 18:08:56
카푸치노,4062,2024-12-29 22:22:56
케이크,21394,2024-12-30 11:21:56
아메리카노,27117,2024-12-30 16:56:56
카푸치노,18921,2024-12-30 04:34:56
아메리카노,6402,2024-12-30 01:28:56
카푸치노,11736,2024-12-29 18:58:56
카푸치노,8943,2024-12-29 20:06:56
아메리카노,6739,2024-12-30 08:53:56
케이크,4005,2024-12-30 16:15:56
카푸치노,2716,2024-12-30 09:44:56
케이크,13974,2024-12-30 02:48:56
카푸치노,20194,2024-12-30 09:08:56
카푸치노,7379,2024-12-30 17:12:56
카푸치노,25770,2024-12-29 18:29:56
카푸치노,27453,2024-12-29 18:13:56
카푸치노,24096,2024-12-30 03:17:56
카푸치노,5666,2024-12-30 07:19:56
아메리카노,19679,2024-12-30 02:12:56
케이크,7548,2024-12-29 19:35:56
카푸치노,17107,2024-12-30 10:52:56
케이크,23477,2024-12-29 23:38:56
카푸치노,7114,2024-12-30 01:16:56
카푸치노,3960,2024-12-29 20:25:56
카푸치노,20530,2024-12-30 13:32:56
카푸치노,23313,2024-12-30 05:35:56
아메리카노,3184,2024-12-30 00:46:56
카푸치노,25573,2024-12-30 15:48:56
카푸치노,14895,2024-12-29 22:18:56
아메리카노,22531,2024-12-30 11:23:56
아메리카노,27491,2024-12-30 09:43:56
케이크,25680,2024-12-30 09:47:56
케이크,28532,2024-12-29 19:00:56
카푸치노,20944,2024-12-29 18:01:56
아메리카노,28978,2024-12-30 02:05:56
케이크,1204,2024-12-30 06:22:56
