menu,price,order_time
떡볶이,13658,2024-12-30 08:10:56
김밥,19294,2024-12-30 08:44:56
떡볶이,27961,2024-12-30 12:48:56
떡볶이,1673,2024-12-30 09:15:56
김밥,19194,2024-12-30 03:07:56
떡볶이,17236,2024-12-29 21:06:56
떡볶이,13190,2024-12-30 13:27:56
떡볶이,28045,2024-12-30 10:28:56
김밥,23071,2024-12-29 19:26:56
만두,9910,2024-12-30 10:24:56
떡볶이,1413,2024-12-29 21:16:56
김밥,26339,2024-12-30 13:06:56
떡볶이,9835,2024-12-29 17:57:56
떡볶이,10280,2024-12-30 09:16:56
만두,17921,2024-12-29 23:08:56
만두,21483,2024-12-29 19:38:56
떡볶이,5105,2024-12-30 13:45:56
만두,29363,2024-12-30 05:05:56
떡볶이,6519,2024-12-30 03:44:56
떡볶이,4637,2024-12-30 09:21:56
김밥,10880,2024-12-30 00:11:56
만두,12820,2024-12-29 19:48:56
떡볶이,7742,2024-12-30 11:43:56
떡볶이,6606,2024-12-29 22:55:56
김밥,5097,2024-12-30 04:55:56
만두,14997,2024-12-29 19:21:56
김밥,15336,2024-12-30 14:28:56
김밥,21725,2024-12-30 16:25:56
만두,22582,2024-12-30 05:48:56
떡볶이,6643,2024-12-30 15:04:56
떡볶이,28821,2024-12-30 15:03:56
만두,19132,2024-12-29 23:16:56
김밥,5766,2024-12-30 10:17:56
만두,27220,2024-12-30 03:14:56
김밥,25443,2024-12-30 00:28:56
만두,27681,2024-12-30 00:32:56
만두,1842,2024-12-30 09:05:56
김밥,9803,2024-12-30 04:04:56
만두,16262,2024-12-30 00:04:56
김밥,20291,2024-12-30 05:29:56
떡볶이,14137,2024-12-30 15:16:56
떡볶이,10366,2024-12-30 16:12:56
떡볶이,2004,2024-12-30 16:47:56
떡볶이,27147,2024-12-30 04:28:56
김밥,1178,2024-12-30 04:37:56
김밥,11452,2024-12-29 19:45:56
만두,13232,2024-12-29 22:58:56
만두,6954,2024-12-29 20:46:56
만두,17129,2024-12-30 14:49:56
떡볶이,21783,2024-12-29 19:38:56
김밥,10925,2024-12-30 00:07:56
만두,24512,2024-12-30 05:20:56
김밥,16339,2024-12-29 22:13:56
만두,3691,2024-12-29 20:29:56
만두,6275,2024-12-30 03:47:56
김밥,5478,2024-12-29 17:59:56
떡볶이,16626,2024-12-29 23:40:56
김밥,10314,2024-12-29 19:45:56
만두,15320,2024-12-30 13:29:56
김밥,18474,2024-12-30 04:35:56
김밥,27758,2024-12-29 19:50:56
만두,8975,2024-12-30 06:48:56
만두,13452,2024-12-30 02:48:56
떡볶이,18440,2024-12-29 21:46:56
만두,25600,2024-12-30 13:07:56
김밥,11744,2024-12-30 08:26:56
떡볶이,6594,2024-12-30 07:14:56
만두,2174,2024-12-30 15:24:56
만두,11984,2024-12-30 10:51:56
김밥,22949,2024-12-30 03:18:56
김밥,17624,2024-12-29 19:41:56
만두,25945,2024-12-30 12:31:56
김밥,19496,2024-12-30 03:50:56
김밥,15490,2024-12-29 19:12:56
만두,11404,2024-12-30 15:56:56
떡볶이,20478,2024-12-30 14:30:56
김밥,3311,2024-12-30 07:29:56
김밥,7570,2024-12-29 23:18:56
김밥,28265,2024-12-30 10:37:56
떡볶이,2502,2024-12-30 01:33:56
떡볶이,3411,2024-12-30 00:55:56
떡볶이,9245,2024-12-29 23:12:56
김밥,4641,2024-12-30 11:21:56
만두,26078,2024-12-29 23:43:56
김밥,2423,2024-12-30 08:24:56
김밥,14344,2024-12-30 12:16:56
떡볶이,23086,2024-12-30 16:59:56
떡볶이,21116,2024-12-29 18:18:56
만두,22031,2024-12-29 23:37:56
만두,25440,2024-12-30 01:50:56
만두,17815,2024-12-29 21:58:56
김밥,4263,2024-12-30 10:35:56
만두,19877,2024-12-30 08:42:56
김밥,17648,2024-12-30 09:26:56
만두,20308,2024-12-29 23:50:56
김밥,3653,2024-12-29 17:29:56
만두,22978,2024-12-30 05:48:56
김밥,3745,2024-12-30 03:59:56
김밥,5172,2024-12-29 22:27:56
떡볶이,18822,2024-12-30 08:45:56
