menu,price,order_time
케이크,20811,2024-12-29 20:46:56
케이크,28785,2024-12-30 13:04:56
카푸치노,13586,2024-12-30 06:50:56
케이크,4952,2024-12-30 12:51:56
케이크,10296,2024-12-30 03:14:56
카푸치노,9529,2024-12-30 01:39:56
카푸치노,26690,2024-12-29 22:33:56
케이크,8657,2024-12-30 02:24:56
케이크,29806,2024-12-30 03:32:56
카푸치노,27183,2024-12-29 22:36:56
케이크,21239,2024-12-30 00:56:56
케이크,27136,2024-12-29 21:48:56
카푸치노,8618,2024-12-30 13:17:56
아메리카노,16175,2024-12-30 06:53:56
케이크,21689,2024-12-30 04:55:56
카푸치노,25460,2024-12-30 13:24:56
아메리카노,6382,2024-12-30 10:35:56
카푸치노,28996,2024-12-29 17:38:56
아메리카노,24217,2024-12-30 09:18:56
케이크,17848,2024-12-30 14:26:56
케이크,13424,2024-12-29 22:25:56
케이크,28093,2024-12-30 12:50:56
카푸치노,2629,2024-12-29 21:06:56
카푸치노,9138,2024-12-30 01:22:56
케이크,12431,2024-12-30 06:48:56
아메리카노,5337,2024-12-30 02:20:56
카푸치노,3653,2024-12-29 22:46:56
카푸치노,27394,2024-12-30 08:04:56
케이크,28645,2024-12-30 06:09:56
아메리카노,9231,2024-12-29 20:03:56
케이크,23004,2024-12-29 17:56:56
카푸치노,27326,2024-12-29 18:09:56
아메리카노,24334,2024-12-30 08:04:56
케이크,22174,2024-12-30 00:51:56
케이크,4738,2024-12-30 08:40:56
아메리카노,13424,2024-12-30 10:58:56
카푸치노,11207,2024-12-29 21:18:56
아메리카노,5199,2024-12-30 13:51:56
카푸치노,3461,2024-12-29 19:08:56
아메리카노,28677,2024-12-29 19:42:56
카푸치노,20258,2024-12-30 16:33:56
아메리카노,3330,2024-12-29 20:45:56
카푸치노,7779,2024-12-30 06:29:56
카푸치노,8502,2024-12-30 11:28:56
케이크,24239,2024-12-29 22:01:56
카푸치노,8631,2024-12-30 08:12:56
아메리카노,26073,2024-12-30 17:19:56
아메리카노,11885,2024-12-30 16:16:56
케이크,14013,2024-12-29 22:36:56
카푸치노,27104,2024-12-30 05:41:56
케이크,9016,2024-12-30 00:15:56
아메리카노,2819,2024-12-30 16:50:56
케이크,28660,2024-12-29 23:41:56
아메리카노,12164,2024-12-30 10:25:56
카푸치노,8557,2024-12-29 23:30:56
아메리카노,8496,2024-12-30 09:32:56
아메리카노,5252,2024-12-30 12:49:56
아메리카노,19172,2024-12-29 22:43:56
아메리카노,16525,2024-12-29 19:19:56
아메리카노,9600,2024-12-29 19:46:56
케이크,25474,2024-12-29 23:40:56
아메리카노,23693,2024-12-29 19:47:56
아메리카노,5583,2024-12-30 15:31:56
카푸치노,13867,2024-12-30 04:36:56
아메리카노,14421,2024-12-30 12:07:56
케이크,23576,2024-12-30 06:07:56
카푸치노,17714,2024-12-30 09:31:56
카푸치노,25223,2024-12-29 19:32:56
케이크,4131,2024-12-30 12:26:56
아메리카노,24970,2024-12-30 12:33:56
케이크,3467,2024-12-30 09:44:56
아메리카노,1994,2024-12-29 20:55:56
아메리카노,26919,2024-12-29 22:34:56
케이크,28252,2024-12-29 18:44:56
아메리카노,10968,2024-12-29 18:16:56
아메리카노,13043,2024-12-30 00:15:56
아메리카노,20603,2024-12-29 22:36:56
카푸치노,4458,2024-12-30 08:48:56
카푸치노,12258,2024-12-30 14:32:56
케이크,10860,2024-12-30 15:54:56
카푸치노,29594,2024-12-30 11:31:56
카푸치노,25099,2024-12-30 01:25:56
케이크,23571,2024-12-30 02:10:56
카푸치노,26920,2024-12-29 19:10:56
카푸치노,22273,2024-12-30 13:18:56
아메리카노,18255,2024-12-30 09:47:56
케이크,23720,2024-12-30 07:17:56
아메리카노,25727,2024-12-30 02:18:56
아메리카노,1833,2024-12-30 08:40:56
케이크,3527,2024-12-30 16:12:56
카푸치노,12778,2024-12-30 04:43:56
케이크,26540,2024-12-30 14:47:56
아메리카노,28684,2024-12-30 16:24:56
아메리카노,14453,2024-12-29 20:29:56
카푸치노,9351,2024-12-30 13:18:56
카푸치노,22705,2024-12-30 09:15:56
아메리카노,17390,2024-12-29 19:06:56
아메리카노,28267,2024-12-30 02:12:56
아메리카노,8017,2024-12-30 01:14:56
카푸치노,21997,2024-12-30 14:00:56
