menu,price,order_time
떡볶이,23466,2024-12-29 21:33:56
감자튀김,2873,2024-12-30 05:13:56
감자튀김,9924,2024-12-30 09:41:56
떡볶이,22709,2024-12-29 19:50:56
감자튀김,16549,2024-12-30 04:35:56
닭강정,24653,2024-12-30 08:15:56
떡볶이,23165,2024-12-30 08:02:56
닭강정,15133,2024-12-30 11:59:56
떡볶이,26471,2024-12-30 16:17:56
떡볶이,24857,2024-12-30 09:24:56
떡볶이,23641,2024-12-30 15:00:56
떡볶이,19098,2024-12-30 04:22:56
떡볶이,7952,2024-12-29 19:39:56
닭강정,10336,2024-12-30 05:11:56
떡볶이,18081,2024-12-30 06:33:56
닭강정,23460,2024-12-30 09:20:56
감자튀김,12867,2024-12-29 22:33:56
감자튀김,6292,2024-12-30 00:52:56
감자튀김,12896,2024-12-30 12:16:56
감자튀김,17053,2024-12-30 13:28:56
닭강정,22036,2024-12-30 04:17:56
감자튀김,18630,2024-12-29 21:06:56
떡볶이,16748,2024-12-30 11:02:56
감자튀김,2503,2024-12-30 00:03:56
닭강정,29655,2024-12-29 17:28:56
감자튀김,26122,2024-12-29 20:47:56
감자튀김,12470,2024-12-29 23:08:56
감자튀김,9489,2024-12-30 13:39:56
닭강정,17739,2024-12-30 10:06:56
떡볶이,21251,2024-12-30 08:00:56
감자튀김,19506,2024-12-30 08:10:56
닭강정,6967,2024-12-30 13:05:56
감자튀김,18958,2024-12-30 08:04:56
떡볶이,17323,2024-12-29 21:49:56
감자튀김,12245,2024-12-30 01:12:56
떡볶이,6719,2024-12-30 02:58:56
떡볶이,20557,2024-12-30 16:10:56
떡볶이,24245,2024-12-29 22:40:56
닭강정,29923,2024-12-30 14:27:56
닭강정,8071,2024-12-30 05:13:56
닭강정,13973,2024-12-30 00:54:56
감자튀김,7233,2024-12-30 12:46:56
감자튀김,13033,2024-12-30 01:09:56
떡볶이,8583,2024-12-30 16:35:56
감자튀김,2578,2024-12-30 08:11:56
감자튀김,17411,2024-12-29 21:22:56
감자튀김,16126,2024-12-30 13:19:56
떡볶이,1361,2024-12-30 11:36:56
감자튀김,12532,2024-12-30 04:42:56
감자튀김,28080,2024-12-30 12:55:56
감자튀김,17235,2024-12-30 10:18:56
떡볶이,10946,2024-12-30 02:33:56
떡볶이,24964,2024-12-30 02:42:56
감자튀김,9136,2024-12-30 14:20:56
떡볶이,29326,2024-12-30 10:32:56
떡볶이,11133,2024-12-30 00:32:56
떡볶이,16258,2024-12-30 16:38:56
떡볶이,21926,2024-12-30 11:36:56
닭강정,19868,2024-12-30 16:02:56
닭강정,10294,2024-12-30 09:24:56
감자튀김,11689,2024-12-30 07:20:56
닭강정,25501,2024-12-30 15:59:56
떡볶이,20153,2024-12-30 15:34:56
감자튀김,17614,2024-12-29 19:52:56
감자튀김,5818,2024-12-30 15:48:56
떡볶이,21230,2024-12-30 06:04:56
감자튀김,16691,2024-12-30 15:35:56
닭강정,17704,2024-12-29 19:00:56
감자튀김,28953,2024-12-30 02:42:56
떡볶이,8020,2024-12-29 20:57:56
닭강정,21449,2024-12-30 12:16:56
닭강정,3265,2024-12-30 08:27:56
닭강정,23559,2024-12-29 17:24:56
닭강정,21055,2024-12-30 06:22:56
떡볶이,26235,2024-12-29 18:04:56
감자튀김,25585,2024-12-30 07:09:56
감자튀김,26244,2024-12-30 10:36:56
떡볶이,17299,2024-12-30 12:17:56
떡볶이,1792,2024-12-30 02:31:56
감자튀김,27468,2024-12-30 09:41:56
닭강정,16335,2024-12-30 16:54:56
떡볶이,17538,2024-12-30 00:48:56
떡볶이,17188,2024-12-30 06:01:56
감자튀김,9737,2024-12-30 04:27:56
닭강정,7500,2024-12-29 21:32:56
떡볶이,4261,2024-12-30 02:35:56
떡볶이,29203,2024-12-30 16:24:56
감자튀김,2100,2024-12-30 04:57:56
감자튀김,24533,2024-12-29 23:31:56
떡볶이,22620,2024-12-29 21:58:56
감자튀김,21392,2024-12-30 07:46:56
떡볶이,14469,2024-12-30 06:10:56
떡볶이,23805,2024-12-29 20:27:56
떡볶이,6340,2024-12-29 20:33:56
감자튀김,11609,2024-12-30 04:30:56
떡볶이,8089,2024-12-29 23:35:56
감자튀김,10094,2024-12-30 16:31:56
감자튀김,27447,2024-12-30 06:48:56
떡볶이,11295,2024-12-30 05:30:56
떡볶이,23072,2024-12-29 19:15:56
