menu,price,order_time
김밥,17010,2024-12-30 13:23:56
김밥,20032,2024-12-30 09:08:56
떡볶이,3845,2024-12-30 15:19:56
떡볶이,10825,2024-12-30 00:07:56
떡볶이,7121,2024-12-29 20:13:56
만두,2267,2024-12-29 21:04:56
김밥,17071,2024-12-30 10:29:56
김밥,19395,2024-12-30 15:35:56
만두,17280,2024-12-29 18:50:56
만두,13441,2024-12-30 05:09:56
떡볶이,13051,2024-12-29 20:02:56
김밥,23668,2024-12-30 10:21:56
떡볶이,5187,2024-12-30 16:18:56
떡볶이,4924,2024-12-30 11:02:56
김밥,17449,2024-12-30 14:15:56
만두,17062,2024-12-30 01:24:56
김밥,15160,2024-12-29 22:10:56
떡볶이,28838,2024-12-29 22:42:56
만두,12241,2024-12-29 20:58:56
만두,14289,2024-12-30 16:58:56
떡볶이,7004,2024-12-30 03:28:56
김밥,16052,2024-12-30 05:19:56
만두,20705,2024-12-29 21:10:56
떡볶이,11685,2024-12-30 00:12:56
김밥,15943,2024-12-30 11:11:56
떡볶이,4634,2024-12-30 15:34:56
떡볶이,3948,2024-12-30 03:13:56
떡볶이,12652,2024-12-30 06:10:56
김밥,23511,2024-12-30 13:42:56
김밥,21887,2024-12-29 19:29:56
만두,8813,2024-12-30 13:03:56
떡볶이,17524,2024-12-30 10:45:56
김밥,27000,2024-12-30 13:44:56
떡볶이,10304,2024-12-30 16:57:56
만두,13930,2024-12-30 07:35:56
떡볶이,21836,2024-12-29 20:04:56
떡볶이,28817,2024-12-30 03:42:56
떡볶이,24645,2024-12-29 18:57:56
만두,27434,2024-12-30 11:36:56
떡볶이,23050,2024-12-30 02:56:56
떡볶이,29501,2024-12-30 06:35:56
떡볶이,14811,2024-12-30 05:13:56
떡볶이,4864,2024-12-30 04:48:56
떡볶이,27437,2024-12-30 12:51:56
김밥,16973,2024-12-29 21:03:56
떡볶이,3174,2024-12-29 19:36:56
김밥,18737,2024-12-29 18:03:56
만두,1597,2024-12-30 12:40:56
만두,6414,2024-12-30 15:32:56
김밥,5350,2024-12-30 05:01:56
김밥,2173,2024-12-30 08:46:56
김밥,5338,2024-12-30 14:35:56
만두,5172,2024-12-30 06:07:56
떡볶이,11164,2024-12-30 04:44:56
떡볶이,4519,2024-12-29 17:43:56
김밥,19359,2024-12-30 16:33:56
만두,14603,2024-12-30 10:34:56
떡볶이,27009,2024-12-30 05:29:56
김밥,22791,2024-12-29 21:55:56
떡볶이,10080,2024-12-29 17:30:56
떡볶이,27034,2024-12-30 01:23:56
떡볶이,18027,2024-12-30 08:26:56
김밥,4693,2024-12-30 07:13:56
떡볶이,14142,2024-12-30 10:24:56
떡볶이,22802,2024-12-30 08:39:56
만두,19756,2024-12-29 22:52:56
만두,8755,2024-12-30 16:29:56
만두,6724,2024-12-30 04:14:56
김밥,19116,2024-12-30 03:08:56
김밥,17092,2024-12-30 02:21:56
떡볶이,13038,2024-12-30 06:25:56
떡볶이,18982,2024-12-30 09:16:56
김밥,5392,2024-12-30 03:55:56
떡볶이,26565,2024-12-29 22:52:56
떡볶이,4043,2024-12-30 13:20:56
김밥,3111,2024-12-29 23:06:56
김밥,1519,2024-12-30 08:44:56
만두,24706,2024-12-29 17:34:56
떡볶이,25018,2024-12-29 21:59:56
떡볶이,15452,2024-12-30 08:39:56
김밥,3123,2024-12-30 15:03:56
김밥,7106,2024-12-29 18:18:56
만두,22376,2024-12-29 21:00:56
김밥,11548,2024-12-30 10:13:56
떡볶이,5074,2024-12-30 16:06:56
떡볶이,2867,2024-12-30 13:21:56
김밥,20190,2024-12-29 23:42:56
김밥,6976,2024-12-30 08:25:56
김밥,18694,2024-12-29 19:10:56
김밥,4118,2024-12-30 06:47:56
떡볶이,2893,2024-12-29 19:19:56
떡볶이,25294,2024-12-30 09:15:56
만두,18826,2024-12-29 20:04:56
떡볶이,14322,2024-12-30 02:13:56
만두,10491,2024-12-30 05:09:56
만두,6324,2024-12-30 17:05:56
만두,3990,2024-12-30 07:39:56
떡볶이,9155,2024-12-29 18:07:56
떡볶이,25717,2024-12-30 09:37:56
김밥,16373,2024-12-29 18:21:56
