menu,price,order_time
케이크,3856,2024-12-29 17:28:56
아메리카노,12355,2024-12-30 02:47:56
카푸치노,2628,2024-12-29 18:59:56
카푸치노,2470,2024-12-29 18:16:56
케이크,9216,2024-12-30 13:44:56
아메리카노,29019,2024-12-30 03:16:56
아메리카노,7514,2024-12-29 21:03:56
케이크,2512,2024-12-30 09:36:56
카푸치노,2509,2024-12-30 01:12:56
카푸치노,3116,2024-12-29 21:57:56
아메리카노,16078,2024-12-29 19:55:56
케이크,12505,2024-12-29 23:05:56
아메리카노,14695,2024-12-30 02:06:56
카푸치노,29063,2024-12-29 22:41:56
카푸치노,11972,2024-12-30 06:27:56
아메리카노,16078,2024-12-29 19:04:56
카푸치노,11084,2024-12-29 19:29:56
아메리카노,1661,2024-12-30 11:53:56
카푸치노,3842,2024-12-30 10:10:56
아메리카노,6743,2024-12-30 15:22:56
아메리카노,12470,2024-12-30 15:00:56
케이크,29136,2024-12-30 05:02:56
케이크,29828,2024-12-30 14:29:56
아메리카노,23589,2024-12-30 00:55:56
아메리카노,23113,2024-12-30 07:59:56
케이크,29508,2024-12-30 16:59:56
케이크,14439,2024-12-30 09:33:56
카푸치노,28673,2024-12-30 11:38:56
카푸치노,20472,2024-12-30 04:52:56
카푸치노,17632,2024-12-30 07:40:56
케이크,6195,2024-12-30 08:47:56
카푸치노,1623,2024-12-29 20:36:56
케이크,5524,2024-12-29 17:33:56
케이크,25737,2024-12-30 04:18:56
아메리카노,7871,2024-12-30 17:10:56
케이크,11176,2024-12-30 09:58:56
케이크,19924,2024-12-30 02:53:56
카푸치노,2678,2024-12-30 02:27:56
케이크,15654,2024-12-30 08:25:56
카푸치노,29467,2024-12-29 22:30:56
아메리카노,21135,2024-12-30 04:43:56
아메리카노,15111,2024-12-30 16:47:56
카푸치노,2411,2024-12-30 13:16:56
카푸치노,27092,2024-12-29 20:54:56
카푸치노,5053,2024-12-30 05:25:56
아메리카노,4583,2024-12-30 10:04:56
아메리카노,22998,2024-12-29 22:49:56
카푸치노,13447,2024-12-30 11:55:56
카푸치노,2097,2024-12-30 05:34:56
아메리카노,11129,2024-12-30 10:07:56
아메리카노,11009,2024-12-29 21:17:56
아메리카노,20817,2024-12-30 01:00:56
아메리카노,4087,2024-12-30 13:41:56
카푸치노,13788,2024-12-30 14:49:56
케이크,9343,2024-12-30 13:23:56
케이크,26966,2024-12-30 01:55:56
카푸치노,4295,2024-12-30 00:10:56
케이크,12224,2024-12-29 18:50:56
카푸치노,22099,2024-12-29 19:27:56
케이크,11919,2024-12-30 02:52:56
케이크,2767,2024-12-29 17:36:56
케이크,1092,2024-12-30 07:35:56
카푸치노,29424,2024-12-30 06:57:56
아메리카노,18947,2024-12-30 11:26:56
아메리카노,7601,2024-12-30 16:12:56
케이크,2945,2024-12-30 04:33:56
아메리카노,27290,2024-12-30 08:34:56
카푸치노,14786,2024-12-30 00:03:56
카푸치노,18075,2024-12-30 04:48:56
카푸치노,5397,2024-12-30 14:12:56
카푸치노,3044,2024-12-30 13:55:56
아메리카노,21917,2024-12-30 17:05:56
아메리카노,3620,2024-12-30 02:29:56
케이크,18675,2024-12-30 00:03:56
아메리카노,4437,2024-12-30 09:42:56
케이크,10261,2024-12-30 04:18:56
카푸치노,9740,2024-12-30 06:19:56
아메리카노,7542,2024-12-30 05:50:56
카푸치노,8928,2024-12-30 14:54:56
아메리카노,7675,2024-12-30 15:18:56
케이크,21484,2024-12-30 16:02:56
아메리카노,19062,2024-12-30 17:10:56
케이크,12589,2024-12-30 12:59:56
케이크,24422,2024-12-30 15:33:56
아메리카노,4298,2024-12-30 15:33:56
케이크,3756,2024-12-29 23:00:56
케이크,20291,2024-12-30 07:29:56
케이크,25501,2024-12-29 22:06:56
케이크,18811,2024-12-29 18:19:56
카푸치노,13971,2024-12-30 09:37:56
카푸치노,16490,2024-12-30 00:07:56
카푸치노,3485,2024-12-29 18:55:56
아메리카노,24857,2024-12-30 11:01:56
케이크,5536,2024-12-30 14:31:56
케이크,16294,2024-12-29 23:13:56
케이크,11918,2024-12-30 00:47:56
카푸치노,19105,2024-12-30 07:00:56
아메리카노,25691,2024-12-30 10:16:56
아메리카노,17735,2024-12-29 18:25:56
카푸치노,17007,2024-12-29 17:47:56
