menu,price,order_time
떡볶이,18151,2024-12-30 03:12:56
감자튀김,9404,2024-12-29 18:20:56
감자튀김,23596,2024-12-29 23:03:56
닭강정,1442,2024-12-30 01:52:56
떡볶이,27544,2024-12-30 08:06:56
감자튀김,6050,2024-12-30 09:24:56
떡볶이,18100,2024-12-30 12:53:56
닭강정,16111,2024-12-30 16:26:56
감자튀김,27927,2024-12-29 19:22:56
닭강정,18799,2024-12-30 13:51:56
닭강정,29766,2024-12-30 05:21:56
떡볶이,22134,2024-12-30 15:19:56
떡볶이,13369,2024-12-30 08:26:56
떡볶이,21447,2024-12-30 05:14:56
떡볶이,11896,2024-12-30 12:14:56
닭강정,12121,2024-12-30 03:14:56
떡볶이,18292,2024-12-29 23:36:56
떡볶이,4443,2024-12-30 00:25:56
감자튀김,4588,2024-12-30 08:08:56
감자튀김,6819,2024-12-30 14:17:56
떡볶이,13355,2024-12-29 19:00:56
감자튀김,17343,2024-12-30 11:40:56
닭강정,22068,2024-12-30 01:32:56
닭강정,2751,2024-12-30 10:55:56
떡볶이,22450,2024-12-30 16:55:56
감자튀김,8471,2024-12-30 05:13:56
감자튀김,3728,2024-12-30 03:33:56
떡볶이,17426,2024-12-29 22:10:56
닭강정,23737,2024-12-30 02:56:56
닭강정,1203,2024-12-30 00:20:56
감자튀김,27913,2024-12-30 01:18:56
떡볶이,20876,2024-12-29 21:18:56
떡볶이,2198,2024-12-30 12:32:56
닭강정,16551,2024-12-30 09:35:56
닭강정,18746,2024-12-30 08:50:56
떡볶이,22451,2024-12-30 06:13:56
닭강정,12353,2024-12-29 17:55:56
떡볶이,12618,2024-12-30 06:28:56
닭강정,10602,2024-12-29 20:52:56
닭강정,5542,2024-12-30 09:43:56
감자튀김,11751,2024-12-30 10:10:56
닭강정,3321,2024-12-30 11:31:56
떡볶이,28105,2024-12-30 05:43:56
닭강정,26558,2024-12-29 20:50:56
닭강정,8950,2024-12-29 23:50:56
떡볶이,19655,2024-12-29 23:43:56
닭강정,11876,2024-12-30 00:21:56
닭강정,5092,2024-12-29 20:51:56
닭강정,4997,2024-12-30 13:56:56
떡볶이,19308,2024-12-29 23:25:56
떡볶이,11319,2024-12-30 08:42:56
감자튀김,10856,2024-12-30 16:48:56
닭강정,15745,2024-12-29 23:06:56
닭강정,2593,2024-12-30 07:49:56
닭강정,4621,2024-12-29 17:25:56
감자튀김,24304,2024-12-29 18:43:56
감자튀김,5018,2024-12-30 07:01:56
감자튀김,29890,2024-12-29 19:10:56
떡볶이,23924,2024-12-29 23:02:56
떡볶이,9087,2024-12-30 05:26:56
닭강정,14382,2024-12-30 05:44:56
떡볶이,11087,2024-12-30 05:20:56
떡볶이,17501,2024-12-30 14:33:56
떡볶이,19298,2024-12-30 04:14:56
닭강정,27555,2024-12-30 12:51:56
떡볶이,22845,2024-12-29 23:45:56
감자튀김,9924,2024-12-30 15:03:56
감자튀김,12029,2024-12-30 12:55:56
감자튀김,1624,2024-12-30 11:43:56
떡볶이,29312,2024-12-30 00:12:56
닭강정,21289,2024-12-29 17:38:56
닭강정,8731,2024-12-30 07:59:56
닭강정,7252,2024-12-29 20:28:56
닭강정,4085,2024-12-30 11:18:56
닭강정,4808,2024-12-29 21:37:56
떡볶이,5156,2024-12-30 14:19:56
떡볶이,19313,2024-12-29 18:18:56
감자튀김,19505,2024-12-30 02:53:56
닭강정,16431,2024-12-30 15:43:56
닭강정,22067,2024-12-30 07:00:56
감자튀김,6751,2024-12-30 08:57:56
떡볶이,7430,2024-12-29 20:40:56
닭강정,4230,2024-12-30 15:12:56
닭강정,25297,2024-12-30 09:08:56
닭강정,13453,2024-12-30 03:31:56
떡볶이,4719,2024-12-29 18:48:56
감자튀김,28002,2024-12-29 18:47:56
닭강정,29449,2024-12-30 14:54:56
떡볶이,14137,2024-12-30 09:42:56
떡볶이,4073,2024-12-29 20:42:56
닭강정,26343,2024-12-30 13:06:56
닭강정,13745,2024-12-29 23:53:56
감자튀김,25903,2024-12-29 23:21:56
감자튀김,15822,2024-12-30 14:43:56
떡볶이,8954,2024-12-30 12:22:56
닭강정,5431,2024-12-30 17:10:56
떡볶이,8398,2024-12-29 20:10:56
떡볶이,7947,2024-12-29 18:01:56
떡볶이,9986,2024-12-30 02:40:56
감자튀김,27442,2024-12-30 08:58:56
