menu,price,order_time
카푸치노,18476,2024-12-30 06:03:56
카푸치노,17539,2024-12-29 19:22:56
카푸치노,8387,2024-12-30 00:10:56
케이크,18047,2024-12-30 10:19:56
케이크,19486,2024-12-30 16:19:56
카푸치노,9685,2024-12-30 15:32:56
카푸치노,7593,2024-12-30 09:57:56
아메리카노,4080,2024-12-30 00:37:56
케이크,19080,2024-12-30 16:05:56
케이크,12697,2024-12-29 18:57:56
케이크,14756,2024-12-30 03:01:56
케이크,6247,2024-12-29 19:16:56
아메리카노,19038,2024-12-30 15:35:56
케이크,5274,2024-12-30 00:33:56
케이크,2926,2024-12-29 17:43:56
케이크,23609,2024-12-30 01:57:56
카푸치노,5624,2024-12-29 23:57:56
케이크,1493,2024-12-29 22:37:56
카푸치노,15278,2024-12-29 20:54:56
카푸치노,22152,2024-12-29 19:53:56
카푸치노,2787,2024-12-29 19:59:56
케이크,24088,2024-12-30 12:47:56
아메리카노,20635,2024-12-30 07:01:56
카푸치노,29463,2024-12-30 05:57:56
카푸치노,6860,2024-12-29 17:42:56
케이크,3618,2024-12-30 11:24:56
아메리카노,28666,2024-12-30 13:21:56
아메리카노,22299,2024-12-29 17:40:56
케이크,4347,2024-12-30 11:19:56
카푸치노,8317,2024-12-30 12:23:56
케이크,29132,2024-12-30 10:37:56
아메리카노,7291,2024-12-30 17:01:56
아메리카노,25597,2024-12-29 19:51:56
아메리카노,25898,2024-12-30 08:28:56
카푸치노,27148,2024-12-29 22:05:56
케이크,6594,2024-12-30 12:42:56
카푸치노,16070,2024-12-30 14:31:56
아메리카노,2521,2024-12-30 13:32:56
케이크,16752,2024-12-30 01:14:56
카푸치노,25255,2024-12-29 18:25:56
아메리카노,4748,2024-12-30 17:11:56
케이크,16062,2024-12-30 13:20:56
아메리카노,4095,2024-12-30 01:33:56
케이크,2160,2024-12-30 12:32:56
아메리카노,21070,2024-12-30 07:51:56
아메리카노,5078,2024-12-30 15:50:56
카푸치노,5926,2024-12-30 13:10:56
아메리카노,22567,2024-12-30 02:48:56
케이크,29817,2024-12-30 00:25:56
카푸치노,15252,2024-12-30 06:38:56
케이크,29182,2024-12-30 09:11:56
카푸치노,18166,2024-12-30 15:33:56
아메리카노,7783,2024-12-30 01:53:56
아메리카노,9362,2024-12-30 14:15:56
아메리카노,24946,2024-12-30 15:46:56
카푸치노,13477,2024-12-29 22:36:56
카푸치노,19137,2024-12-29 18:07:56
아메리카노,2240,2024-12-30 02:04:56
카푸치노,5269,2024-12-30 12:03:56
케이크,29769,2024-12-29 22:58:56
케이크,16669,2024-12-30 14:46:56
카푸치노,22490,2024-12-30 08:08:56
카푸치노,12909,2024-12-29 19:42:56
아메리카노,18228,2024-12-30 15:34:56
케이크,12610,2024-12-30 11:47:56
아메리카노,19489,2024-12-30 00:00:56
카푸치노,14850,2024-12-30 00:33:56
아메리카노,9729,2024-12-30 02:50:56
케이크,5224,2024-12-30 01:18:56
카푸치노,22374,2024-12-30 12:00:56
카푸치노,16013,2024-12-30 00:09:56
케이크,29563,2024-12-30 10:26:56
아메리카노,19690,2024-12-30 10:26:56
케이크,13679,2024-12-30 04:09:56
케이크,25981,2024-12-30 15:29:56
아메리카노,7482,2024-12-29 23:01:56
카푸치노,11182,2024-12-30 04:15:56
카푸치노,24151,2024-12-30 15:13:56
카푸치노,29896,2024-12-30 16:46:56
케이크,22710,2024-12-30 02:41:56
아메리카노,27662,2024-12-30 08:40:56
아메리카노,6059,2024-12-30 01:22:56
케이크,11308,2024-12-29 19:00:56
카푸치노,4303,2024-12-30 10:50:56
케이크,13012,2024-12-30 13:54:56
아메리카노,24350,2024-12-30 07:53:56
케이크,22810,2024-12-30 15:09:56
케이크,14207,2024-12-30 03:27:56
아메리카노,12237,2024-12-29 20:27:56
케이크,16889,2024-12-30 08:51:56
아메리카노,26405,2024-12-29 18:54:56
카푸치노,12475,2024-12-29 18:06:56
카푸치노,3462,2024-12-30 09:14:56
아메리카노,7690,2024-12-30 14:58:56
케이크,27577,2024-12-30 01:08:56
아메리카노,25392,2024-12-30 12:08:56
케이크,24855,2024-12-30 01:19:56
아메리카노,3951,2024-12-30 12:45:56
카푸치노,4877,2024-12-29 23:15:56
아메리카노,13674,2024-12-30 16:14:56
