menu,price,order_time
카푸치노,23915,2024-12-30 04:32:56
케이크,22544,2024-12-30 09:03:56
아메리카노,29455,2024-12-29 20:54:56
아메리카노,6769,2024-12-30 05:22:56
케이크,4070,2024-12-29 17:38:56
케이크,13912,2024-12-30 04:39:56
아메리카노,29814,2024-12-30 13:03:56
케이크,29598,2024-12-30 01:21:56
케이크,1595,2024-12-30 12:34:56
아메리카노,9222,2024-12-30 01:15:56
카푸치노,16599,2024-12-30 09:41:56
아메리카노,23934,2024-12-30 01:21:56
카푸치노,29093,2024-12-30 02:38:56
아메리카노,16378,2024-12-30 02:46:56
아메리카노,7362,2024-12-30 03:59:56
카푸치노,22362,2024-12-30 02:57:56
케이크,10028,2024-12-30 01:38:56
케이크,9955,2024-12-30 06:07:56
아메리카노,1379,2024-12-30 06:00:56
아메리카노,6188,2024-12-30 05:23:56
아메리카노,2899,2024-12-30 03:34:56
케이크,1956,2024-12-30 07:09:56
카푸치노,17834,2024-12-29 21:22:56
아메리카노,26811,2024-12-30 15:11:56
아메리카노,16642,2024-12-30 12:02:56
카푸치노,24610,2024-12-29 18:45:56
케이크,27102,2024-12-30 06:30:56
카푸치노,12576,2024-12-29 18:19:56
케이크,10222,2024-12-30 02:27:56
케이크,27448,2024-12-30 05:48:56
케이크,14785,2024-12-30 02:32:56
케이크,21317,2024-12-30 13:38:56
케이크,8504,2024-12-29 18:03:56
아메리카노,4682,2024-12-30 03:17:56
아메리카노,27812,2024-12-30 14:10:56
카푸치노,10678,2024-12-30 03:49:56
아메리카노,19530,2024-12-30 02:38:56
케이크,22761,2024-12-30 11:00:56
아메리카노,15099,2024-12-30 01:26:56
카푸치노,27693,2024-12-29 19:48:56
케이크,24868,2024-12-30 16:37:56
카푸치노,10587,2024-12-30 00:13:56
케이크,3494,2024-12-29 22:17:56
아메리카노,7032,2024-12-30 06:52:56
아메리카노,12998,2024-12-30 14:16:56
케이크,22979,2024-12-30 15:14:56
카푸치노,11779,2024-12-29 19:44:56
카푸치노,26275,2024-12-30 10:52:56
카푸치노,23917,2024-12-30 13:44:56
케이크,14622,2024-12-30 04:56:56
아메리카노,5823,2024-12-29 23:29:56
아메리카노,11096,2024-12-30 01:15:56
케이크,20027,2024-12-30 04:49:56
아메리카노,14621,2024-12-29 22:56:56
아메리카노,16909,2024-12-30 00:53:56
아메리카노,18126,2024-12-30 14:00:56
카푸치노,16699,2024-12-30 16:26:56
카푸치노,26221,2024-12-30 04:47:56
카푸치노,10649,2024-12-30 04:25:56
카푸치노,28251,2024-12-30 06:58:56
케이크,5379,2024-12-29 20:53:56
케이크,22214,2024-12-30 14:29:56
카푸치노,4173,2024-12-30 12:53:56
케이크,7418,2024-12-29 19:31:56
아메리카노,16796,2024-12-30 07:28:56
카푸치노,15524,2024-12-29 23:29:56
케이크,24552,2024-12-30 08:45:56
카푸치노,6898,2024-12-30 13:27:56
케이크,5363,2024-12-30 02:57:56
아메리카노,17411,2024-12-30 12:06:56
아메리카노,24724,2024-12-30 04:21:56
아메리카노,20378,2024-12-30 04:39:56
케이크,4399,2024-12-30 05:13:56
카푸치노,24638,2024-12-30 09:34:56
카푸치노,29940,2024-12-30 08:46:56
케이크,1211,2024-12-30 13:02:56
아메리카노,28845,2024-12-30 09:22:56
케이크,27502,2024-12-30 11:17:56
아메리카노,8900,2024-12-29 22:40:56
케이크,28990,2024-12-29 21:06:56
카푸치노,1774,2024-12-29 19:03:56
케이크,8793,2024-12-30 12:34:56
카푸치노,4904,2024-12-30 11:15:56
카푸치노,28074,2024-12-30 13:03:56
아메리카노,17795,2024-12-29 19:00:56
카푸치노,10506,2024-12-30 14:12:56
카푸치노,11611,2024-12-30 16:13:56
케이크,15023,2024-12-30 09:49:56
카푸치노,27880,2024-12-30 02:23:56
케이크,12978,2024-12-30 10:30:56
케이크,12414,2024-12-30 01:35:56
카푸치노,10623,2024-12-30 10:55:56
아메리카노,1159,2024-12-30 06:53:56
케이크,12090,2024-12-30 02:24:56
카푸치노,23077,2024-12-30 16:54:56
카푸치노,22213,2024-12-29 21:39:56
아메리카노,12306,2024-12-30 03:34:56
아메리카노,6182,2024-12-30 00:06:56
케이크,27436,2024-12-30 08:50:56
케이크,2490,2024-12-29 18:15:56
