menu,price,order_time
닭강정,4386,2024-12-30 10:17:56
감자튀김,29847,2024-12-30 11:57:56
감자튀김,10410,2024-12-29 21:42:56
닭강정,29010,2024-12-30 15:08:56
감자튀김,12414,2024-12-30 05:12:56
감자튀김,25561,2024-12-30 16:43:56
닭강정,27406,2024-12-29 21:57:56
감자튀김,26443,2024-12-29 22:26:56
떡볶이,28603,2024-12-30 08:15:56
떡볶이,28306,2024-12-30 09:19:56
떡볶이,13176,2024-12-30 15:51:56
닭강정,28887,2024-12-30 12:13:56
감자튀김,27079,2024-12-30 02:27:56
떡볶이,5249,2024-12-29 19:25:56
닭강정,28074,2024-12-30 11:27:56
감자튀김,10397,2024-12-29 23:57:56
떡볶이,13453,2024-12-30 05:22:56
떡볶이,21580,2024-12-30 06:27:56
떡볶이,21811,2024-12-30 08:04:56
닭강정,10462,2024-12-29 21:19:56
떡볶이,28664,2024-12-30 06:40:56
닭강정,12671,2024-12-30 05:29:56
떡볶이,29641,2024-12-29 21:03:56
감자튀김,21237,2024-12-30 05:39:56
떡볶이,3284,2024-12-30 12:29:56
닭강정,18768,2024-12-29 19:18:56
떡볶이,4846,2024-12-30 11:55:56
떡볶이,14907,2024-12-30 03:19:56
감자튀김,12828,2024-12-30 10:47:56
떡볶이,6895,2024-12-30 11:03:56
떡볶이,11549,2024-12-29 18:42:56
감자튀김,20822,2024-12-30 00:52:56
감자튀김,14680,2024-12-30 01:57:56
감자튀김,7922,2024-12-30 06:23:56
감자튀김,15823,2024-12-30 07:23:56
떡볶이,21464,2024-12-29 23:08:56
감자튀김,19240,2024-12-30 05:23:56
감자튀김,25353,2024-12-30 01:03:56
감자튀김,7907,2024-12-30 06:23:56
떡볶이,1141,2024-12-30 02:08:56
떡볶이,13154,2024-12-30 02:36:56
닭강정,12387,2024-12-30 03:19:56
떡볶이,4253,2024-12-29 23:48:56
닭강정,24906,2024-12-29 19:30:56
떡볶이,21158,2024-12-30 11:11:56
감자튀김,26936,2024-12-30 14:20:56
떡볶이,11394,2024-12-30 03:02:56
닭강정,1688,2024-12-30 15:14:56
닭강정,18816,2024-12-30 03:40:56
떡볶이,5132,2024-12-30 03:29:56
떡볶이,20565,2024-12-30 10:49:56
닭강정,8873,2024-12-30 16:34:56
떡볶이,20247,2024-12-30 02:57:56
떡볶이,18534,2024-12-29 23:38:56
닭강정,22528,2024-12-30 14:39:56
감자튀김,28075,2024-12-29 23:43:56
떡볶이,18343,2024-12-30 05:32:56
닭강정,12452,2024-12-30 03:31:56
닭강정,8977,2024-12-29 19:39:56
감자튀김,2692,2024-12-30 01:11:56
감자튀김,24849,2024-12-29 22:22:56
감자튀김,24068,2024-12-29 17:49:56
떡볶이,9735,2024-12-29 21:53:56
떡볶이,14222,2024-12-30 12:51:56
닭강정,7413,2024-12-30 01:13:56
닭강정,17166,2024-12-30 16:26:56
떡볶이,25009,2024-12-30 04:38:56
떡볶이,8461,2024-12-30 06:23:56
닭강정,14502,2024-12-30 00:53:56
떡볶이,1758,2024-12-30 07:03:56
감자튀김,29953,2024-12-30 09:06:56
닭강정,21734,2024-12-30 08:44:56
떡볶이,28380,2024-12-30 14:27:56
떡볶이,25694,2024-12-29 17:39:56
감자튀김,12247,2024-12-30 04:18:56
떡볶이,27285,2024-12-30 11:51:56
감자튀김,26379,2024-12-29 22:00:56
닭강정,11934,2024-12-30 03:51:56
감자튀김,7979,2024-12-29 17:22:56
닭강정,20844,2024-12-30 09:16:56
떡볶이,16876,2024-12-30 16:03:56
닭강정,13504,2024-12-30 04:41:56
감자튀김,1513,2024-12-30 00:34:56
감자튀김,15199,2024-12-29 19:59:56
떡볶이,25656,2024-12-30 02:41:56
닭강정,21562,2024-12-30 02:25:56
감자튀김,6006,2024-12-30 16:48:56
감자튀김,11943,2024-12-30 00:47:56
닭강정,12676,2024-12-29 20:48:56
떡볶이,26222,2024-12-30 01:28:56
떡볶이,8635,2024-12-30 04:03:56
떡볶이,20395,2024-12-30 13:03:56
감자튀김,8227,2024-12-30 17:01:56
감자튀김,28148,2024-12-30 09:01:56
감자튀김,4382,2024-12-29 21:22:56
감자튀김,4381,2024-12-30 12:33:56
떡볶이,1672,2024-12-30 05:57:56
감자튀김,2614,2024-12-30 08:30:56
감자튀김,27333,2024-12-29 20:29:56
감자튀김,15178,2024-12-30 09:41:56
