menu,price,order_time
아메리카노,6939,2024-12-30 08:48:56
아메리카노,8820,2024-12-29 19:34:56
아메리카노,12963,2024-12-29 21:58:56
카푸치노,14021,2024-12-30 16:56:56
아메리카노,3770,2024-12-30 06:10:56
카푸치노,1988,2024-12-30 00:51:56
케이크,22738,2024-12-29 23:24:56
아메리카노,11251,2024-12-30 05:10:56
케이크,15416,2024-12-29 22:11:56
카푸치노,2411,2024-12-29 20:09:56
아메리카노,1154,2024-12-29 20:46:56
카푸치노,24785,2024-12-30 12:34:56
카푸치노,26542,2024-12-30 10:38:56
케이크,1491,2024-12-30 10:47:56
케이크,29164,2024-12-30 03:24:56
카푸치노,4808,2024-12-30 14:31:56
케이크,22031,2024-12-30 12:32:56
케이크,26115,2024-12-30 09:33:56
카푸치노,29238,2024-12-29 17:47:56
케이크,7379,2024-12-30 12:54:56
아메리카노,3457,2024-12-29 17:38:56
케이크,28271,2024-12-30 10:07:56
카푸치노,15663,2024-12-30 12:15:56
아메리카노,12485,2024-12-30 10:05:56
아메리카노,21765,2024-12-30 15:32:56
케이크,8060,2024-12-30 01:54:56
카푸치노,16151,2024-12-30 11:15:56
케이크,5658,2024-12-30 07:08:56
카푸치노,9781,2024-12-29 18:43:56
케이크,5476,2024-12-30 14:11:56
카푸치노,23974,2024-12-30 11:32:56
아메리카노,27418,2024-12-30 03:07:56
아메리카노,5127,2024-12-30 02:44:56
케이크,8324,2024-12-30 01:48:56
케이크,15819,2024-12-30 06:11:56
케이크,18105,2024-12-30 14:55:56
카푸치노,6408,2024-12-30 04:48:56
아메리카노,5875,2024-12-30 10:09:56
카푸치노,21316,2024-12-30 16:42:56
케이크,16067,2024-12-30 15:20:56
카푸치노,2126,2024-12-29 17:54:56
카푸치노,19512,2024-12-30 09:39:56
아메리카노,10305,2024-12-30 17:05:56
아메리카노,29053,2024-12-29 17:48:56
케이크,28185,2024-12-30 16:02:56
케이크,16609,2024-12-29 19:56:56
카푸치노,15141,2024-12-30 11:57:56
케이크,8910,2024-12-30 16:11:56
아메리카노,26165,2024-12-30 00:17:56
케이크,28997,2024-12-30 08:07:56
카푸치노,26206,2024-12-30 01:00:56
카푸치노,6228,2024-12-30 07:25:56
케이크,19207,2024-12-30 08:12:56
카푸치노,5100,2024-12-29 21:20:56
카푸치노,20537,2024-12-30 08:22:56
아메리카노,15615,2024-12-30 04:49:56
카푸치노,21115,2024-12-29 19:01:56
카푸치노,14316,2024-12-29 21:36:56
카푸치노,2555,2024-12-30 12:23:56
카푸치노,22106,2024-12-30 01:21:56
아메리카노,9359,2024-12-29 23:44:56
케이크,2585,2024-12-30 02:17:56
카푸치노,5490,2024-12-30 07:55:56
아메리카노,20004,2024-12-30 08:31:56
케이크,13620,2024-12-29 18:16:56
케이크,9324,2024-12-30 06:33:56
카푸치노,5116,2024-12-30 02:53:56
케이크,9974,2024-12-30 03:11:56
케이크,19997,2024-12-29 21:39:56
케이크,22176,2024-12-30 02:24:56
아메리카노,5416,2024-12-30 03:46:56
아메리카노,17924,2024-12-29 18:16:56
카푸치노,19454,2024-12-29 22:37:56
케이크,26596,2024-12-30 17:07:56
아메리카노,19893,2024-12-30 10:48:56
케이크,1399,2024-12-30 04:07:56
카푸치노,13636,2024-12-30 12:43:56
케이크,16981,2024-12-30 13:47:56
케이크,20461,2024-12-30 08:29:56
케이크,11023,2024-12-29 18:40:56
아메리카노,21279,2024-12-29 20:24:56
카푸치노,9167,2024-12-30 07:24:56
아메리카노,1291,2024-12-29 22:12:56
카푸치노,8116,2024-12-29 23:08:56
카푸치노,20649,2024-12-30 08:06:56
케이크,21892,2024-12-30 09:13:56
카푸치노,25239,2024-12-29 22:50:56
아메리카노,10175,2024-12-30 11:24:56
케이크,22283,2024-12-29 21:01:56
카푸치노,4614,2024-12-30 10:35:56
아메리카노,23147,2024-12-30 13:04:56
카푸치노,2554,2024-12-29 21:16:56
케이크,4462,2024-12-29 20:53:56
카푸치노,28154,2024-12-30 05:29:56
케이크,18581,2024-12-30 10:43:56
케이크,22362,2024-12-29 17:40:56
카푸치노,27528,2024-12-30 05:21:56
카푸치노,1828,2024-12-30 10:01:56
케이크,16393,2024-12-30 06:02:56
케이크,4966,2024-12-30 17:17:56
