menu,price,order_time
김밥,2282,2024-12-30 04:17:57
만두,16160,2024-12-29 18:11:57
떡볶이,4611,2024-12-30 03:31:57
만두,7596,2024-12-30 07:14:57
떡볶이,5860,2024-12-30 07:09:57
떡볶이,2569,2024-12-30 13:23:57
만두,24204,2024-12-30 01:57:57
만두,19279,2024-12-30 02:13:57
김밥,8700,2024-12-30 02:26:57
만두,11616,2024-12-30 16:50:57
떡볶이,22550,2024-12-29 21:13:57
만두,24771,2024-12-30 12:17:57
떡볶이,15134,2024-12-29 21:10:57
김밥,10260,2024-12-30 01:42:57
김밥,7561,2024-12-29 17:37:57
만두,5119,2024-12-30 13:01:57
떡볶이,21052,2024-12-30 05:09:57
김밥,20908,2024-12-29 22:40:57
만두,3403,2024-12-30 15:21:57
만두,12288,2024-12-29 20:20:57
김밥,17531,2024-12-30 08:34:57
만두,29416,2024-12-30 08:05:57
김밥,13474,2024-12-30 06:53:57
떡볶이,7878,2024-12-30 13:44:57
떡볶이,16334,2024-12-29 23:06:57
만두,17945,2024-12-30 06:12:57
떡볶이,21404,2024-12-30 07:22:57
만두,22505,2024-12-29 18:22:57
만두,25237,2024-12-29 17:49:57
만두,26739,2024-12-30 12:21:57
김밥,9533,2024-12-30 04:44:57
만두,20697,2024-12-30 06:54:57
만두,9562,2024-12-30 12:56:57
김밥,9101,2024-12-30 09:15:57
떡볶이,19278,2024-12-30 09:25:57
김밥,16277,2024-12-29 22:17:57
떡볶이,6462,2024-12-30 09:22:57
김밥,10303,2024-12-30 05:59:57
만두,19781,2024-12-30 00:25:57
만두,24383,2024-12-30 10:00:57
만두,7984,2024-12-30 08:14:57
김밥,27611,2024-12-30 15:31:57
김밥,9105,2024-12-29 19:43:57
떡볶이,25460,2024-12-30 13:53:57
만두,27048,2024-12-29 22:01:57
만두,11855,2024-12-30 00:42:57
김밥,25940,2024-12-30 05:25:57
떡볶이,2471,2024-12-29 20:17:57
만두,7422,2024-12-29 21:19:57
김밥,27053,2024-12-30 11:47:57
만두,1843,2024-12-30 16:21:57
떡볶이,21637,2024-12-30 14:50:57
만두,2040,2024-12-30 00:00:57
만두,5749,2024-12-29 17:55:57
떡볶이,25784,2024-12-30 06:01:57
김밥,7236,2024-12-30 08:41:57
만두,19580,2024-12-30 08:31:57
떡볶이,23600,2024-12-30 16:16:57
김밥,7074,2024-12-30 06:21:57
떡볶이,23942,2024-12-30 13:46:57
만두,7366,2024-12-30 08:07:57
김밥,11044,2024-12-30 06:00:57
만두,27614,2024-12-29 21:04:57
떡볶이,8468,2024-12-30 01:59:57
만두,3368,2024-12-30 01:51:57
김밥,14957,2024-12-29 21:06:57
떡볶이,20810,2024-12-30 01:37:57
김밥,22770,2024-12-30 04:09:57
만두,18131,2024-12-30 07:26:57
만두,29069,2024-12-29 23:01:57
떡볶이,12178,2024-12-30 10:47:57
떡볶이,14516,2024-12-29 23:44:57
만두,17120,2024-12-30 15:03:57
만두,22594,2024-12-30 14:16:57
떡볶이,13452,2024-12-30 07:20:57
떡볶이,11947,2024-12-29 19:21:57
떡볶이,22079,2024-12-29 22:23:57
떡볶이,28996,2024-12-29 17:57:57
떡볶이,28805,2024-12-30 02:53:57
만두,5894,2024-12-30 13:26:57
떡볶이,22929,2024-12-30 15:34:57
떡볶이,20504,2024-12-30 13:18:57
떡볶이,26727,2024-12-29 22:44:57
만두,26788,2024-12-30 08:11:57
떡볶이,10714,2024-12-30 13:11:57
떡볶이,18084,2024-12-30 09:19:57
만두,20986,2024-12-29 19:58:57
김밥,13773,2024-12-30 13:35:57
만두,3911,2024-12-30 07:27:57
김밥,13605,2024-12-29 21:42:57
떡볶이,5913,2024-12-30 12:34:57
김밥,25799,2024-12-30 16:24:57
떡볶이,21564,2024-12-29 22:40:57
김밥,18142,2024-12-30 15:07:57
김밥,29654,2024-12-30 09:31:57
김밥,19155,2024-12-29 23:45:57
만두,23733,2024-12-30 13:40:57
떡볶이,16047,2024-12-30 07:07:57
떡볶이,16097,2024-12-30 10:49:57
김밥,13620,2024-12-29 18:34:57
