menu,price,order_time
떡볶이,22810,2024-12-30 07:38:56
떡볶이,23977,2024-12-30 03:56:56
떡볶이,19174,2024-12-30 11:29:56
닭강정,13475,2024-12-30 08:24:56
감자튀김,28253,2024-12-30 11:23:56
감자튀김,14504,2024-12-30 10:26:56
감자튀김,29601,2024-12-30 16:06:56
떡볶이,29252,2024-12-30 05:21:56
닭강정,27145,2024-12-29 18:40:56
떡볶이,5918,2024-12-29 17:21:56
닭강정,8558,2024-12-30 01:43:56
감자튀김,1166,2024-12-30 02:19:56
감자튀김,13521,2024-12-29 20:06:56
떡볶이,11625,2024-12-29 22:35:56
감자튀김,16670,2024-12-30 08:17:56
떡볶이,27016,2024-12-29 20:48:56
감자튀김,14110,2024-12-29 22:09:56
닭강정,8488,2024-12-29 19:11:56
감자튀김,18189,2024-12-30 07:30:56
닭강정,21592,2024-12-29 19:53:56
떡볶이,22289,2024-12-29 23:07:56
감자튀김,22997,2024-12-29 23:47:56
감자튀김,23232,2024-12-29 20:11:56
감자튀김,18010,2024-12-30 01:02:56
닭강정,2544,2024-12-30 16:26:56
닭강정,3561,2024-12-29 20:51:56
감자튀김,4826,2024-12-30 14:39:56
닭강정,8659,2024-12-29 21:27:56
감자튀김,16231,2024-12-29 21:06:56
닭강정,3464,2024-12-30 06:17:56
떡볶이,26937,2024-12-30 14:49:56
감자튀김,18012,2024-12-30 15:10:56
감자튀김,21641,2024-12-30 02:57:56
닭강정,8846,2024-12-30 14:45:56
감자튀김,7983,2024-12-30 07:33:56
감자튀김,4898,2024-12-30 01:21:56
떡볶이,19840,2024-12-29 20:52:56
감자튀김,28825,2024-12-30 10:27:56
감자튀김,1455,2024-12-29 22:44:56
닭강정,25170,2024-12-30 15:03:56
닭강정,17206,2024-12-30 07:34:56
떡볶이,18739,2024-12-30 01:14:56
감자튀김,4156,2024-12-30 05:29:56
떡볶이,24973,2024-12-29 21:27:56
떡볶이,1325,2024-12-30 14:36:56
닭강정,20059,2024-12-30 09:47:56
떡볶이,11364,2024-12-29 23:39:56
감자튀김,29201,2024-12-30 16:08:56
닭강정,26102,2024-12-30 01:43:56
떡볶이,5169,2024-12-30 06:42:56
감자튀김,29094,2024-12-29 19:38:56
닭강정,4736,2024-12-30 04:47:56
닭강정,13268,2024-12-30 08:32:56
닭강정,5999,2024-12-30 00:10:56
감자튀김,28987,2024-12-30 16:30:56
닭강정,20765,2024-12-30 09:13:56
감자튀김,27485,2024-12-30 09:58:56
떡볶이,15478,2024-12-29 20:51:56
닭강정,23211,2024-12-30 10:34:56
감자튀김,2718,2024-12-29 20:00:56
닭강정,15124,2024-12-30 14:30:56
감자튀김,23301,2024-12-29 23:40:56
떡볶이,10452,2024-12-30 08:50:56
떡볶이,4160,2024-12-30 07:24:56
떡볶이,18254,2024-12-30 02:45:56
감자튀김,14666,2024-12-30 02:36:56
닭강정,25212,2024-12-30 15:58:56
닭강정,11618,2024-12-29 17:30:56
닭강정,5874,2024-12-30 06:07:56
떡볶이,24154,2024-12-30 05:44:56
닭강정,8130,2024-12-29 21:51:56
감자튀김,26000,2024-12-30 02:43:56
닭강정,4185,2024-12-29 19:08:56
닭강정,13812,2024-12-30 07:21:56
닭강정,3735,2024-12-29 22:44:56
닭강정,14648,2024-12-30 08:21:56
닭강정,16394,2024-12-30 12:49:56
닭강정,7123,2024-12-30 14:50:56
닭강정,14170,2024-12-30 04:39:56
감자튀김,27293,2024-12-30 13:08:56
감자튀김,9079,2024-12-29 20:02:56
감자튀김,28783,2024-12-29 21:28:56
닭강정,16032,2024-12-30 14:52:56
닭강정,21190,2024-12-29 23:05:56
닭강정,4254,2024-12-30 00:15:56
닭강정,12264,2024-12-30 12:39:56
떡볶이,26024,2024-12-30 07:52:56
떡볶이,4892,2024-12-30 10:43:56
감자튀김,27851,2024-12-30 02:53:56
감자튀김,20512,2024-12-30 01:01:56
닭강정,7291,2024-12-30 16:08:56
떡볶이,4266,2024-12-30 16:00:56
떡볶이,3272,2024-12-29 20:29:56
떡볶이,12949,2024-12-30 10:15:56
닭강정,4172,2024-12-30 06:02:56
떡볶이,1624,2024-12-30 01:30:56
닭강정,4902,2024-12-30 06:06:56
닭강정,16355,2024-12-30 10:57:56
닭강정,14907,2024-12-29 18:18:56
떡볶이,17002,2024-12-29 18:07:56
