menu,price,order_time
아메리카노,14344,2024-12-30 10:58:56
아메리카노,20881,2024-12-30 06:23:56
아메리카노,17586,2024-12-30 04:16:56
카푸치노,15777,2024-12-30 03:00:56
아메리카노,23516,2024-12-30 16:53:56
아메리카노,1051,2024-12-30 07:59:56
아메리카노,1208,2024-12-29 19:23:56
케이크,5709,2024-12-30 07:55:56
케이크,10267,2024-12-30 11:17:56
카푸치노,9443,2024-12-30 06:07:56
아메리카노,6089,2024-12-29 21:49:56
케이크,14436,2024-12-30 03:03:56
케이크,21626,2024-12-30 11:23:56
카푸치노,10398,2024-12-30 04:42:56
케이크,2723,2024-12-29 17:29:56
아메리카노,11528,2024-12-30 05:39:56
카푸치노,4698,2024-12-29 17:47:56
카푸치노,6869,2024-12-30 02:25:56
케이크,1849,2024-12-29 22:10:56
케이크,13296,2024-12-30 04:49:56
아메리카노,22119,2024-12-30 02:16:56
아메리카노,3537,2024-12-29 19:30:56
케이크,10907,2024-12-30 02:10:56
케이크,22935,2024-12-29 22:31:56
케이크,27886,2024-12-30 01:22:56
케이크,6600,2024-12-30 03:55:56
아메리카노,16343,2024-12-30 04:11:56
케이크,23094,2024-12-30 13:33:56
카푸치노,9405,2024-12-30 08:14:56
케이크,18872,2024-12-30 08:52:56
케이크,4770,2024-12-30 06:08:56
케이크,17097,2024-12-29 20:42:56
케이크,3121,2024-12-30 14:08:56
아메리카노,16691,2024-12-29 19:00:56
아메리카노,29837,2024-12-30 04:53:56
카푸치노,8157,2024-12-30 11:36:56
아메리카노,19992,2024-12-30 14:04:56
아메리카노,2574,2024-12-29 19:20:56
케이크,18138,2024-12-30 09:06:56
케이크,24205,2024-12-30 13:39:56
케이크,13271,2024-12-29 23:04:56
아메리카노,29016,2024-12-30 00:45:56
케이크,1426,2024-12-30 17:05:56
아메리카노,18842,2024-12-30 05:34:56
케이크,12957,2024-12-30 13:54:56
아메리카노,28863,2024-12-30 04:53:56
아메리카노,21873,2024-12-29 20:42:56
아메리카노,13377,2024-12-30 13:07:56
케이크,28463,2024-12-30 09:17:56
카푸치노,17420,2024-12-30 12:46:56
카푸치노,7361,2024-12-30 08:31:56
케이크,2515,2024-12-30 16:06:56
카푸치노,3830,2024-12-30 01:10:56
케이크,23421,2024-12-30 07:48:56
카푸치노,5787,2024-12-30 12:17:56
아메리카노,1176,2024-12-30 14:12:56
아메리카노,6126,2024-12-30 07:39:56
카푸치노,14282,2024-12-30 16:15:56
카푸치노,27841,2024-12-30 16:51:56
카푸치노,12742,2024-12-30 08:42:56
케이크,26925,2024-12-30 09:23:56
케이크,1232,2024-12-29 22:12:56
카푸치노,1073,2024-12-30 16:47:56
아메리카노,13848,2024-12-29 22:50:56
아메리카노,20413,2024-12-30 07:25:56
케이크,16838,2024-12-30 12:00:56
카푸치노,19159,2024-12-29 22:31:56
케이크,12734,2024-12-29 22:09:56
카푸치노,27427,2024-12-30 06:04:56
카푸치노,18409,2024-12-29 22:46:56
카푸치노,27773,2024-12-30 09:08:56
카푸치노,10137,2024-12-30 10:05:56
케이크,18591,2024-12-29 19:30:56
아메리카노,25041,2024-12-29 23:53:56
아메리카노,11675,2024-12-30 12:09:56
케이크,28555,2024-12-29 22:52:56
아메리카노,12331,2024-12-30 00:09:56
카푸치노,15781,2024-12-29 19:14:56
케이크,18949,2024-12-30 11:31:56
케이크,6090,2024-12-30 02:14:56
카푸치노,28547,2024-12-30 04:39:56
케이크,9025,2024-12-30 05:06:56
아메리카노,3980,2024-12-30 00:19:56
아메리카노,6609,2024-12-30 04:09:56
아메리카노,27345,2024-12-30 01:46:56
케이크,13805,2024-12-30 09:00:56
카푸치노,5704,2024-12-30 10:37:56
아메리카노,25013,2024-12-29 23:10:56
아메리카노,24771,2024-12-29 19:35:56
아메리카노,9017,2024-12-30 08:39:56
아메리카노,11804,2024-12-30 06:34:56
아메리카노,12209,2024-12-30 13:00:56
케이크,22693,2024-12-30 17:06:56
케이크,7270,2024-12-30 09:44:56
아메리카노,7992,2024-12-30 04:40:56
카푸치노,16948,2024-12-29 19:53:56
아메리카노,22388,2024-12-30 05:24:56
아메리카노,15131,2024-12-29 17:54:56
케이크,9172,2024-12-29 23:27:56
카푸치노,17718,2024-12-30 14:06:56
