menu,price,order_time
카푸치노,13503,2024-12-30 11:59:56
아메리카노,6752,2024-12-30 15:49:56
아메리카노,18407,2024-12-29 18:14:56
카푸치노,19859,2024-12-29 23:08:56
아메리카노,9699,2024-12-29 23:00:56
케이크,12226,2024-12-30 11:08:56
아메리카노,9650,2024-12-30 01:45:56
케이크,17225,2024-12-30 02:04:56
아메리카노,2590,2024-12-30 14:52:56
케이크,28439,2024-12-30 01:30:56
아메리카노,5129,2024-12-30 04:27:56
아메리카노,10722,2024-12-30 05:50:56
카푸치노,24125,2024-12-30 00:36:56
케이크,20954,2024-12-29 23:41:56
카푸치노,4548,2024-12-30 04:12:56
아메리카노,4641,2024-12-30 11:20:56
케이크,23910,2024-12-30 04:21:56
아메리카노,7268,2024-12-30 01:23:56
케이크,6340,2024-12-30 09:03:56
아메리카노,19952,2024-12-30 16:34:56
카푸치노,20894,2024-12-30 11:40:56
케이크,15344,2024-12-29 22:52:56
아메리카노,25750,2024-12-30 09:36:56
케이크,20876,2024-12-30 11:16:56
케이크,8724,2024-12-30 01:02:56
케이크,29923,2024-12-29 19:56:56
카푸치노,23797,2024-12-30 07:45:56
카푸치노,11335,2024-12-29 22:23:56
케이크,11808,2024-12-30 09:40:56
아메리카노,22922,2024-12-30 10:26:56
카푸치노,13210,2024-12-29 20:32:56
케이크,12199,2024-12-30 14:31:56
아메리카노,10414,2024-12-29 17:29:56
카푸치노,19320,2024-12-30 14:14:56
아메리카노,11139,2024-12-29 23:40:56
아메리카노,15799,2024-12-30 00:21:56
케이크,15833,2024-12-30 07:07:56
카푸치노,4840,2024-12-29 20:20:56
케이크,29428,2024-12-30 17:19:56
아메리카노,24474,2024-12-30 14:52:56
아메리카노,5227,2024-12-30 10:06:56
케이크,28127,2024-12-29 23:06:56
케이크,27782,2024-12-30 17:11:56
아메리카노,18371,2024-12-29 23:40:56
아메리카노,21293,2024-12-29 19:13:56
케이크,10261,2024-12-30 17:01:56
카푸치노,13147,2024-12-30 06:48:56
아메리카노,19168,2024-12-30 00:31:56
아메리카노,27324,2024-12-30 10:44:56
카푸치노,8978,2024-12-30 08:08:56
카푸치노,22001,2024-12-30 04:14:56
아메리카노,10716,2024-12-30 06:26:56
아메리카노,18996,2024-12-30 05:59:56
카푸치노,21653,2024-12-30 00:25:56
카푸치노,9975,2024-12-30 06:52:56
아메리카노,16881,2024-12-30 07:49:56
케이크,8896,2024-12-30 12:18:56
케이크,12913,2024-12-30 14:48:56
카푸치노,10604,2024-12-30 05:43:56
아메리카노,15707,2024-12-29 18:35:56
케이크,12443,2024-12-30 15:20:56
카푸치노,27325,2024-12-30 03:08:56
아메리카노,22477,2024-12-30 00:49:56
아메리카노,22659,2024-12-30 09:37:56
카푸치노,23477,2024-12-30 14:28:56
카푸치노,7306,2024-12-30 02:59:56
카푸치노,19372,2024-12-29 22:48:56
카푸치노,11609,2024-12-30 05:40:56
아메리카노,12512,2024-12-29 22:05:56
아메리카노,8261,2024-12-30 03:21:56
케이크,27073,2024-12-30 16:49:56
아메리카노,27892,2024-12-29 23:46:56
카푸치노,20275,2024-12-30 14:37:56
케이크,29599,2024-12-29 22:12:56
카푸치노,6902,2024-12-29 21:32:56
카푸치노,19741,2024-12-29 23:05:56
아메리카노,11506,2024-12-29 21:21:56
아메리카노,13613,2024-12-29 22:14:56
케이크,20613,2024-12-29 19:41:56
케이크,17112,2024-12-29 20:37:56
아메리카노,19884,2024-12-30 09:40:56
아메리카노,6997,2024-12-30 14:27:56
카푸치노,19934,2024-12-29 19:10:56
카푸치노,9430,2024-12-30 04:03:56
아메리카노,28480,2024-12-29 21:06:56
카푸치노,25926,2024-12-30 03:12:56
케이크,24786,2024-12-30 09:07:56
카푸치노,25301,2024-12-30 16:52:56
카푸치노,22894,2024-12-29 18:23:56
카푸치노,3341,2024-12-30 13:35:56
케이크,18740,2024-12-30 13:53:56
케이크,22299,2024-12-30 04:09:56
케이크,15043,2024-12-30 09:27:56
아메리카노,18172,2024-12-30 05:04:56
케이크,10816,2024-12-30 09:39:56
카푸치노,18984,2024-12-30 13:56:56
카푸치노,4156,2024-12-30 02:18:56
카푸치노,12028,2024-12-29 23:35:56
아메리카노,9015,2024-12-29 19:26:56
카푸치노,23870,2024-12-29 19:39:56
