menu,price,order_time
만두,27066,2024-12-30 14:59:56
떡볶이,23840,2024-12-30 10:44:56
만두,16716,2024-12-30 05:11:56
떡볶이,9906,2024-12-30 01:59:56
김밥,9859,2024-12-30 00:21:56
김밥,10553,2024-12-30 16:01:56
떡볶이,14169,2024-12-29 23:56:56
만두,16286,2024-12-29 21:10:56
떡볶이,26309,2024-12-30 11:56:56
만두,11650,2024-12-30 05:10:56
떡볶이,8039,2024-12-30 16:03:56
떡볶이,16225,2024-12-30 15:29:56
만두,27502,2024-12-30 16:35:56
만두,27105,2024-12-30 11:26:56
김밥,5751,2024-12-30 06:21:56
김밥,12140,2024-12-30 05:20:56
떡볶이,3209,2024-12-30 10:44:56
떡볶이,12311,2024-12-30 08:56:56
김밥,4155,2024-12-30 10:30:56
만두,13513,2024-12-30 03:31:56
김밥,15821,2024-12-30 13:07:56
만두,17016,2024-12-29 21:00:56
만두,15085,2024-12-30 06:20:56
김밥,3662,2024-12-30 02:20:56
만두,11624,2024-12-29 20:26:56
만두,11164,2024-12-30 00:21:56
떡볶이,11938,2024-12-30 04:49:56
만두,26719,2024-12-30 01:03:56
떡볶이,17731,2024-12-30 02:57:56
김밥,16744,2024-12-30 14:02:56
김밥,28848,2024-12-30 16:58:56
만두,15004,2024-12-30 17:01:56
김밥,29827,2024-12-29 20:03:56
만두,20507,2024-12-30 01:16:56
떡볶이,25901,2024-12-30 11:07:56
김밥,15931,2024-12-30 09:30:56
만두,19973,2024-12-30 08:09:56
만두,22859,2024-12-29 23:45:56
떡볶이,9682,2024-12-30 02:41:56
떡볶이,29551,2024-12-30 13:19:56
떡볶이,12569,2024-12-30 05:33:56
떡볶이,10345,2024-12-30 02:33:56
떡볶이,13889,2024-12-29 21:04:56
김밥,6527,2024-12-29 17:29:56
김밥,14746,2024-12-29 22:00:56
김밥,2331,2024-12-30 12:39:56
김밥,9802,2024-12-30 05:34:56
떡볶이,6555,2024-12-30 08:02:56
만두,26474,2024-12-30 06:31:56
떡볶이,14092,2024-12-30 02:57:56
떡볶이,1897,2024-12-30 16:17:56
김밥,28440,2024-12-30 13:46:56
김밥,15899,2024-12-29 22:30:56
떡볶이,11444,2024-12-30 16:17:56
만두,6568,2024-12-30 00:33:56
만두,26664,2024-12-30 05:02:56
만두,13652,2024-12-30 00:59:56
김밥,22765,2024-12-30 15:04:56
떡볶이,11262,2024-12-30 04:13:56
만두,20624,2024-12-29 23:08:56
떡볶이,14601,2024-12-29 18:17:56
만두,8084,2024-12-29 20:23:56
떡볶이,2666,2024-12-29 19:38:56
떡볶이,1730,2024-12-30 04:35:56
만두,11108,2024-12-30 16:18:56
떡볶이,8786,2024-12-29 19:06:56
김밥,27098,2024-12-30 11:46:56
떡볶이,29647,2024-12-30 01:26:56
만두,17637,2024-12-30 02:43:56
만두,18070,2024-12-30 07:25:56
떡볶이,25956,2024-12-29 19:58:56
김밥,24666,2024-12-30 04:41:56
김밥,3482,2024-12-30 01:08:56
떡볶이,4247,2024-12-30 05:21:56
김밥,4306,2024-12-30 00:06:56
만두,18850,2024-12-30 05:26:56
떡볶이,16111,2024-12-30 05:43:56
만두,16847,2024-12-30 02:05:56
김밥,10748,2024-12-30 13:56:56
떡볶이,4534,2024-12-29 20:39:56
떡볶이,4469,2024-12-30 09:10:56
만두,7033,2024-12-29 17:21:56
김밥,17556,2024-12-30 09:26:56
만두,11267,2024-12-30 08:01:56
김밥,5723,2024-12-29 20:06:56
만두,29593,2024-12-30 10:44:56
만두,15270,2024-12-30 03:05:56
만두,3351,2024-12-29 18:24:56
김밥,13741,2024-12-30 01:46:56
김밥,24286,2024-12-30 08:41:56
만두,3861,2024-12-29 21:32:56
김밥,29626,2024-12-30 08:43:56
김밥,17087,2024-12-29 19:21:56
떡볶이,5503,2024-12-29 23:42:56
김밥,11239,2024-12-30 06:08:56
떡볶이,8805,2024-12-30 00:27:56
떡볶이,1857,2024-12-29 22:11:56
만두,25902,2024-12-30 02:32:56
떡볶이,9775,2024-12-29 17:30:56
만두,23859,2024-12-30 10:26:56
