menu,price,order_time
감자튀김,8790,2024-12-30 09:41:56
감자튀김,18665,2024-12-30 06:15:56
닭강정,27885,2024-12-29 18:10:56
닭강정,15009,2024-12-30 12:23:56
닭강정,20444,2024-12-29 18:22:56
감자튀김,24353,2024-12-30 08:37:56
감자튀김,25535,2024-12-29 21:17:56
닭강정,16857,2024-12-30 11:42:56
닭강정,7820,2024-12-29 17:22:56
떡볶이,3079,2024-12-30 04:04:56
떡볶이,6633,2024-12-29 22:30:56
감자튀김,10634,2024-12-29 18:31:56
감자튀김,13234,2024-12-29 17:43:56
감자튀김,26478,2024-12-29 23:03:56
떡볶이,29319,2024-12-30 03:30:56
닭강정,24908,2024-12-30 01:46:56
감자튀김,22266,2024-12-30 00:50:56
떡볶이,5939,2024-12-30 11:19:56
닭강정,24791,2024-12-29 22:47:56
감자튀김,16221,2024-12-30 08:41:56
닭강정,22586,2024-12-29 23:38:56
감자튀김,14296,2024-12-30 07:43:56
떡볶이,11441,2024-12-29 18:21:56
감자튀김,16835,2024-12-29 19:32:56
닭강정,17050,2024-12-30 07:26:56
닭강정,24208,2024-12-30 09:07:56
닭강정,10939,2024-12-30 09:56:56
감자튀김,22876,2024-12-29 18:28:56
떡볶이,21361,2024-12-30 06:36:56
떡볶이,22214,2024-12-30 01:04:56
닭강정,12892,2024-12-30 12:18:56
감자튀김,24859,2024-12-29 18:07:56
떡볶이,10894,2024-12-30 14:13:56
감자튀김,7112,2024-12-29 22:31:56
떡볶이,24816,2024-12-29 18:31:56
떡볶이,23871,2024-12-30 05:40:56
떡볶이,2512,2024-12-30 14:29:56
닭강정,17239,2024-12-30 15:18:56
닭강정,23097,2024-12-30 02:31:56
떡볶이,9433,2024-12-29 21:24:56
감자튀김,23054,2024-12-30 12:23:56
떡볶이,3394,2024-12-29 23:39:56
감자튀김,4643,2024-12-29 21:08:56
닭강정,12424,2024-12-30 12:49:56
닭강정,2164,2024-12-29 22:37:56
닭강정,7296,2024-12-29 20:56:56
닭강정,13934,2024-12-30 16:14:56
감자튀김,19487,2024-12-29 19:36:56
감자튀김,1993,2024-12-29 19:38:56
감자튀김,20305,2024-12-29 22:48:56
떡볶이,26046,2024-12-30 12:45:56
떡볶이,20429,2024-12-30 17:13:56
떡볶이,25940,2024-12-30 03:21:56
떡볶이,10234,2024-12-30 07:46:56
닭강정,21099,2024-12-29 23:25:56
감자튀김,14766,2024-12-30 02:13:56
닭강정,23373,2024-12-30 15:41:56
닭강정,24669,2024-12-30 05:53:56
떡볶이,19376,2024-12-30 01:02:56
감자튀김,18963,2024-12-30 03:13:56
닭강정,11729,2024-12-30 07:15:56
떡볶이,16539,2024-12-30 03:32:56
닭강정,1027,2024-12-30 06:31:56
떡볶이,7555,2024-12-30 06:21:56
감자튀김,10734,2024-12-30 10:44:56
감자튀김,26021,2024-12-30 08:39:56
닭강정,17294,2024-12-30 13:40:56
닭강정,29805,2024-12-30 02:58:56
감자튀김,10503,2024-12-29 20:41:56
감자튀김,16768,2024-12-29 22:43:56
떡볶이,7818,2024-12-30 07:19:56
감자튀김,26753,2024-12-30 12:50:56
닭강정,19669,2024-12-29 23:14:56
떡볶이,20730,2024-12-30 08:45:56
닭강정,27249,2024-12-30 05:24:56
닭강정,27279,2024-12-30 13:09:56
떡볶이,7371,2024-12-29 21:29:56
떡볶이,26046,2024-12-29 23:04:56
떡볶이,25668,2024-12-30 15:26:56
떡볶이,4997,2024-12-30 12:38:56
떡볶이,18137,2024-12-29 18:16:56
감자튀김,5906,2024-12-30 11:54:56
떡볶이,29810,2024-12-29 21:59:56
닭강정,7714,2024-12-29 23:36:56
닭강정,16867,2024-12-30 07:36:56
떡볶이,17240,2024-12-30 00:32:56
감자튀김,15020,2024-12-29 18:24:56
떡볶이,20189,2024-12-30 09:29:56
닭강정,29257,2024-12-30 05:02:56
감자튀김,7728,2024-12-29 22:03:56
감자튀김,19144,2024-12-29 21:44:56
감자튀김,20160,2024-12-29 21:45:56
감자튀김,23191,2024-12-29 20:30:56
감자튀김,6931,2024-12-30 12:17:56
떡볶이,8930,2024-12-30 13:46:56
감자튀김,12745,2024-12-30 16:36:56
닭강정,27373,2024-12-30 12:31:56
감자튀김,11939,2024-12-30 07:22:56
닭강정,4471,2024-12-30 15:48:56
떡볶이,5470,2024-12-30 07:32:56
