menu,price,order_time
카푸치노,17424,2024-12-30 00:46:56
케이크,3637,2024-12-30 08:41:56
카푸치노,15757,2024-12-29 21:46:56
아메리카노,9976,2024-12-29 22:52:56
아메리카노,20156,2024-12-29 23:52:56
아메리카노,5821,2024-12-30 00:42:56
케이크,13780,2024-12-30 04:12:56
카푸치노,15772,2024-12-30 08:19:56
케이크,16466,2024-12-30 16:58:56
케이크,16642,2024-12-29 22:40:56
아메리카노,20781,2024-12-30 06:50:56
카푸치노,18554,2024-12-29 21:21:56
케이크,1228,2024-12-30 03:16:56
카푸치노,19736,2024-12-30 16:17:56
카푸치노,13670,2024-12-30 14:14:56
카푸치노,9172,2024-12-30 13:06:56
케이크,15046,2024-12-29 21:22:56
아메리카노,14232,2024-12-30 02:04:56
아메리카노,12463,2024-12-30 01:44:56
케이크,25138,2024-12-29 22:49:56
카푸치노,29680,2024-12-30 11:47:56
아메리카노,19280,2024-12-30 00:24:56
카푸치노,12608,2024-12-30 13:09:56
카푸치노,17125,2024-12-30 16:11:56
케이크,24590,2024-12-30 00:39:56
아메리카노,27902,2024-12-30 12:48:56
카푸치노,5819,2024-12-30 12:01:56
카푸치노,13484,2024-12-30 12:28:56
아메리카노,20521,2024-12-29 19:41:56
아메리카노,26473,2024-12-29 22:43:56
케이크,16762,2024-12-30 00:18:56
카푸치노,28342,2024-12-30 14:18:56
케이크,12724,2024-12-30 11:33:56
카푸치노,8965,2024-12-29 17:55:56
케이크,29022,2024-12-30 16:55:56
아메리카노,25442,2024-12-30 10:38:56
케이크,5411,2024-12-30 10:36:56
카푸치노,14219,2024-12-30 04:17:56
카푸치노,5097,2024-12-30 17:20:56
카푸치노,27240,2024-12-30 06:29:56
아메리카노,17300,2024-12-30 12:42:56
케이크,16595,2024-12-30 14:54:56
아메리카노,10006,2024-12-29 23:08:56
카푸치노,27000,2024-12-30 05:23:56
아메리카노,1286,2024-12-29 20:16:56
아메리카노,28914,2024-12-30 15:20:56
케이크,29444,2024-12-30 03:40:56
카푸치노,22479,2024-12-29 17:37:56
카푸치노,29334,2024-12-30 05:55:56
카푸치노,14144,2024-12-30 07:59:56
아메리카노,11293,2024-12-30 07:57:56
카푸치노,1101,2024-12-30 10:00:56
아메리카노,19496,2024-12-30 05:53:56
카푸치노,23174,2024-12-29 18:41:56
아메리카노,11493,2024-12-30 00:21:56
카푸치노,29501,2024-12-29 22:46:56
카푸치노,8118,2024-12-29 18:16:56
카푸치노,22252,2024-12-30 11:15:56
아메리카노,15295,2024-12-29 20:50:56
카푸치노,5545,2024-12-29 19:21:56
아메리카노,28409,2024-12-30 00:07:56
아메리카노,2048,2024-12-30 11:43:56
케이크,24108,2024-12-30 08:07:56
카푸치노,18433,2024-12-30 13:47:56
케이크,29213,2024-12-30 11:37:56
아메리카노,16110,2024-12-30 02:20:56
카푸치노,5026,2024-12-30 17:08:56
카푸치노,14874,2024-12-30 16:41:56
카푸치노,25374,2024-12-30 16:05:56
케이크,27587,2024-12-30 12:57:56
케이크,21438,2024-12-30 03:53:56
카푸치노,5304,2024-12-29 17:45:56
카푸치노,24602,2024-12-30 04:57:56
케이크,24652,2024-12-30 07:05:56
케이크,15837,2024-12-30 17:21:56
아메리카노,21538,2024-12-30 05:18:56
케이크,11091,2024-12-29 17:52:56
케이크,6358,2024-12-30 12:06:56
카푸치노,14553,2024-12-30 02:47:56
아메리카노,10120,2024-12-30 07:09:56
카푸치노,25614,2024-12-30 07:17:56
케이크,14192,2024-12-30 07:57:56
케이크,9992,2024-12-30 15:07:56
카푸치노,15107,2024-12-30 10:18:56
케이크,14691,2024-12-29 21:44:56
아메리카노,16455,2024-12-29 20:22:56
아메리카노,27306,2024-12-30 09:09:56
아메리카노,19071,2024-12-30 04:52:56
카푸치노,15595,2024-12-30 08:10:56
아메리카노,2393,2024-12-30 13:15:56
케이크,26495,2024-12-29 17:33:56
아메리카노,3936,2024-12-30 11:39:56
케이크,28905,2024-12-30 09:44:56
카푸치노,25249,2024-12-30 16:09:56
카푸치노,16484,2024-12-29 19:30:56
케이크,13976,2024-12-30 04:34:56
카푸치노,28126,2024-12-29 20:30:56
케이크,7568,2024-12-30 09:03:56
케이크,15631,2024-12-29 18:44:56
케이크,5220,2024-12-30 13:26:56
