menu,price,order_time
떡볶이,27092,2024-12-30 12:37:57
감자튀김,4016,2024-12-29 21:58:57
감자튀김,17446,2024-12-29 19:21:57
닭강정,13382,2024-12-30 04:48:57
감자튀김,6069,2024-12-30 11:25:57
감자튀김,22680,2024-12-30 04:44:57
떡볶이,4063,2024-12-30 06:37:57
떡볶이,11239,2024-12-30 05:19:57
떡볶이,29145,2024-12-29 22:07:57
닭강정,28213,2024-12-30 08:02:57
떡볶이,11082,2024-12-30 09:49:57
떡볶이,17597,2024-12-29 21:39:57
떡볶이,18864,2024-12-30 02:22:57
감자튀김,9906,2024-12-30 04:12:57
떡볶이,20587,2024-12-29 18:49:57
감자튀김,16501,2024-12-30 16:15:57
떡볶이,23376,2024-12-30 09:09:57
닭강정,11424,2024-12-30 00:48:57
닭강정,3084,2024-12-30 12:17:57
떡볶이,19692,2024-12-29 22:32:57
떡볶이,29349,2024-12-30 00:44:57
떡볶이,23819,2024-12-30 04:36:57
닭강정,26108,2024-12-29 18:56:57
감자튀김,19289,2024-12-29 22:22:57
감자튀김,17169,2024-12-30 10:29:57
감자튀김,24470,2024-12-30 17:16:57
감자튀김,11183,2024-12-29 23:28:57
떡볶이,5003,2024-12-30 01:55:57
감자튀김,11534,2024-12-30 04:06:57
닭강정,23157,2024-12-30 00:29:57
떡볶이,10055,2024-12-30 03:17:57
닭강정,12584,2024-12-30 16:46:57
떡볶이,26320,2024-12-29 21:25:57
감자튀김,4826,2024-12-30 02:16:57
감자튀김,21415,2024-12-30 04:09:57
감자튀김,19937,2024-12-29 19:18:57
감자튀김,3363,2024-12-30 04:28:57
감자튀김,2228,2024-12-30 02:27:57
떡볶이,24821,2024-12-29 23:16:57
닭강정,7898,2024-12-29 23:30:57
닭강정,27818,2024-12-29 23:38:57
떡볶이,25978,2024-12-30 11:52:57
감자튀김,14007,2024-12-30 14:48:57
감자튀김,15874,2024-12-30 04:19:57
감자튀김,19890,2024-12-29 17:55:57
닭강정,5739,2024-12-29 22:11:57
닭강정,10247,2024-12-29 20:22:57
닭강정,5534,2024-12-30 11:24:57
떡볶이,19050,2024-12-30 08:37:57
떡볶이,22063,2024-12-29 23:25:57
닭강정,26494,2024-12-29 20:34:57
닭강정,24469,2024-12-30 01:04:57
닭강정,10276,2024-12-30 05:04:57
떡볶이,4050,2024-12-29 20:25:57
닭강정,28480,2024-12-30 09:43:57
떡볶이,16136,2024-12-30 07:51:57
떡볶이,27637,2024-12-30 03:53:57
닭강정,27696,2024-12-30 06:18:57
닭강정,23234,2024-12-29 23:38:57
닭강정,24396,2024-12-30 02:56:57
떡볶이,26200,2024-12-30 10:27:57
닭강정,17213,2024-12-30 01:01:57
떡볶이,13971,2024-12-29 18:44:57
떡볶이,23026,2024-12-29 17:39:57
닭강정,25004,2024-12-30 07:07:57
감자튀김,6882,2024-12-30 11:37:57
떡볶이,26340,2024-12-30 04:21:57
떡볶이,8812,2024-12-29 17:56:57
닭강정,25805,2024-12-29 20:38:57
닭강정,24322,2024-12-30 14:26:57
닭강정,26056,2024-12-30 01:36:57
감자튀김,9806,2024-12-30 17:17:57
떡볶이,2932,2024-12-29 21:07:57
감자튀김,8392,2024-12-30 13:48:57
닭강정,19288,2024-12-30 14:06:57
떡볶이,16100,2024-12-30 15:42:57
감자튀김,2630,2024-12-30 16:31:57
닭강정,19320,2024-12-30 04:51:57
떡볶이,7309,2024-12-29 17:32:57
감자튀김,12470,2024-12-30 09:32:57
떡볶이,1748,2024-12-30 00:50:57
떡볶이,15445,2024-12-30 11:59:57
닭강정,22474,2024-12-30 11:55:57
떡볶이,28322,2024-12-30 05:45:57
닭강정,23802,2024-12-30 04:24:57
닭강정,4877,2024-12-30 01:45:57
닭강정,1298,2024-12-30 16:48:57
감자튀김,8151,2024-12-30 01:00:57
닭강정,19016,2024-12-29 22:23:57
떡볶이,17694,2024-12-30 04:58:57
닭강정,17559,2024-12-30 03:12:57
감자튀김,19067,2024-12-30 08:35:57
떡볶이,27930,2024-12-29 17:53:57
떡볶이,28927,2024-12-30 07:05:57
감자튀김,21019,2024-12-29 17:26:57
닭강정,24417,2024-12-30 06:01:57
닭강정,19249,2024-12-30 02:44:57
감자튀김,3831,2024-12-30 14:09:57
닭강정,17546,2024-12-30 02:57:57
닭강정,7774,2024-12-30 15:34:57
