menu,price,order_time
감자튀김,1375,2024-12-30 07:47:56
감자튀김,17035,2024-12-29 21:00:56
떡볶이,27151,2024-12-29 17:40:56
감자튀김,24414,2024-12-29 18:58:56
감자튀김,24035,2024-12-30 05:58:56
감자튀김,2292,2024-12-30 09:35:56
닭강정,23849,2024-12-29 23:55:56
닭강정,12788,2024-12-30 15:52:56
닭강정,27919,2024-12-30 12:42:56
닭강정,24039,2024-12-30 16:26:56
감자튀김,24629,2024-12-30 03:00:56
닭강정,23185,2024-12-30 03:54:56
닭강정,3781,2024-12-30 06:25:56
떡볶이,15841,2024-12-29 19:12:56
닭강정,8560,2024-12-30 15:15:56
감자튀김,23444,2024-12-30 01:54:56
떡볶이,5640,2024-12-30 14:35:56
닭강정,5191,2024-12-30 16:28:56
닭강정,22218,2024-12-30 13:09:56
감자튀김,22176,2024-12-30 11:57:56
닭강정,13825,2024-12-30 14:42:56
떡볶이,5303,2024-12-29 23:23:56
닭강정,20776,2024-12-29 23:43:56
감자튀김,9947,2024-12-29 22:31:56
떡볶이,2870,2024-12-30 12:04:56
닭강정,12682,2024-12-30 09:17:56
감자튀김,15292,2024-12-30 03:09:56
떡볶이,3585,2024-12-30 01:44:56
감자튀김,1028,2024-12-30 01:28:56
떡볶이,27714,2024-12-30 04:17:56
닭강정,10804,2024-12-30 01:28:56
떡볶이,29647,2024-12-30 12:15:56
닭강정,18055,2024-12-29 19:12:56
떡볶이,4646,2024-12-29 23:55:56
감자튀김,18196,2024-12-30 08:44:56
감자튀김,25270,2024-12-30 02:35:56
닭강정,17540,2024-12-30 10:45:56
감자튀김,25671,2024-12-30 09:29:56
감자튀김,7029,2024-12-30 05:20:56
떡볶이,10245,2024-12-30 10:10:56
떡볶이,21970,2024-12-30 10:55:56
떡볶이,9048,2024-12-29 21:59:56
떡볶이,24010,2024-12-30 11:11:56
떡볶이,20962,2024-12-30 11:06:56
닭강정,6607,2024-12-30 00:04:56
닭강정,28693,2024-12-30 12:58:56
감자튀김,3099,2024-12-30 04:38:56
감자튀김,26083,2024-12-30 00:28:56
닭강정,2409,2024-12-29 23:11:56
감자튀김,2890,2024-12-30 00:50:56
감자튀김,11341,2024-12-30 15:49:56
떡볶이,12275,2024-12-30 07:32:56
닭강정,12920,2024-12-30 11:05:56
감자튀김,29021,2024-12-30 03:14:56
떡볶이,28683,2024-12-29 21:31:56
떡볶이,9530,2024-12-29 23:48:56
떡볶이,9100,2024-12-29 19:44:56
닭강정,23362,2024-12-30 02:55:56
닭강정,9420,2024-12-29 21:56:56
닭강정,6765,2024-12-29 23:49:56
닭강정,27829,2024-12-29 22:45:56
닭강정,16997,2024-12-30 10:02:56
떡볶이,21579,2024-12-30 15:59:56
닭강정,28364,2024-12-29 22:00:56
닭강정,23471,2024-12-30 07:32:56
떡볶이,29440,2024-12-30 15:26:56
감자튀김,4374,2024-12-30 05:16:56
감자튀김,26497,2024-12-30 12:05:56
닭강정,8068,2024-12-29 20:45:56
떡볶이,18744,2024-12-30 09:51:56
감자튀김,29663,2024-12-30 10:52:56
떡볶이,5357,2024-12-29 21:53:56
닭강정,24393,2024-12-30 06:57:56
감자튀김,20338,2024-12-30 07:37:56
닭강정,2560,2024-12-30 07:52:56
닭강정,25313,2024-12-30 08:16:56
감자튀김,22689,2024-12-30 16:24:56
떡볶이,8128,2024-12-30 08:31:56
닭강정,26781,2024-12-30 15:48:56
떡볶이,20147,2024-12-30 10:35:56
떡볶이,19811,2024-12-30 08:57:56
떡볶이,7194,2024-12-29 20:26:56
감자튀김,3051,2024-12-30 02:23:56
감자튀김,2926,2024-12-29 20:37:56
떡볶이,19931,2024-12-30 14:30:56
닭강정,7564,2024-12-30 17:08:56
닭강정,18850,2024-12-30 10:20:56
닭강정,11645,2024-12-30 14:09:56
닭강정,13573,2024-12-29 23:53:56
닭강정,11729,2024-12-30 02:48:56
닭강정,21421,2024-12-30 09:33:56
감자튀김,9047,2024-12-30 09:06:56
닭강정,3408,2024-12-29 22:31:56
닭강정,12021,2024-12-30 00:57:56
닭강정,18958,2024-12-30 06:15:56
떡볶이,19581,2024-12-29 22:29:56
감자튀김,12296,2024-12-30 04:37:56
닭강정,5702,2024-12-30 00:26:56
감자튀김,13525,2024-12-30 15:55:56
떡볶이,19491,2024-12-30 02:32:56
