menu,price,order_time
카푸치노,16873,2024-12-30 06:15:56
카푸치노,6606,2024-12-29 19:55:56
아메리카노,4777,2024-12-30 14:36:56
케이크,17986,2024-12-30 14:01:56
케이크,15375,2024-12-29 18:19:56
아메리카노,26594,2024-12-29 22:50:56
아메리카노,8271,2024-12-30 02:05:56
아메리카노,27788,2024-12-30 05:28:56
아메리카노,16080,2024-12-30 00:02:56
케이크,3806,2024-12-30 14:20:56
카푸치노,10601,2024-12-30 03:13:56
카푸치노,14183,2024-12-30 10:12:56
아메리카노,19136,2024-12-29 19:08:56
카푸치노,12207,2024-12-29 23:33:56
아메리카노,7544,2024-12-29 23:12:56
카푸치노,19005,2024-12-30 05:27:56
케이크,18292,2024-12-29 22:01:56
카푸치노,28206,2024-12-30 05:28:56
아메리카노,9345,2024-12-29 22:42:56
케이크,10740,2024-12-30 15:41:56
아메리카노,29768,2024-12-29 17:22:56
아메리카노,1614,2024-12-30 05:46:56
아메리카노,26115,2024-12-30 08:18:56
카푸치노,17532,2024-12-30 00:11:56
아메리카노,18482,2024-12-29 18:04:56
아메리카노,4384,2024-12-30 09:53:56
아메리카노,26110,2024-12-30 03:42:56
카푸치노,18658,2024-12-30 11:17:56
아메리카노,24486,2024-12-30 12:42:56
카푸치노,5108,2024-12-30 16:51:56
아메리카노,15221,2024-12-30 03:23:56
케이크,21713,2024-12-30 05:44:56
아메리카노,24630,2024-12-30 06:01:56
케이크,17968,2024-12-30 05:27:56
카푸치노,16517,2024-12-30 10:14:56
아메리카노,27704,2024-12-30 09:07:56
케이크,18869,2024-12-30 06:37:56
아메리카노,4704,2024-12-30 12:35:56
카푸치노,9915,2024-12-29 21:56:56
아메리카노,2651,2024-12-30 01:34:56
카푸치노,14268,2024-12-30 07:05:56
카푸치노,10235,2024-12-29 21:53:56
카푸치노,3894,2024-12-30 08:50:56
케이크,4110,2024-12-30 06:55:56
케이크,29102,2024-12-30 14:08:56
카푸치노,21247,2024-12-30 07:38:56
카푸치노,20457,2024-12-30 09:20:56
케이크,20537,2024-12-30 01:04:56
카푸치노,28293,2024-12-30 05:54:56
카푸치노,15070,2024-12-30 01:06:56
카푸치노,20668,2024-12-29 23:37:56
카푸치노,2413,2024-12-30 01:31:56
카푸치노,17698,2024-12-29 18:54:56
케이크,18967,2024-12-30 13:26:56
카푸치노,24767,2024-12-29 22:34:56
카푸치노,7765,2024-12-29 22:03:56
카푸치노,10400,2024-12-30 13:24:56
케이크,1249,2024-12-29 21:19:56
케이크,16448,2024-12-29 22:43:56
아메리카노,10201,2024-12-30 11:26:56
케이크,16735,2024-12-30 07:59:56
카푸치노,11586,2024-12-30 01:27:56
카푸치노,12662,2024-12-30 02:31:56
아메리카노,18767,2024-12-30 11:01:56
케이크,1883,2024-12-30 07:58:56
케이크,29986,2024-12-29 23:57:56
케이크,24877,2024-12-29 19:12:56
카푸치노,24270,2024-12-30 15:58:56
아메리카노,8331,2024-12-29 23:32:56
케이크,6987,2024-12-29 18:42:56
카푸치노,12201,2024-12-29 19:13:56
케이크,11393,2024-12-29 19:48:56
케이크,11074,2024-12-30 07:24:56
케이크,12283,2024-12-30 04:53:56
카푸치노,25963,2024-12-30 02:03:56
카푸치노,28985,2024-12-29 17:27:56
카푸치노,25876,2024-12-29 19:51:56
케이크,22186,2024-12-30 06:47:56
아메리카노,23623,2024-12-30 12:36:56
아메리카노,1922,2024-12-29 18:54:56
케이크,1632,2024-12-30 07:36:56
카푸치노,6227,2024-12-30 08:48:56
케이크,25267,2024-12-30 06:47:56
카푸치노,23647,2024-12-30 14:25:56
케이크,15674,2024-12-30 16:27:56
카푸치노,14518,2024-12-29 23:34:56
케이크,4601,2024-12-30 13:44:56
케이크,20720,2024-12-30 04:45:56
케이크,20416,2024-12-30 07:05:56
케이크,13616,2024-12-29 21:26:56
아메리카노,8471,2024-12-30 15:49:56
케이크,22539,2024-12-30 17:16:56
아메리카노,4897,2024-12-30 14:16:56
아메리카노,10336,2024-12-29 19:46:56
케이크,27463,2024-12-30 13:14:56
케이크,22646,2024-12-30 15:24:56
아메리카노,23045,2024-12-29 21:15:56
카푸치노,19515,2024-12-29 21:19:56
카푸치노,12283,2024-12-30 02:12:56
카푸치노,13197,2024-12-30 13:37:56
