menu,price,order_time
아메리카노,14336,2024-12-30 03:51:56
아메리카노,4395,2024-12-30 12:52:56
카푸치노,15831,2024-12-30 01:20:56
카푸치노,29636,2024-12-30 14:06:56
아메리카노,24963,2024-12-30 15:10:56
아메리카노,3551,2024-12-30 03:26:56
케이크,28589,2024-12-29 21:54:56
카푸치노,11329,2024-12-30 01:04:56
케이크,7533,2024-12-30 05:19:56
케이크,18140,2024-12-30 05:00:56
케이크,21182,2024-12-30 12:13:56
카푸치노,7397,2024-12-30 04:03:56
케이크,26528,2024-12-29 22:50:56
카푸치노,3504,2024-12-29 21:38:56
아메리카노,22130,2024-12-30 02:57:56
아메리카노,28762,2024-12-30 00:07:56
카푸치노,11831,2024-12-30 10:27:56
카푸치노,3104,2024-12-29 20:42:56
아메리카노,4462,2024-12-30 07:16:56
카푸치노,2454,2024-12-29 20:19:56
아메리카노,16593,2024-12-30 02:42:56
아메리카노,13846,2024-12-30 16:30:56
케이크,1925,2024-12-29 20:43:56
아메리카노,13345,2024-12-30 04:58:56
카푸치노,6648,2024-12-30 00:38:56
아메리카노,3479,2024-12-30 01:41:56
케이크,5421,2024-12-30 05:16:56
아메리카노,19388,2024-12-30 15:50:56
아메리카노,3033,2024-12-30 16:10:56
아메리카노,8769,2024-12-30 13:43:56
카푸치노,12923,2024-12-30 16:54:56
아메리카노,11195,2024-12-30 03:22:56
아메리카노,18508,2024-12-29 20:30:56
아메리카노,19800,2024-12-30 08:46:56
아메리카노,10945,2024-12-30 08:13:56
아메리카노,3409,2024-12-29 23:44:56
아메리카노,6825,2024-12-29 22:02:56
아메리카노,4999,2024-12-30 00:47:56
아메리카노,10840,2024-12-30 12:11:56
케이크,8217,2024-12-29 21:38:56
아메리카노,16339,2024-12-30 06:25:56
케이크,4204,2024-12-29 20:27:56
아메리카노,19895,2024-12-29 22:16:56
케이크,3658,2024-12-30 13:17:56
케이크,16595,2024-12-30 16:16:56
아메리카노,19449,2024-12-30 06:50:56
아메리카노,25739,2024-12-30 02:50:56
카푸치노,22364,2024-12-30 07:47:56
카푸치노,20736,2024-12-30 04:02:56
케이크,3673,2024-12-30 15:04:56
카푸치노,21273,2024-12-30 08:32:56
아메리카노,24028,2024-12-30 10:28:56
아메리카노,18351,2024-12-29 19:12:56
카푸치노,17428,2024-12-30 08:25:56
카푸치노,20112,2024-12-30 14:55:56
케이크,18720,2024-12-30 01:32:56
케이크,9170,2024-12-30 12:14:56
아메리카노,13383,2024-12-30 03:36:56
카푸치노,7434,2024-12-30 05:37:56
아메리카노,5385,2024-12-30 08:18:56
케이크,9028,2024-12-30 06:02:56
카푸치노,27766,2024-12-30 10:35:56
아메리카노,15321,2024-12-30 03:41:56
케이크,2637,2024-12-29 20:15:56
케이크,23545,2024-12-29 22:02:56
케이크,12758,2024-12-30 09:52:56
아메리카노,16310,2024-12-29 21:03:56
케이크,2339,2024-12-30 15:52:56
아메리카노,22920,2024-12-30 03:13:56
케이크,29279,2024-12-30 05:46:56
케이크,20857,2024-12-30 12:58:56
케이크,19180,2024-12-29 19:21:56
아메리카노,16613,2024-12-30 04:12:56
케이크,20790,2024-12-29 22:18:56
카푸치노,10640,2024-12-29 19:57:56
카푸치노,20014,2024-12-30 07:22:56
카푸치노,12033,2024-12-30 01:54:56
케이크,19485,2024-12-29 20:40:56
케이크,25151,2024-12-30 05:31:56
카푸치노,16796,2024-12-30 17:16:56
아메리카노,12706,2024-12-30 17:08:56
카푸치노,4413,2024-12-30 05:47:56
아메리카노,23122,2024-12-30 06:13:56
아메리카노,3327,2024-12-30 02:05:56
케이크,22515,2024-12-30 10:51:56
카푸치노,25902,2024-12-30 07:17:56
케이크,6638,2024-12-30 02:22:56
카푸치노,6605,2024-12-30 01:30:56
아메리카노,4342,2024-12-29 23:33:56
케이크,15288,2024-12-30 04:21:56
아메리카노,17206,2024-12-29 23:59:56
케이크,29518,2024-12-30 02:52:56
아메리카노,6171,2024-12-29 22:52:56
아메리카노,20630,2024-12-30 00:45:56
아메리카노,22518,2024-12-29 21:36:56
아메리카노,27997,2024-12-29 20:15:56
아메리카노,10433,2024-12-29 22:08:56
카푸치노,25321,2024-12-30 07:03:56
케이크,20908,2024-12-30 13:52:56
아메리카노,25753,2024-12-30 08:11:56
