menu,price,order_time
아메리카노,23201,2024-12-30 13:55:56
카푸치노,25159,2024-12-30 13:18:56
카푸치노,20902,2024-12-30 10:39:56
카푸치노,4265,2024-12-29 21:55:56
카푸치노,5290,2024-12-29 20:23:56
아메리카노,6491,2024-12-30 13:02:56
아메리카노,26526,2024-12-30 08:06:56
아메리카노,12763,2024-12-30 07:50:56
케이크,28999,2024-12-30 10:41:56
카푸치노,22857,2024-12-30 03:01:56
케이크,13845,2024-12-30 00:03:56
카푸치노,25892,2024-12-30 13:18:56
케이크,21368,2024-12-30 05:34:56
아메리카노,8713,2024-12-30 07:46:56
카푸치노,20242,2024-12-30 13:45:56
아메리카노,29508,2024-12-30 15:23:56
아메리카노,12417,2024-12-29 17:30:56
아메리카노,8376,2024-12-30 04:41:56
카푸치노,12617,2024-12-30 12:40:56
카푸치노,27695,2024-12-29 21:50:56
아메리카노,14772,2024-12-30 10:20:56
카푸치노,1098,2024-12-30 12:17:56
카푸치노,29675,2024-12-30 00:49:56
카푸치노,16735,2024-12-29 19:51:56
카푸치노,20011,2024-12-30 15:57:56
카푸치노,24978,2024-12-30 07:13:56
아메리카노,14442,2024-12-30 15:30:56
카푸치노,9742,2024-12-29 22:47:56
아메리카노,2786,2024-12-30 17:00:56
카푸치노,11362,2024-12-29 21:09:56
카푸치노,17925,2024-12-29 17:35:56
아메리카노,22493,2024-12-30 03:19:56
케이크,24142,2024-12-29 20:07:56
케이크,7334,2024-12-29 20:43:56
케이크,17972,2024-12-30 15:06:56
아메리카노,14373,2024-12-29 20:10:56
카푸치노,23381,2024-12-29 22:03:56
아메리카노,14855,2024-12-30 10:58:56
아메리카노,15367,2024-12-30 15:04:56
카푸치노,1132,2024-12-29 20:55:56
아메리카노,11178,2024-12-29 21:49:56
카푸치노,5047,2024-12-29 23:23:56
아메리카노,10487,2024-12-30 00:59:56
케이크,26761,2024-12-29 21:12:56
케이크,15030,2024-12-30 16:10:56
아메리카노,21924,2024-12-29 20:01:56
카푸치노,12159,2024-12-30 10:16:56
케이크,10657,2024-12-29 23:30:56
아메리카노,13430,2024-12-30 13:29:56
케이크,13512,2024-12-29 19:05:56
아메리카노,27070,2024-12-30 09:07:56
아메리카노,16184,2024-12-29 19:45:56
아메리카노,8140,2024-12-30 03:33:56
아메리카노,18314,2024-12-30 14:02:56
아메리카노,28717,2024-12-30 14:18:56
케이크,7892,2024-12-30 15:17:56
케이크,12152,2024-12-29 19:53:56
아메리카노,4763,2024-12-30 01:08:56
케이크,8557,2024-12-29 22:25:56
케이크,1695,2024-12-29 21:28:56
아메리카노,22541,2024-12-30 09:52:56
케이크,23286,2024-12-30 07:49:56
케이크,28325,2024-12-29 18:39:56
케이크,14071,2024-12-29 22:04:56
케이크,10266,2024-12-30 16:18:56
케이크,20806,2024-12-30 13:12:56
카푸치노,7352,2024-12-30 12:43:56
아메리카노,19569,2024-12-29 17:46:56
카푸치노,6696,2024-12-29 22:27:56
케이크,21616,2024-12-30 04:56:56
아메리카노,24223,2024-12-29 20:22:56
아메리카노,2475,2024-12-30 09:29:56
아메리카노,2678,2024-12-30 13:30:56
아메리카노,18436,2024-12-30 10:56:56
케이크,12044,2024-12-29 17:56:56
아메리카노,21313,2024-12-30 05:16:56
카푸치노,16343,2024-12-30 06:22:56
카푸치노,9944,2024-12-30 00:50:56
카푸치노,20435,2024-12-30 05:32:56
아메리카노,10193,2024-12-29 17:25:56
케이크,6198,2024-12-29 22:36:56
카푸치노,11880,2024-12-30 13:50:56
아메리카노,8242,2024-12-29 19:50:56
카푸치노,3920,2024-12-30 04:58:56
아메리카노,8754,2024-12-30 07:19:56
카푸치노,26743,2024-12-30 01:17:56
아메리카노,2375,2024-12-30 12:39:56
케이크,18985,2024-12-30 00:17:56
아메리카노,5958,2024-12-29 20:11:56
케이크,22126,2024-12-30 06:16:56
카푸치노,5020,2024-12-29 17:39:56
카푸치노,8845,2024-12-30 10:31:56
카푸치노,14353,2024-12-30 12:11:56
케이크,11994,2024-12-30 05:44:56
카푸치노,21548,2024-12-30 08:50:56
아메리카노,1552,2024-12-30 13:13:56
카푸치노,27661,2024-12-29 21:53:56
카푸치노,14099,2024-12-30 12:29:56
카푸치노,12075,2024-12-30 12:14:56
케이크,29285,2024-12-29 22:06:56
