menu,price,order_time
도넛,14926,2024-12-30 08:28:56
크루아상,27991,2024-12-29 20:09:56
머핀,6686,2024-12-30 00:02:56
머핀,14395,2024-12-29 20:43:56
머핀,28290,2024-12-30 08:00:56
도넛,19522,2024-12-30 08:33:56
머핀,19880,2024-12-30 14:02:56
크루아상,16317,2024-12-30 08:51:56
크루아상,9978,2024-12-30 07:02:56
머핀,6692,2024-12-30 08:50:56
도넛,29674,2024-12-30 08:07:56
도넛,8939,2024-12-30 05:27:56
도넛,8311,2024-12-29 19:11:56
머핀,23147,2024-12-30 13:39:56
도넛,17388,2024-12-30 12:52:56
도넛,13159,2024-12-30 01:44:56
도넛,23868,2024-12-30 15:05:56
머핀,9721,2024-12-30 12:09:56
크루아상,4554,2024-12-30 13:46:56
크루아상,12213,2024-12-30 09:58:56
크루아상,17966,2024-12-30 15:30:56
도넛,26586,2024-12-30 08:04:56
머핀,1047,2024-12-30 05:34:56
머핀,26745,2024-12-30 17:07:56
머핀,6571,2024-12-30 15:03:56
도넛,3944,2024-12-30 13:02:56
머핀,29227,2024-12-30 15:33:56
머핀,18050,2024-12-30 06:06:56
크루아상,1012,2024-12-29 22:57:56
크루아상,16732,2024-12-30 08:45:56
도넛,4953,2024-12-29 21:31:56
머핀,13586,2024-12-30 10:53:56
도넛,29118,2024-12-30 12:22:56
크루아상,12718,2024-12-29 18:28:56
머핀,8219,2024-12-29 17:38:56
머핀,1630,2024-12-30 16:39:56
크루아상,5003,2024-12-30 15:07:56
크루아상,13627,2024-12-30 06:59:56
도넛,11810,2024-12-29 22:16:56
크루아상,24231,2024-12-30 04:17:56
크루아상,6004,2024-12-30 03:21:56
머핀,2266,2024-12-30 00:36:56
도넛,17210,2024-12-30 12:38:56
크루아상,27899,2024-12-29 23:48:56
도넛,10774,2024-12-30 06:47:56
머핀,7499,2024-12-30 12:35:56
도넛,9114,2024-12-29 21:55:56
크루아상,1875,2024-12-30 13:02:56
도넛,2474,2024-12-30 08:15:56
머핀,17173,2024-12-29 22:20:56
크루아상,23031,2024-12-30 10:16:56
도넛,5830,2024-12-30 11:14:56
도넛,5173,2024-12-30 05:20:56
도넛,7961,2024-12-29 18:43:56
머핀,25200,2024-12-30 16:57:56
크루아상,21097,2024-12-30 16:58:56
머핀,19346,2024-12-30 07:27:56
크루아상,8909,2024-12-30 00:22:56
머핀,27062,2024-12-30 05:18:56
크루아상,11818,2024-12-30 05:58:56
도넛,20269,2024-12-30 06:16:56
크루아상,25363,2024-12-30 01:10:56
머핀,16463,2024-12-30 05:09:56
도넛,27416,2024-12-30 11:45:56
크루아상,18443,2024-12-30 03:59:56
도넛,11656,2024-12-30 11:50:56
도넛,6241,2024-12-30 14:31:56
도넛,28090,2024-12-30 01:49:56
크루아상,21990,2024-12-30 04:40:56
크루아상,11778,2024-12-30 11:43:56
크루아상,22648,2024-12-30 02:28:56
머핀,20745,2024-12-30 07:30:56
크루아상,3474,2024-12-30 10:13:56
도넛,16475,2024-12-30 11:48:56
크루아상,6755,2024-12-30 12:24:56
크루아상,20588,2024-12-29 18:18:56
도넛,21458,2024-12-30 13:50:56
크루아상,23164,2024-12-29 20:13:56
도넛,5712,2024-12-29 17:50:56
크루아상,17693,2024-12-30 15:20:56
크루아상,13925,2024-12-30 17:13:56
도넛,20036,2024-12-29 18:56:56
머핀,20393,2024-12-30 03:01:56
크루아상,7675,2024-12-29 19:08:56
머핀,18253,2024-12-30 02:42:56
도넛,15999,2024-12-30 08:00:56
머핀,22866,2024-12-30 08:02:56
머핀,12370,2024-12-30 13:23:56
머핀,14441,2024-12-30 11:19:56
도넛,17173,2024-12-30 12:12:56
도넛,3822,2024-12-30 00:32:56
도넛,12687,2024-12-30 14:00:56
도넛,7059,2024-12-30 07:20:56
도넛,11220,2024-12-30 03:48:56
크루아상,11777,2024-12-29 19:55:56
크루아상,12652,2024-12-30 10:09:56
머핀,10386,2024-12-30 13:51:56
도넛,6125,2024-12-29 23:48:56
도넛,14411,2024-12-29 22:56:56
머핀,1161,2024-12-29 17:39:56
