menu,price,order_time
떡볶이,1434,2024-12-29 23:13:56
감자튀김,21844,2024-12-30 03:49:56
닭강정,11841,2024-12-29 22:26:56
떡볶이,29443,2024-12-29 21:26:56
떡볶이,13571,2024-12-30 17:09:56
닭강정,11030,2024-12-30 09:27:56
닭강정,18857,2024-12-30 13:53:56
감자튀김,17961,2024-12-30 10:32:56
떡볶이,6704,2024-12-30 11:08:56
닭강정,28654,2024-12-30 10:10:56
닭강정,17841,2024-12-29 23:32:56
떡볶이,29069,2024-12-30 07:52:56
떡볶이,3360,2024-12-29 19:39:56
감자튀김,22195,2024-12-29 22:22:56
감자튀김,24364,2024-12-30 06:35:56
감자튀김,9978,2024-12-29 20:40:56
감자튀김,24228,2024-12-30 00:18:56
감자튀김,7855,2024-12-29 18:04:56
감자튀김,25637,2024-12-30 09:06:56
떡볶이,15112,2024-12-29 19:28:56
닭강정,17948,2024-12-30 16:51:56
닭강정,26657,2024-12-29 21:57:56
감자튀김,10096,2024-12-30 03:00:56
떡볶이,10238,2024-12-30 07:13:56
감자튀김,28186,2024-12-30 13:58:56
감자튀김,17784,2024-12-29 21:05:56
닭강정,20712,2024-12-30 03:01:56
닭강정,23781,2024-12-30 04:47:56
감자튀김,10517,2024-12-29 18:18:56
닭강정,16111,2024-12-29 18:10:56
떡볶이,14991,2024-12-30 16:35:56
닭강정,19528,2024-12-30 09:56:56
떡볶이,3719,2024-12-29 22:38:56
닭강정,22289,2024-12-29 19:38:56
떡볶이,13639,2024-12-30 02:28:56
감자튀김,2958,2024-12-30 06:21:56
닭강정,17107,2024-12-30 05:09:56
닭강정,13964,2024-12-30 10:54:56
닭강정,25559,2024-12-29 17:59:56
닭강정,12479,2024-12-30 11:29:56
떡볶이,19693,2024-12-30 00:53:56
떡볶이,8501,2024-12-30 09:40:56
닭강정,17867,2024-12-30 00:11:56
떡볶이,7243,2024-12-29 19:15:56
떡볶이,9289,2024-12-29 20:54:56
감자튀김,20019,2024-12-30 14:02:56
감자튀김,19943,2024-12-30 03:40:56
떡볶이,19881,2024-12-30 08:24:56
감자튀김,20455,2024-12-30 16:40:56
감자튀김,28483,2024-12-29 22:22:56
떡볶이,7398,2024-12-30 01:37:56
떡볶이,25892,2024-12-29 18:26:56
닭강정,15272,2024-12-30 10:49:56
떡볶이,29743,2024-12-30 16:42:56
떡볶이,23326,2024-12-30 10:24:56
떡볶이,14832,2024-12-30 12:56:56
떡볶이,27824,2024-12-30 13:54:56
닭강정,4388,2024-12-30 06:16:56
감자튀김,1280,2024-12-30 09:05:56
감자튀김,9638,2024-12-30 07:22:56
떡볶이,13962,2024-12-30 17:15:56
감자튀김,18496,2024-12-30 01:04:56
떡볶이,9500,2024-12-29 21:25:56
감자튀김,3479,2024-12-30 09:28:56
닭강정,25496,2024-12-30 11:21:56
닭강정,8245,2024-12-30 15:02:56
감자튀김,7796,2024-12-30 02:07:56
떡볶이,2495,2024-12-30 04:41:56
닭강정,24786,2024-12-29 20:32:56
닭강정,13959,2024-12-30 09:46:56
감자튀김,11383,2024-12-30 15:43:56
감자튀김,18004,2024-12-30 07:05:56
감자튀김,12105,2024-12-29 21:12:56
떡볶이,9234,2024-12-29 19:36:56
떡볶이,19427,2024-12-30 02:49:56
닭강정,7491,2024-12-30 05:01:56
떡볶이,25480,2024-12-29 23:41:56
떡볶이,26286,2024-12-30 05:57:56
닭강정,15819,2024-12-30 01:31:56
감자튀김,13499,2024-12-29 23:14:56
떡볶이,11067,2024-12-30 04:08:56
감자튀김,14953,2024-12-30 01:24:56
닭강정,28131,2024-12-29 18:07:56
감자튀김,16561,2024-12-30 06:54:56
감자튀김,1659,2024-12-29 21:08:56
감자튀김,12062,2024-12-30 07:27:56
닭강정,22573,2024-12-30 07:34:56
감자튀김,14163,2024-12-29 23:13:56
감자튀김,8895,2024-12-30 07:40:56
감자튀김,3870,2024-12-30 11:13:56
닭강정,17003,2024-12-30 07:11:56
감자튀김,11968,2024-12-30 01:35:56
닭강정,19404,2024-12-30 04:03:56
떡볶이,10638,2024-12-30 06:08:56
떡볶이,24995,2024-12-30 05:29:56
떡볶이,25915,2024-12-29 22:00:56
닭강정,13591,2024-12-30 10:48:56
닭강정,5879,2024-12-30 04:53:56
닭강정,27444,2024-12-29 19:13:56
감자튀김,8147,2024-12-29 21:36:56
