menu,price,order_time
연어초밥,26589,2024-12-29 22:34:56
참치회,27667,2024-12-30 09:07:56
광어회,23110,2024-12-30 08:33:56
광어회,26007,2024-12-30 14:21:56
연어초밥,20834,2024-12-30 05:33:56
광어회,19024,2024-12-30 15:21:56
광어회,22828,2024-12-30 07:04:56
연어초밥,7558,2024-12-29 17:35:56
연어초밥,27557,2024-12-30 12:49:56
참치회,26147,2024-12-30 03:34:56
광어회,12133,2024-12-29 21:57:56
연어초밥,9988,2024-12-29 22:06:56
연어초밥,12367,2024-12-29 19:08:56
참치회,16903,2024-12-30 16:50:56
참치회,22742,2024-12-29 22:54:56
광어회,11126,2024-12-30 09:32:56
참치회,18607,2024-12-29 17:36:56
연어초밥,25347,2024-12-30 01:40:56
광어회,26242,2024-12-30 16:06:56
연어초밥,13158,2024-12-30 14:32:56
광어회,8439,2024-12-30 03:55:56
연어초밥,6503,2024-12-30 03:51:56
참치회,24684,2024-12-29 18:57:56
참치회,26522,2024-12-29 20:24:56
광어회,28658,2024-12-30 14:54:56
광어회,14265,2024-12-30 15:33:56
광어회,19349,2024-12-30 16:21:56
참치회,28499,2024-12-30 12:34:56
참치회,14709,2024-12-30 14:15:56
광어회,6662,2024-12-30 06:35:56
연어초밥,23974,2024-12-30 14:34:56
광어회,13425,2024-12-30 15:21:56
연어초밥,2369,2024-12-30 10:33:56
연어초밥,23545,2024-12-30 01:43:56
참치회,11751,2024-12-30 03:41:56
연어초밥,10333,2024-12-29 22:08:56
참치회,4009,2024-12-30 01:38:56
참치회,15809,2024-12-30 12:33:56
연어초밥,1164,2024-12-30 09:57:56
참치회,16800,2024-12-30 14:55:56
참치회,19503,2024-12-30 13:48:56
연어초밥,27717,2024-12-29 20:48:56
광어회,9999,2024-12-30 13:24:56
연어초밥,20885,2024-12-29 19:28:56
참치회,12742,2024-12-30 11:47:56
광어회,15146,2024-12-30 15:50:56
연어초밥,23134,2024-12-30 07:58:56
연어초밥,20869,2024-12-30 13:07:56
광어회,9642,2024-12-30 10:58:56
참치회,4736,2024-12-29 20:17:56
참치회,3257,2024-12-30 05:56:56
연어초밥,28238,2024-12-29 18:41:56
연어초밥,4575,2024-12-29 20:39:56
광어회,14973,2024-12-30 03:49:56
연어초밥,19819,2024-12-30 14:49:56
광어회,15075,2024-12-30 06:14:56
광어회,29854,2024-12-30 12:58:56
연어초밥,2630,2024-12-30 01:09:56
참치회,20974,2024-12-29 21:43:56
광어회,21477,2024-12-30 14:04:56
연어초밥,15505,2024-12-30 02:08:56
광어회,20347,2024-12-30 03:40:56
참치회,25563,2024-12-29 20:29:56
연어초밥,24288,2024-12-30 13:49:56
연어초밥,11477,2024-12-30 04:25:56
광어회,17247,2024-12-29 17:38:56
연어초밥,26206,2024-12-30 07:22:56
연어초밥,2465,2024-12-30 03:55:56
연어초밥,11586,2024-12-30 03:43:56
광어회,4462,2024-12-29 19:57:56
참치회,12504,2024-12-29 23:41:56
연어초밥,7118,2024-12-30 16:11:56
광어회,10364,2024-12-30 12:26:56
연어초밥,4611,2024-12-30 10:27:56
광어회,2718,2024-12-29 21:09:56
연어초밥,8457,2024-12-30 12:55:56
연어초밥,15624,2024-12-30 08:52:56
참치회,20235,2024-12-29 23:31:56
연어초밥,29082,2024-12-30 08:32:56
참치회,2498,2024-12-30 06:55:56
연어초밥,1873,2024-12-30 06:27:56
광어회,13292,2024-12-30 06:55:56
연어초밥,24365,2024-12-30 16:25:56
참치회,17894,2024-12-30 15:09:56
연어초밥,14634,2024-12-29 18:42:56
광어회,4025,2024-12-30 09:46:56
광어회,7962,2024-12-30 06:16:56
광어회,9009,2024-12-29 19:36:56
참치회,22659,2024-12-30 13:18:56
연어초밥,15313,2024-12-30 01:39:56
연어초밥,29290,2024-12-30 01:55:56
참치회,2710,2024-12-30 16:51:56
연어초밥,10173,2024-12-30 16:52:56
광어회,10304,2024-12-29 19:45:56
광어회,5163,2024-12-30 13:18:56
연어초밥,17779,2024-12-30 15:26:56
연어초밥,1633,2024-12-30 08:10:56
참치회,24833,2024-12-30 04:26:56
광어회,12155,2024-12-30 01:28:56
광어회,10095,2024-12-30 11:18:56
