menu,price,order_time
닭강정,20291,2024-12-29 20:37:56
닭강정,16503,2024-12-30 07:27:56
떡볶이,8796,2024-12-29 23:11:56
닭강정,15900,2024-12-30 03:33:56
닭강정,25337,2024-12-30 10:19:56
떡볶이,5659,2024-12-29 20:25:56
감자튀김,14546,2024-12-29 22:22:56
감자튀김,29850,2024-12-30 13:38:56
떡볶이,5770,2024-12-30 04:29:56
떡볶이,9043,2024-12-30 01:04:56
떡볶이,25347,2024-12-30 00:37:56
닭강정,20880,2024-12-29 21:50:56
떡볶이,16019,2024-12-30 04:35:56
감자튀김,29924,2024-12-30 06:40:56
닭강정,8887,2024-12-30 15:50:56
떡볶이,22009,2024-12-30 10:43:56
감자튀김,2263,2024-12-30 09:34:56
감자튀김,13960,2024-12-30 13:25:56
감자튀김,8279,2024-12-29 20:36:56
닭강정,26515,2024-12-29 17:32:56
닭강정,29545,2024-12-29 23:32:56
떡볶이,9356,2024-12-30 00:36:56
떡볶이,12267,2024-12-30 02:02:56
닭강정,27469,2024-12-30 14:49:56
닭강정,18665,2024-12-30 10:46:56
떡볶이,24252,2024-12-30 16:10:56
떡볶이,8340,2024-12-29 20:56:56
감자튀김,1042,2024-12-29 23:54:56
감자튀김,25601,2024-12-30 03:14:56
감자튀김,24617,2024-12-29 21:37:56
떡볶이,5977,2024-12-29 22:39:56
닭강정,4500,2024-12-29 17:33:56
감자튀김,9934,2024-12-29 19:00:56
닭강정,21997,2024-12-29 18:17:56
떡볶이,20467,2024-12-29 21:30:56
감자튀김,22981,2024-12-30 07:49:56
감자튀김,23446,2024-12-29 19:58:56
닭강정,27667,2024-12-30 10:06:56
감자튀김,26830,2024-12-30 14:53:56
감자튀김,20373,2024-12-30 09:33:56
닭강정,19718,2024-12-29 23:23:56
떡볶이,24631,2024-12-30 04:36:56
감자튀김,14300,2024-12-30 16:45:56
떡볶이,8563,2024-12-30 08:41:56
떡볶이,24872,2024-12-30 10:40:56
감자튀김,7163,2024-12-29 19:47:56
닭강정,16043,2024-12-29 19:04:56
떡볶이,23980,2024-12-30 05:09:56
떡볶이,29466,2024-12-30 11:46:56
닭강정,13441,2024-12-30 16:56:56
떡볶이,26156,2024-12-29 19:22:56
감자튀김,1132,2024-12-29 18:14:56
닭강정,26931,2024-12-30 02:22:56
닭강정,15122,2024-12-30 07:36:56
닭강정,14618,2024-12-29 21:42:56
감자튀김,28401,2024-12-29 21:57:56
감자튀김,5171,2024-12-30 07:07:56
감자튀김,1803,2024-12-30 06:30:56
닭강정,11537,2024-12-30 05:15:56
떡볶이,9193,2024-12-30 00:41:56
떡볶이,4305,2024-12-29 18:38:56
떡볶이,22670,2024-12-30 03:42:56
닭강정,18763,2024-12-30 11:32:56
떡볶이,26030,2024-12-29 22:22:56
감자튀김,15891,2024-12-30 14:40:56
닭강정,6291,2024-12-30 03:08:56
떡볶이,25857,2024-12-29 19:47:56
닭강정,20935,2024-12-30 16:17:56
닭강정,12906,2024-12-30 04:39:56
떡볶이,19724,2024-12-30 10:03:56
감자튀김,22287,2024-12-30 14:41:56
떡볶이,4627,2024-12-30 06:40:56
감자튀김,26672,2024-12-30 13:14:56
떡볶이,6948,2024-12-30 02:08:56
감자튀김,19900,2024-12-30 13:27:56
떡볶이,12081,2024-12-30 02:12:56
닭강정,23478,2024-12-30 15:57:56
닭강정,7211,2024-12-30 15:19:56
닭강정,13581,2024-12-29 19:42:56
닭강정,12388,2024-12-30 04:38:56
떡볶이,3905,2024-12-30 06:13:56
감자튀김,26692,2024-12-30 10:20:56
떡볶이,24194,2024-12-30 11:57:56
닭강정,1653,2024-12-30 15:01:56
감자튀김,1316,2024-12-30 14:57:56
닭강정,17132,2024-12-30 01:37:56
감자튀김,5158,2024-12-30 16:53:56
떡볶이,18460,2024-12-30 14:17:56
떡볶이,22016,2024-12-30 07:15:56
떡볶이,26159,2024-12-30 04:40:56
감자튀김,29090,2024-12-29 21:55:56
닭강정,27635,2024-12-30 05:05:56
감자튀김,26142,2024-12-30 01:57:56
닭강정,16711,2024-12-30 13:05:56
닭강정,18277,2024-12-30 09:54:56
닭강정,9542,2024-12-30 04:48:56
떡볶이,18836,2024-12-30 09:40:56
감자튀김,9689,2024-12-30 10:07:56
닭강정,27349,2024-12-30 08:08:56
닭강정,22687,2024-12-29 19:12:56
