menu,price,order_time
연어초밥,6567,2024-12-30 14:34:57
광어회,15362,2024-12-29 20:52:57
참치회,11604,2024-12-30 02:51:57
참치회,15438,2024-12-30 02:06:57
광어회,18603,2024-12-30 11:26:57
연어초밥,23740,2024-12-29 21:10:57
참치회,28979,2024-12-30 15:20:57
연어초밥,28149,2024-12-30 11:41:57
광어회,12269,2024-12-29 22:55:57
연어초밥,19176,2024-12-30 01:20:57
참치회,29438,2024-12-30 07:08:57
연어초밥,23142,2024-12-29 18:59:57
광어회,3251,2024-12-29 17:58:57
광어회,28371,2024-12-30 05:58:57
연어초밥,2611,2024-12-30 03:56:57
참치회,12223,2024-12-30 02:16:57
연어초밥,27466,2024-12-30 10:53:57
광어회,8977,2024-12-30 10:32:57
광어회,29463,2024-12-29 22:32:57
연어초밥,28204,2024-12-30 02:15:57
광어회,6120,2024-12-30 14:01:57
광어회,8284,2024-12-29 22:54:57
참치회,21048,2024-12-29 22:04:57
연어초밥,15153,2024-12-29 22:50:57
연어초밥,29539,2024-12-30 16:02:57
광어회,25214,2024-12-30 09:29:57
연어초밥,18130,2024-12-30 02:48:57
참치회,20147,2024-12-30 06:20:57
광어회,24650,2024-12-30 16:45:57
광어회,25155,2024-12-30 09:25:57
참치회,24994,2024-12-30 15:03:57
연어초밥,11846,2024-12-30 08:43:57
참치회,1810,2024-12-30 11:38:57
참치회,24499,2024-12-30 03:22:57
참치회,7014,2024-12-30 09:07:57
연어초밥,5944,2024-12-30 15:55:57
광어회,19737,2024-12-30 00:45:57
광어회,14077,2024-12-30 09:53:57
광어회,25409,2024-12-29 17:44:57
광어회,23940,2024-12-30 04:22:57
광어회,14908,2024-12-30 13:58:57
광어회,3116,2024-12-30 17:05:57
연어초밥,4651,2024-12-30 01:32:57
연어초밥,3328,2024-12-30 05:57:57
연어초밥,25665,2024-12-29 22:22:57
연어초밥,10444,2024-12-30 06:36:57
연어초밥,11525,2024-12-30 16:43:57
연어초밥,14286,2024-12-29 18:52:57
광어회,20900,2024-12-30 00:21:57
광어회,4904,2024-12-30 09:27:57
참치회,26711,2024-12-30 10:40:57
광어회,9279,2024-12-29 20:08:57
참치회,5917,2024-12-30 14:22:57
광어회,26797,2024-12-30 12:23:57
참치회,11139,2024-12-30 15:04:57
참치회,12793,2024-12-30 00:28:57
연어초밥,13642,2024-12-29 17:56:57
참치회,6283,2024-12-30 16:01:57
연어초밥,18591,2024-12-30 07:50:57
연어초밥,21780,2024-12-30 03:09:57
참치회,21989,2024-12-30 08:01:57
연어초밥,14571,2024-12-29 22:36:57
광어회,12030,2024-12-30 17:19:57
연어초밥,16248,2024-12-30 10:55:57
연어초밥,8103,2024-12-29 17:47:57
참치회,8388,2024-12-29 22:30:57
광어회,13256,2024-12-30 09:17:57
참치회,28381,2024-12-30 03:46:57
참치회,18054,2024-12-30 15:37:57
참치회,21586,2024-12-30 04:10:57
참치회,13502,2024-12-30 16:58:57
광어회,15538,2024-12-29 23:02:57
연어초밥,26590,2024-12-30 05:27:57
참치회,18235,2024-12-30 01:51:57
연어초밥,23092,2024-12-30 07:18:57
참치회,8760,2024-12-29 22:31:57
광어회,12693,2024-12-29 23:34:57
연어초밥,16115,2024-12-30 01:12:57
연어초밥,19465,2024-12-30 17:04:57
연어초밥,29117,2024-12-29 21:54:57
연어초밥,4876,2024-12-30 11:25:57
연어초밥,25650,2024-12-30 10:39:57
참치회,6504,2024-12-29 22:18:57
연어초밥,10300,2024-12-30 10:28:57
연어초밥,24719,2024-12-29 22:45:57
연어초밥,14967,2024-12-30 09:01:57
참치회,17863,2024-12-29 18:32:57
연어초밥,12845,2024-12-30 15:38:57
광어회,28300,2024-12-30 14:08:57
연어초밥,13274,2024-12-29 23:00:57
광어회,25881,2024-12-29 18:57:57
참치회,15465,2024-12-30 11:26:57
광어회,6766,2024-12-30 02:07:57
연어초밥,14721,2024-12-30 16:09:57
참치회,15013,2024-12-30 05:38:57
참치회,21210,2024-12-30 04:21:57
참치회,5165,2024-12-30 09:06:57
광어회,17889,2024-12-29 21:26:57
연어초밥,24773,2024-12-30 00:29:57
광어회,28040,2024-12-30 13:05:57
