menu,price,order_time
김밥,9052,2024-12-29 17:54:56
만두,15246,2024-12-29 23:34:56
떡볶이,19178,2024-12-30 14:00:56
떡볶이,24806,2024-12-30 02:25:56
떡볶이,8147,2024-12-30 12:39:56
떡볶이,14808,2024-12-30 01:43:56
만두,20102,2024-12-29 20:33:56
떡볶이,9138,2024-12-30 08:04:56
떡볶이,15400,2024-12-30 01:23:56
떡볶이,17443,2024-12-29 19:09:56
김밥,26532,2024-12-30 11:26:56
김밥,9035,2024-12-30 02:06:56
만두,12891,2024-12-30 14:21:56
만두,25628,2024-12-29 22:13:56
떡볶이,13085,2024-12-30 10:50:56
떡볶이,14611,2024-12-30 04:57:56
만두,8315,2024-12-30 02:27:56
떡볶이,13370,2024-12-29 20:52:56
만두,2138,2024-12-30 00:43:56
만두,16203,2024-12-30 14:01:56
김밥,2552,2024-12-30 03:00:56
김밥,21910,2024-12-29 22:47:56
떡볶이,2176,2024-12-30 12:17:56
떡볶이,14204,2024-12-30 12:15:56
김밥,22890,2024-12-30 15:09:56
떡볶이,7286,2024-12-30 05:34:56
만두,14899,2024-12-29 21:33:56
만두,26617,2024-12-30 01:23:56
만두,3386,2024-12-30 15:23:56
김밥,1543,2024-12-30 09:23:56
떡볶이,11536,2024-12-30 16:53:56
김밥,26819,2024-12-30 09:23:56
김밥,16833,2024-12-30 16:25:56
떡볶이,24330,2024-12-30 16:02:56
떡볶이,19178,2024-12-30 16:29:56
김밥,14440,2024-12-29 21:58:56
만두,5005,2024-12-30 09:44:56
김밥,21919,2024-12-30 09:54:56
떡볶이,24889,2024-12-30 06:43:56
김밥,22966,2024-12-30 02:23:56
김밥,28633,2024-12-29 18:23:56
김밥,9489,2024-12-29 20:47:56
김밥,20810,2024-12-29 17:34:56
김밥,20585,2024-12-29 22:14:56
만두,15818,2024-12-29 19:43:56
떡볶이,5006,2024-12-30 10:51:56
만두,16320,2024-12-30 07:20:56
떡볶이,4318,2024-12-30 17:15:56
김밥,5123,2024-12-29 23:40:56
김밥,21686,2024-12-30 02:04:56
떡볶이,21254,2024-12-30 00:39:56
만두,20878,2024-12-29 17:44:56
김밥,11370,2024-12-30 16:53:56
김밥,3827,2024-12-30 10:17:56
만두,15055,2024-12-29 18:02:56
만두,24817,2024-12-30 09:26:56
만두,29499,2024-12-29 20:28:56
만두,14802,2024-12-29 21:17:56
김밥,5490,2024-12-30 02:31:56
떡볶이,22428,2024-12-29 18:52:56
떡볶이,10314,2024-12-30 11:35:56
떡볶이,27404,2024-12-29 21:02:56
김밥,29764,2024-12-30 13:33:56
떡볶이,22983,2024-12-30 00:52:56
떡볶이,25708,2024-12-30 04:26:56
김밥,26715,2024-12-30 14:53:56
떡볶이,14502,2024-12-29 19:56:56
김밥,5958,2024-12-29 20:51:56
떡볶이,11607,2024-12-30 08:40:56
떡볶이,6645,2024-12-30 03:54:56
만두,17210,2024-12-30 12:23:56
떡볶이,2953,2024-12-30 16:55:56
김밥,24729,2024-12-30 06:42:56
만두,29974,2024-12-29 20:35:56
떡볶이,28641,2024-12-29 18:40:56
떡볶이,7404,2024-12-30 16:54:56
만두,4927,2024-12-30 13:33:56
김밥,29021,2024-12-30 03:30:56
김밥,8124,2024-12-30 12:22:56
김밥,10995,2024-12-30 05:00:56
떡볶이,25512,2024-12-30 08:21:56
김밥,23551,2024-12-29 23:01:56
만두,7914,2024-12-30 16:11:56
김밥,2046,2024-12-30 01:29:56
김밥,14383,2024-12-30 00:00:56
김밥,1876,2024-12-30 02:37:56
만두,12217,2024-12-29 18:24:56
김밥,23331,2024-12-29 19:23:56
떡볶이,12249,2024-12-30 12:08:56
김밥,5770,2024-12-29 23:13:56
김밥,24052,2024-12-30 08:23:56
떡볶이,11082,2024-12-30 10:53:56
김밥,25003,2024-12-29 22:01:56
김밥,14505,2024-12-30 11:34:56
떡볶이,11558,2024-12-30 15:09:56
김밥,4444,2024-12-30 09:35:56
김밥,22450,2024-12-30 06:28:56
만두,15023,2024-12-30 10:45:56
떡볶이,16818,2024-12-30 07:34:56
만두,7391,2024-12-30 03:48:56
