menu,price,order_time
떡볶이,6964,2024-12-30 07:53:56
감자튀김,16684,2024-12-30 15:38:56
닭강정,2730,2024-12-30 14:57:56
닭강정,2157,2024-12-29 23:49:56
감자튀김,19039,2024-12-29 23:59:56
감자튀김,1092,2024-12-30 14:45:56
떡볶이,13559,2024-12-29 22:21:56
떡볶이,5015,2024-12-30 04:08:56
감자튀김,18628,2024-12-30 11:34:56
감자튀김,10053,2024-12-30 11:24:56
떡볶이,2794,2024-12-30 14:44:56
닭강정,14246,2024-12-30 07:30:56
닭강정,28272,2024-12-30 03:35:56
떡볶이,1765,2024-12-30 16:40:56
닭강정,26188,2024-12-30 14:27:56
떡볶이,4545,2024-12-29 21:38:56
떡볶이,7554,2024-12-30 07:29:56
떡볶이,3410,2024-12-29 20:31:56
감자튀김,19724,2024-12-30 12:21:56
떡볶이,10282,2024-12-30 14:50:56
감자튀김,9866,2024-12-30 13:56:56
감자튀김,19028,2024-12-29 20:55:56
닭강정,23200,2024-12-29 23:46:56
닭강정,7298,2024-12-29 22:30:56
닭강정,14726,2024-12-29 18:57:56
떡볶이,13873,2024-12-30 10:30:56
감자튀김,16128,2024-12-29 21:43:56
감자튀김,11962,2024-12-29 19:03:56
감자튀김,29828,2024-12-30 09:07:56
감자튀김,16611,2024-12-29 18:13:56
닭강정,25334,2024-12-29 22:20:56
떡볶이,27122,2024-12-30 01:40:56
떡볶이,16947,2024-12-30 02:16:56
감자튀김,9835,2024-12-30 10:55:56
떡볶이,3441,2024-12-30 12:17:56
감자튀김,28360,2024-12-30 05:44:56
떡볶이,28562,2024-12-30 01:31:56
닭강정,27222,2024-12-30 13:04:56
떡볶이,21247,2024-12-30 09:00:56
닭강정,19461,2024-12-30 15:53:56
떡볶이,27030,2024-12-30 00:14:56
떡볶이,29404,2024-12-29 22:36:56
닭강정,10989,2024-12-30 11:05:56
감자튀김,27477,2024-12-30 12:13:56
감자튀김,21169,2024-12-29 22:08:56
닭강정,28596,2024-12-30 16:24:56
닭강정,10394,2024-12-30 14:15:56
닭강정,23177,2024-12-30 07:53:56
감자튀김,23218,2024-12-30 04:40:56
닭강정,28542,2024-12-30 11:47:56
닭강정,3808,2024-12-30 00:25:56
떡볶이,25204,2024-12-30 02:10:56
감자튀김,17945,2024-12-30 07:25:56
닭강정,25913,2024-12-30 10:17:56
떡볶이,2287,2024-12-30 06:08:56
떡볶이,23523,2024-12-30 14:16:56
닭강정,4169,2024-12-30 09:02:56
감자튀김,8211,2024-12-30 02:43:56
떡볶이,4267,2024-12-29 20:24:56
닭강정,16822,2024-12-30 07:36:56
감자튀김,10549,2024-12-29 22:24:56
감자튀김,27261,2024-12-30 04:00:56
닭강정,24940,2024-12-29 20:33:56
떡볶이,17289,2024-12-30 08:17:56
닭강정,2228,2024-12-30 16:29:56
감자튀김,25308,2024-12-30 06:59:56
감자튀김,1758,2024-12-29 18:17:56
떡볶이,5302,2024-12-30 15:55:56
닭강정,28562,2024-12-30 01:05:56
떡볶이,3875,2024-12-30 13:37:56
떡볶이,16626,2024-12-30 04:17:56
감자튀김,25837,2024-12-30 02:01:56
감자튀김,14470,2024-12-30 11:22:56
닭강정,18464,2024-12-29 17:27:56
떡볶이,20366,2024-12-30 11:37:56
감자튀김,6368,2024-12-30 07:26:56
감자튀김,23703,2024-12-30 16:29:56
감자튀김,20232,2024-12-29 23:46:56
떡볶이,24643,2024-12-30 15:03:56
닭강정,7396,2024-12-30 03:09:56
떡볶이,28960,2024-12-29 17:57:56
떡볶이,12345,2024-12-29 21:44:56
닭강정,18023,2024-12-30 16:06:56
감자튀김,6306,2024-12-29 19:02:56
떡볶이,21568,2024-12-29 21:30:56
닭강정,2640,2024-12-30 16:21:56
닭강정,11734,2024-12-29 18:51:56
닭강정,8714,2024-12-30 13:47:56
닭강정,10718,2024-12-29 18:54:56
닭강정,28813,2024-12-29 23:52:56
감자튀김,17356,2024-12-30 12:05:56
감자튀김,26191,2024-12-30 08:19:56
감자튀김,27662,2024-12-30 09:10:56
떡볶이,5861,2024-12-30 07:26:56
닭강정,17853,2024-12-30 08:56:56
감자튀김,20810,2024-12-30 05:59:56
감자튀김,24386,2024-12-29 17:46:56
떡볶이,12075,2024-12-30 15:28:56
감자튀김,9994,2024-12-30 14:50:56
닭강정,9968,2024-12-30 01:31:56
