menu,price,order_time
아메리카노,25689,2024-12-29 19:00:56
케이크,10201,2024-12-29 20:56:56
아메리카노,19161,2024-12-30 08:29:56
케이크,27935,2024-12-30 06:17:56
케이크,3868,2024-12-29 19:27:56
아메리카노,15527,2024-12-29 17:47:56
카푸치노,27683,2024-12-30 00:41:56
케이크,10403,2024-12-30 10:06:56
아메리카노,15911,2024-12-30 05:51:56
카푸치노,14672,2024-12-30 15:22:56
케이크,26260,2024-12-30 11:07:56
아메리카노,24980,2024-12-30 01:27:56
아메리카노,7492,2024-12-29 23:06:56
카푸치노,19565,2024-12-30 16:25:56
아메리카노,16353,2024-12-29 23:11:56
케이크,2564,2024-12-30 01:10:56
케이크,21655,2024-12-29 19:43:56
카푸치노,28385,2024-12-30 13:04:56
카푸치노,14898,2024-12-30 07:36:56
케이크,14589,2024-12-30 15:45:56
카푸치노,14037,2024-12-29 18:34:56
케이크,6591,2024-12-29 19:41:56
아메리카노,29636,2024-12-29 19:51:56
케이크,20651,2024-12-30 08:36:56
아메리카노,29345,2024-12-30 12:01:56
아메리카노,6174,2024-12-29 20:13:56
케이크,12966,2024-12-29 22:34:56
카푸치노,28572,2024-12-30 04:04:56
카푸치노,12892,2024-12-30 13:17:56
카푸치노,29145,2024-12-30 10:51:56
케이크,4205,2024-12-30 07:46:56
케이크,26736,2024-12-29 23:00:56
아메리카노,4357,2024-12-30 11:26:56
아메리카노,21213,2024-12-30 05:49:56
아메리카노,22913,2024-12-29 17:31:56
케이크,12328,2024-12-30 11:17:56
아메리카노,2839,2024-12-30 16:04:56
아메리카노,4206,2024-12-30 00:26:56
카푸치노,16383,2024-12-29 19:44:56
아메리카노,29493,2024-12-29 19:28:56
아메리카노,22147,2024-12-30 02:10:56
카푸치노,29356,2024-12-30 15:58:56
케이크,2620,2024-12-30 13:27:56
카푸치노,11266,2024-12-30 02:43:56
케이크,21106,2024-12-29 23:42:56
카푸치노,29491,2024-12-30 02:06:56
케이크,25179,2024-12-30 01:35:56
카푸치노,29745,2024-12-30 07:28:56
카푸치노,14636,2024-12-29 18:52:56
카푸치노,7153,2024-12-30 12:13:56
아메리카노,3033,2024-12-29 17:34:56
케이크,2843,2024-12-30 01:57:56
아메리카노,4315,2024-12-30 03:14:56
케이크,19398,2024-12-29 19:42:56
케이크,21720,2024-12-30 09:53:56
카푸치노,18803,2024-12-30 13:22:56
케이크,14537,2024-12-30 12:18:56
카푸치노,16515,2024-12-30 04:32:56
케이크,14427,2024-12-30 14:08:56
케이크,11698,2024-12-29 19:11:56
카푸치노,27298,2024-12-29 19:15:56
카푸치노,28633,2024-12-30 05:07:56
카푸치노,8882,2024-12-30 03:14:56
카푸치노,29331,2024-12-30 12:26:56
카푸치노,3814,2024-12-30 10:57:56
카푸치노,16798,2024-12-29 21:48:56
케이크,26722,2024-12-29 17:26:56
카푸치노,9281,2024-12-30 11:00:56
카푸치노,29320,2024-12-29 20:50:56
케이크,5556,2024-12-30 09:38:56
카푸치노,22014,2024-12-30 14:07:56
아메리카노,1124,2024-12-30 13:47:56
케이크,7162,2024-12-30 16:50:56
케이크,29776,2024-12-29 18:37:56
아메리카노,20319,2024-12-30 04:08:56
카푸치노,28791,2024-12-30 13:08:56
아메리카노,1978,2024-12-30 08:07:56
케이크,13064,2024-12-29 20:29:56
카푸치노,17952,2024-12-29 20:28:56
케이크,13668,2024-12-29 19:03:56
케이크,26273,2024-12-30 04:53:56
카푸치노,3530,2024-12-29 20:35:56
케이크,21276,2024-12-29 23:24:56
아메리카노,2214,2024-12-29 21:01:56
케이크,22406,2024-12-29 18:19:56
카푸치노,4323,2024-12-29 19:52:56
케이크,4053,2024-12-30 04:49:56
케이크,20931,2024-12-29 23:20:56
아메리카노,7072,2024-12-30 08:46:56
아메리카노,22023,2024-12-30 11:17:56
케이크,8550,2024-12-30 10:04:56
카푸치노,17416,2024-12-30 14:51:56
카푸치노,2384,2024-12-30 08:36:56
카푸치노,19023,2024-12-30 06:48:56
카푸치노,25483,2024-12-29 20:37:56
아메리카노,17210,2024-12-30 14:37:56
케이크,7348,2024-12-29 19:31:56
카푸치노,8579,2024-12-30 03:41:56
아메리카노,3892,2024-12-29 22:10:56
아메리카노,10856,2024-12-29 18:08:56
