menu,price,order_time
케이크,17431,2024-12-30 04:52:57
아메리카노,24415,2024-12-29 18:14:57
케이크,22684,2024-12-30 00:14:57
카푸치노,27340,2024-12-30 07:37:57
카푸치노,29834,2024-12-30 15:49:57
케이크,26281,2024-12-30 01:09:57
케이크,18643,2024-12-29 19:31:57
아메리카노,11051,2024-12-30 00:10:57
카푸치노,8327,2024-12-29 17:39:57
케이크,2568,2024-12-30 11:20:57
케이크,3175,2024-12-30 09:55:57
케이크,20947,2024-12-30 06:38:57
케이크,26506,2024-12-30 06:25:57
아메리카노,10889,2024-12-29 22:39:57
카푸치노,14215,2024-12-29 21:02:57
케이크,11624,2024-12-29 19:36:57
아메리카노,17640,2024-12-30 00:25:57
아메리카노,14674,2024-12-30 01:14:57
아메리카노,10379,2024-12-30 05:10:57
카푸치노,5830,2024-12-29 18:01:57
카푸치노,2767,2024-12-29 22:15:57
케이크,24041,2024-12-30 08:48:57
아메리카노,24973,2024-12-29 18:46:57
아메리카노,17028,2024-12-29 20:16:57
아메리카노,3503,2024-12-30 04:58:57
카푸치노,9046,2024-12-30 08:17:57
케이크,19451,2024-12-29 19:56:57
아메리카노,14241,2024-12-30 15:34:57
아메리카노,3674,2024-12-30 16:44:57
카푸치노,24432,2024-12-29 23:39:57
케이크,9221,2024-12-30 02:19:57
아메리카노,20617,2024-12-29 21:05:57
케이크,15441,2024-12-29 23:26:57
카푸치노,2397,2024-12-30 01:25:57
아메리카노,3345,2024-12-30 13:32:57
아메리카노,28054,2024-12-29 21:06:57
카푸치노,11868,2024-12-30 08:49:57
케이크,10429,2024-12-30 12:40:57
케이크,15039,2024-12-30 04:34:57
카푸치노,20843,2024-12-30 11:37:57
케이크,6387,2024-12-30 03:25:57
케이크,6577,2024-12-29 21:42:57
케이크,21299,2024-12-30 14:14:57
아메리카노,2356,2024-12-30 08:20:57
아메리카노,23215,2024-12-30 06:14:57
아메리카노,23272,2024-12-29 21:46:57
케이크,17966,2024-12-29 19:17:57
카푸치노,16244,2024-12-30 08:46:57
케이크,2957,2024-12-30 13:02:57
아메리카노,29514,2024-12-30 08:58:57
아메리카노,14881,2024-12-30 12:07:57
아메리카노,17076,2024-12-29 23:33:57
케이크,20986,2024-12-29 18:47:57
카푸치노,27833,2024-12-30 13:39:57
아메리카노,20324,2024-12-30 10:13:57
케이크,1159,2024-12-29 21:45:57
아메리카노,27501,2024-12-30 06:33:57
아메리카노,26770,2024-12-29 17:43:57
아메리카노,24546,2024-12-30 10:10:57
아메리카노,20406,2024-12-30 08:37:57
케이크,19084,2024-12-30 13:33:57
카푸치노,16364,2024-12-29 22:07:57
케이크,12380,2024-12-29 18:05:57
케이크,8987,2024-12-30 11:07:57
케이크,11623,2024-12-30 12:55:57
케이크,3803,2024-12-30 06:14:57
아메리카노,16134,2024-12-30 05:22:57
케이크,14373,2024-12-30 08:40:57
케이크,17732,2024-12-30 04:53:57
카푸치노,14784,2024-12-29 19:34:57
케이크,5647,2024-12-30 07:54:57
케이크,3411,2024-12-29 19:00:57
아메리카노,22547,2024-12-30 02:28:57
카푸치노,14384,2024-12-29 20:39:57
케이크,3277,2024-12-30 15:54:57
케이크,6402,2024-12-29 19:49:57
카푸치노,2546,2024-12-30 09:27:57
아메리카노,6041,2024-12-30 08:17:57
카푸치노,14264,2024-12-30 16:56:57
케이크,3394,2024-12-30 06:39:57
케이크,24829,2024-12-29 19:56:57
케이크,17924,2024-12-29 18:45:57
아메리카노,25379,2024-12-30 10:18:57
케이크,10270,2024-12-30 01:01:57
케이크,6891,2024-12-30 05:59:57
케이크,18017,2024-12-30 09:54:57
카푸치노,14559,2024-12-29 18:04:57
케이크,26920,2024-12-30 15:59:57
카푸치노,6372,2024-12-30 17:00:57
카푸치노,17536,2024-12-29 20:11:57
케이크,21701,2024-12-30 02:28:57
케이크,23168,2024-12-30 16:54:57
케이크,12503,2024-12-30 12:16:57
아메리카노,20482,2024-12-29 22:08:57
카푸치노,9375,2024-12-29 23:21:57
케이크,17712,2024-12-30 16:21:57
아메리카노,24334,2024-12-30 06:15:57
카푸치노,13179,2024-12-29 21:21:57
아메리카노,20671,2024-12-30 04:57:57
아메리카노,29352,2024-12-29 20:39:57
