menu,price,order_time
떡볶이,25785,2024-12-30 10:20:56
떡볶이,20771,2024-12-30 07:43:56
떡볶이,28917,2024-12-30 16:47:56
떡볶이,29343,2024-12-30 00:27:56
만두,27389,2024-12-30 10:34:56
만두,1229,2024-12-30 12:59:56
만두,18463,2024-12-30 13:40:56
떡볶이,3586,2024-12-30 08:10:56
만두,26381,2024-12-30 15:19:56
김밥,8827,2024-12-30 10:33:56
떡볶이,24767,2024-12-30 07:38:56
김밥,14828,2024-12-29 18:35:56
김밥,2573,2024-12-30 17:02:56
떡볶이,1220,2024-12-30 11:03:56
만두,1465,2024-12-30 05:21:56
만두,7824,2024-12-30 17:03:56
떡볶이,11317,2024-12-30 05:59:56
만두,1336,2024-12-30 15:10:56
만두,6518,2024-12-30 07:10:56
김밥,25320,2024-12-29 18:54:56
만두,24202,2024-12-29 19:52:56
김밥,15374,2024-12-29 21:26:56
만두,26514,2024-12-30 08:06:56
만두,17318,2024-12-30 16:02:56
떡볶이,29248,2024-12-30 03:53:56
김밥,24787,2024-12-30 15:04:56
김밥,17286,2024-12-30 04:54:56
떡볶이,15390,2024-12-30 00:55:56
떡볶이,5267,2024-12-30 12:07:56
떡볶이,7434,2024-12-30 17:07:56
떡볶이,21734,2024-12-30 10:00:56
떡볶이,24352,2024-12-30 05:35:56
떡볶이,25170,2024-12-29 22:32:56
만두,6565,2024-12-30 05:19:56
떡볶이,16040,2024-12-29 19:42:56
김밥,7482,2024-12-30 01:36:56
떡볶이,9620,2024-12-30 15:09:56
만두,28828,2024-12-30 08:20:56
떡볶이,27480,2024-12-30 11:51:56
떡볶이,26991,2024-12-30 13:44:56
떡볶이,16090,2024-12-30 01:35:56
김밥,23374,2024-12-30 13:51:56
떡볶이,7030,2024-12-30 07:19:56
떡볶이,5724,2024-12-30 03:51:56
김밥,20937,2024-12-29 18:25:56
만두,15958,2024-12-30 16:22:56
만두,2313,2024-12-29 21:37:56
만두,26819,2024-12-30 09:26:56
김밥,17589,2024-12-30 04:13:56
떡볶이,2929,2024-12-30 14:25:56
만두,23584,2024-12-30 13:18:56
만두,23525,2024-12-29 20:29:56
만두,4443,2024-12-30 09:51:56
김밥,22667,2024-12-29 21:03:56
만두,4615,2024-12-30 03:15:56
김밥,12873,2024-12-30 07:38:56
만두,2102,2024-12-29 20:03:56
김밥,16091,2024-12-30 12:41:56
떡볶이,17767,2024-12-30 11:08:56
김밥,14157,2024-12-30 12:07:56
김밥,10355,2024-12-30 07:37:56
떡볶이,11310,2024-12-30 07:28:56
떡볶이,11805,2024-12-30 09:39:56
떡볶이,25781,2024-12-30 03:02:56
만두,24842,2024-12-30 15:01:56
만두,28978,2024-12-30 05:52:56
김밥,24361,2024-12-29 19:40:56
떡볶이,15893,2024-12-29 23:18:56
김밥,21092,2024-12-30 11:08:56
떡볶이,7752,2024-12-30 01:38:56
떡볶이,3470,2024-12-29 17:54:56
떡볶이,13111,2024-12-29 21:15:56
김밥,22402,2024-12-30 11:37:56
떡볶이,21436,2024-12-30 16:20:56
떡볶이,17652,2024-12-30 05:26:56
만두,7671,2024-12-29 19:58:56
떡볶이,2825,2024-12-30 06:41:56
만두,18894,2024-12-29 22:29:56
만두,7383,2024-12-29 23:58:56
떡볶이,22517,2024-12-30 06:18:56
떡볶이,24298,2024-12-29 19:33:56
떡볶이,24163,2024-12-30 02:03:56
떡볶이,25988,2024-12-30 12:51:56
김밥,19223,2024-12-29 19:23:56
만두,20532,2024-12-30 06:06:56
김밥,28842,2024-12-29 23:10:56
만두,27925,2024-12-29 19:39:56
김밥,19374,2024-12-30 11:05:56
떡볶이,13008,2024-12-30 06:47:56
김밥,25915,2024-12-30 02:12:56
김밥,12348,2024-12-30 12:20:56
만두,1879,2024-12-29 22:47:56
만두,13968,2024-12-30 09:52:56
김밥,13001,2024-12-29 23:43:56
떡볶이,8572,2024-12-30 13:07:56
만두,1516,2024-12-30 13:23:56
김밥,12014,2024-12-29 22:26:56
만두,5272,2024-12-30 13:37:56
떡볶이,24202,2024-12-30 08:55:56
김밥,22042,2024-12-30 13:35:56
