menu,price,order_time
아메리카노,29842,2024-12-29 21:03:57
카푸치노,12641,2024-12-30 12:35:57
케이크,19323,2024-12-30 07:53:57
카푸치노,23300,2024-12-30 03:16:57
케이크,10030,2024-12-30 13:49:57
카푸치노,29778,2024-12-30 14:14:57
케이크,15932,2024-12-29 21:13:57
카푸치노,14824,2024-12-30 02:39:57
아메리카노,7230,2024-12-30 12:37:57
아메리카노,15450,2024-12-30 03:59:57
카푸치노,16096,2024-12-30 16:40:57
케이크,15960,2024-12-30 06:58:57
케이크,2050,2024-12-30 09:59:57
케이크,9003,2024-12-30 02:13:57
아메리카노,20628,2024-12-29 23:57:57
카푸치노,6664,2024-12-30 03:25:57
카푸치노,19736,2024-12-30 09:00:57
케이크,7601,2024-12-29 18:05:57
카푸치노,28341,2024-12-30 08:01:57
케이크,15789,2024-12-30 05:36:57
케이크,21190,2024-12-30 00:42:57
카푸치노,15083,2024-12-30 14:52:57
아메리카노,10946,2024-12-30 01:44:57
아메리카노,22080,2024-12-30 11:34:57
케이크,20831,2024-12-30 04:54:57
카푸치노,21915,2024-12-29 21:21:57
케이크,14457,2024-12-29 21:05:57
아메리카노,1720,2024-12-30 00:16:57
케이크,8968,2024-12-29 18:07:57
케이크,25660,2024-12-30 00:10:57
케이크,27173,2024-12-30 11:51:57
케이크,13760,2024-12-30 10:51:57
아메리카노,25662,2024-12-30 13:25:57
아메리카노,16567,2024-12-29 22:30:57
카푸치노,5817,2024-12-30 12:13:57
케이크,2148,2024-12-30 00:32:57
케이크,22586,2024-12-29 21:26:57
아메리카노,22168,2024-12-29 19:17:57
카푸치노,5933,2024-12-30 15:43:57
케이크,9848,2024-12-29 17:37:57
카푸치노,4157,2024-12-30 12:55:57
케이크,12892,2024-12-30 11:21:57
아메리카노,12017,2024-12-29 20:05:57
아메리카노,11836,2024-12-30 02:54:57
케이크,17894,2024-12-30 12:45:57
케이크,11612,2024-12-30 03:03:57
아메리카노,9870,2024-12-30 11:27:57
아메리카노,11394,2024-12-30 16:45:57
케이크,23842,2024-12-30 00:15:57
아메리카노,9415,2024-12-29 18:44:57
아메리카노,1469,2024-12-29 23:52:57
케이크,5296,2024-12-30 12:47:57
카푸치노,2941,2024-12-29 22:58:57
아메리카노,3836,2024-12-29 18:44:57
아메리카노,2260,2024-12-30 11:23:57
카푸치노,8646,2024-12-30 15:08:57
카푸치노,10002,2024-12-29 23:49:57
카푸치노,5101,2024-12-30 09:03:57
아메리카노,22277,2024-12-30 10:57:57
아메리카노,13417,2024-12-29 19:21:57
카푸치노,27013,2024-12-30 14:44:57
카푸치노,20503,2024-12-29 22:09:57
카푸치노,1380,2024-12-30 16:33:57
카푸치노,13592,2024-12-29 19:15:57
아메리카노,20292,2024-12-30 13:31:57
아메리카노,8808,2024-12-30 04:47:57
케이크,16112,2024-12-29 20:50:57
카푸치노,17073,2024-12-30 08:49:57
아메리카노,11506,2024-12-29 17:37:57
카푸치노,29360,2024-12-30 16:14:57
케이크,8617,2024-12-30 09:58:57
케이크,8341,2024-12-30 08:19:57
아메리카노,6943,2024-12-30 03:31:57
케이크,27024,2024-12-30 16:34:57
케이크,6057,2024-12-29 19:01:57
아메리카노,5137,2024-12-30 11:34:57
카푸치노,29773,2024-12-30 15:42:57
카푸치노,15242,2024-12-30 04:18:57
아메리카노,10420,2024-12-30 02:38:57
케이크,7542,2024-12-30 16:25:57
케이크,14269,2024-12-30 13:16:57
케이크,8603,2024-12-29 23:05:57
케이크,22827,2024-12-29 20:12:57
아메리카노,3927,2024-12-29 20:39:57
아메리카노,15065,2024-12-30 16:53:57
케이크,22184,2024-12-30 17:16:57
카푸치노,6662,2024-12-30 03:52:57
아메리카노,14912,2024-12-30 17:04:57
케이크,3543,2024-12-29 22:00:57
아메리카노,6976,2024-12-30 04:20:57
아메리카노,19499,2024-12-30 12:11:57
아메리카노,17997,2024-12-30 11:52:57
카푸치노,28028,2024-12-30 11:54:57
카푸치노,28693,2024-12-30 00:28:57
케이크,6667,2024-12-30 00:56:57
케이크,5756,2024-12-30 08:38:57
카푸치노,18003,2024-12-30 10:55:57
아메리카노,11961,2024-12-29 18:17:57
케이크,8216,2024-12-30 01:35:57
카푸치노,18115,2024-12-30 08:51:57
