menu,price,order_time
감자튀김,12234,2024-12-29 20:26:56
감자튀김,11652,2024-12-30 04:20:56
감자튀김,19580,2024-12-30 07:38:56
감자튀김,23822,2024-12-30 08:20:56
감자튀김,7444,2024-12-30 00:43:56
떡볶이,8572,2024-12-30 08:52:56
감자튀김,13410,2024-12-29 19:33:56
떡볶이,21076,2024-12-29 20:27:56
닭강정,21874,2024-12-30 07:56:56
떡볶이,29319,2024-12-30 13:00:56
떡볶이,29237,2024-12-30 06:35:56
감자튀김,18180,2024-12-30 00:49:56
떡볶이,13898,2024-12-30 13:02:56
떡볶이,25960,2024-12-30 12:26:56
닭강정,12705,2024-12-30 07:07:56
감자튀김,3457,2024-12-30 07:59:56
떡볶이,1938,2024-12-29 19:15:56
감자튀김,13728,2024-12-30 09:15:56
떡볶이,24534,2024-12-29 17:51:56
떡볶이,16696,2024-12-29 19:43:56
감자튀김,21625,2024-12-29 22:06:56
떡볶이,16208,2024-12-30 00:51:56
닭강정,12653,2024-12-29 19:48:56
감자튀김,10917,2024-12-29 18:30:56
떡볶이,13795,2024-12-30 11:32:56
감자튀김,22545,2024-12-29 19:09:56
감자튀김,6095,2024-12-29 17:36:56
감자튀김,17226,2024-12-30 06:08:56
닭강정,26484,2024-12-30 10:34:56
감자튀김,3990,2024-12-29 18:43:56
닭강정,8244,2024-12-30 16:13:56
떡볶이,9080,2024-12-29 19:52:56
떡볶이,27681,2024-12-30 15:23:56
떡볶이,12595,2024-12-30 13:55:56
감자튀김,11060,2024-12-30 09:58:56
닭강정,14114,2024-12-30 13:00:56
닭강정,22577,2024-12-30 00:54:56
떡볶이,25062,2024-12-29 22:49:56
떡볶이,11184,2024-12-30 00:28:56
감자튀김,20845,2024-12-29 20:46:56
떡볶이,21062,2024-12-30 05:57:56
닭강정,15054,2024-12-30 16:44:56
감자튀김,16770,2024-12-30 14:23:56
떡볶이,13452,2024-12-30 15:17:56
떡볶이,17421,2024-12-30 02:22:56
감자튀김,11811,2024-12-30 11:36:56
떡볶이,27444,2024-12-30 12:58:56
닭강정,23152,2024-12-30 14:14:56
닭강정,25970,2024-12-30 13:46:56
감자튀김,19959,2024-12-30 02:39:56
떡볶이,17437,2024-12-30 17:02:56
떡볶이,9016,2024-12-30 11:19:56
떡볶이,15328,2024-12-30 02:12:56
닭강정,16881,2024-12-30 07:38:56
감자튀김,10556,2024-12-30 15:10:56
닭강정,19743,2024-12-30 00:10:56
떡볶이,25597,2024-12-29 23:35:56
떡볶이,19540,2024-12-29 20:11:56
감자튀김,13939,2024-12-30 13:55:56
떡볶이,21917,2024-12-30 12:16:56
닭강정,2828,2024-12-30 11:45:56
닭강정,2385,2024-12-29 19:20:56
감자튀김,27469,2024-12-29 23:13:56
떡볶이,13020,2024-12-30 11:35:56
떡볶이,23122,2024-12-30 06:31:56
떡볶이,27555,2024-12-30 07:15:56
떡볶이,3376,2024-12-30 16:01:56
떡볶이,8110,2024-12-30 06:11:56
떡볶이,5229,2024-12-30 03:05:56
감자튀김,24373,2024-12-30 07:53:56
감자튀김,16938,2024-12-30 15:28:56
닭강정,16497,2024-12-30 10:20:56
닭강정,24215,2024-12-30 05:07:56
닭강정,21227,2024-12-30 02:29:56
감자튀김,3976,2024-12-29 21:54:56
감자튀김,7538,2024-12-30 07:42:56
감자튀김,6009,2024-12-30 03:14:56
감자튀김,13255,2024-12-30 06:58:56
떡볶이,10841,2024-12-29 23:53:56
닭강정,12124,2024-12-29 18:53:56
감자튀김,24777,2024-12-30 08:43:56
닭강정,5353,2024-12-30 07:20:56
떡볶이,25570,2024-12-30 00:40:56
닭강정,22334,2024-12-30 06:36:56
감자튀김,13562,2024-12-30 10:43:56
닭강정,17089,2024-12-30 05:54:56
감자튀김,28986,2024-12-29 23:38:56
닭강정,20413,2024-12-29 22:00:56
떡볶이,5878,2024-12-30 05:05:56
떡볶이,16402,2024-12-29 19:33:56
떡볶이,26390,2024-12-30 09:47:56
떡볶이,23105,2024-12-30 14:37:56
떡볶이,2092,2024-12-30 17:13:56
닭강정,21300,2024-12-30 02:14:56
닭강정,28657,2024-12-30 00:17:56
닭강정,13781,2024-12-30 00:36:56
닭강정,22900,2024-12-30 11:13:56
떡볶이,18919,2024-12-30 06:49:56
떡볶이,20420,2024-12-30 00:09:56
닭강정,10405,2024-12-29 21:46:56
