menu,price,order_time
카푸치노,12247,2024-12-30 14:42:56
케이크,16890,2024-12-29 21:04:56
카푸치노,18816,2024-12-30 15:11:56
케이크,27362,2024-12-29 20:13:56
케이크,10654,2024-12-29 22:43:56
케이크,5868,2024-12-30 00:31:56
아메리카노,10899,2024-12-29 21:55:56
아메리카노,14032,2024-12-30 02:37:56
케이크,3928,2024-12-30 09:54:56
아메리카노,8539,2024-12-30 06:46:56
아메리카노,12792,2024-12-30 07:34:56
카푸치노,21286,2024-12-30 00:46:56
카푸치노,27540,2024-12-29 21:31:56
아메리카노,12923,2024-12-30 05:51:56
아메리카노,28998,2024-12-30 09:56:56
카푸치노,8261,2024-12-30 06:15:56
카푸치노,14807,2024-12-29 18:52:56
아메리카노,5819,2024-12-30 12:22:56
케이크,18513,2024-12-29 18:52:56
케이크,19608,2024-12-30 13:05:56
아메리카노,20811,2024-12-30 10:08:56
아메리카노,21630,2024-12-30 14:15:56
카푸치노,10543,2024-12-30 15:20:56
케이크,11828,2024-12-30 08:25:56
케이크,29586,2024-12-29 23:24:56
아메리카노,15979,2024-12-30 09:12:56
케이크,8632,2024-12-29 19:51:56
케이크,19941,2024-12-30 02:01:56
케이크,28363,2024-12-30 11:38:56
케이크,12986,2024-12-30 02:29:56
카푸치노,11648,2024-12-29 22:05:56
케이크,12771,2024-12-30 12:54:56
카푸치노,29570,2024-12-29 23:36:56
케이크,17899,2024-12-29 20:00:56
케이크,8202,2024-12-30 01:16:56
케이크,11688,2024-12-30 03:51:56
아메리카노,21923,2024-12-30 07:30:56
아메리카노,4893,2024-12-30 13:54:56
케이크,1532,2024-12-30 08:23:56
케이크,29479,2024-12-30 02:12:56
카푸치노,17901,2024-12-29 21:02:56
아메리카노,7388,2024-12-30 16:54:56
카푸치노,3199,2024-12-29 18:37:56
케이크,28915,2024-12-29 23:30:56
케이크,13847,2024-12-30 10:39:56
카푸치노,20973,2024-12-30 00:11:56
아메리카노,4055,2024-12-29 18:40:56
카푸치노,10189,2024-12-30 16:37:56
아메리카노,1478,2024-12-30 17:18:56
아메리카노,13278,2024-12-30 09:57:56
아메리카노,10775,2024-12-30 09:37:56
케이크,17779,2024-12-30 12:48:56
케이크,29818,2024-12-30 05:31:56
아메리카노,13358,2024-12-30 05:04:56
카푸치노,5683,2024-12-29 21:20:56
카푸치노,23543,2024-12-30 09:18:56
케이크,17326,2024-12-30 15:29:56
케이크,15986,2024-12-30 01:38:56
케이크,21061,2024-12-30 09:13:56
카푸치노,7173,2024-12-29 18:04:56
아메리카노,10732,2024-12-30 00:30:56
카푸치노,9120,2024-12-29 17:35:56
카푸치노,28104,2024-12-30 13:04:56
케이크,9814,2024-12-30 05:45:56
케이크,10159,2024-12-30 14:03:56
카푸치노,12622,2024-12-30 16:25:56
아메리카노,5014,2024-12-30 01:32:56
케이크,8028,2024-12-30 01:04:56
카푸치노,22311,2024-12-29 22:54:56
아메리카노,16081,2024-12-30 10:55:56
케이크,18941,2024-12-29 21:15:56
카푸치노,13586,2024-12-30 05:27:56
아메리카노,10455,2024-12-29 21:17:56
아메리카노,22031,2024-12-30 05:08:56
카푸치노,23196,2024-12-30 13:19:56
카푸치노,11897,2024-12-30 17:07:56
케이크,17967,2024-12-30 11:52:56
케이크,11197,2024-12-30 01:41:56
아메리카노,27891,2024-12-30 13:08:56
카푸치노,11760,2024-12-30 00:00:56
케이크,1754,2024-12-30 13:45:56
케이크,18583,2024-12-29 22:28:56
케이크,6209,2024-12-30 04:18:56
카푸치노,28033,2024-12-30 08:30:56
카푸치노,19079,2024-12-29 18:49:56
케이크,12172,2024-12-30 13:43:56
케이크,27898,2024-12-29 17:32:56
케이크,29260,2024-12-30 07:44:56
아메리카노,4020,2024-12-30 00:21:56
카푸치노,8551,2024-12-30 01:51:56
케이크,7312,2024-12-30 07:52:56
아메리카노,7850,2024-12-30 14:39:56
아메리카노,15213,2024-12-30 02:58:56
카푸치노,23133,2024-12-30 08:21:56
카푸치노,9261,2024-12-30 05:36:56
아메리카노,22503,2024-12-29 23:06:56
카푸치노,14340,2024-12-30 02:20:56
카푸치노,25832,2024-12-30 05:18:56
카푸치노,6640,2024-12-30 10:12:56
카푸치노,22618,2024-12-30 06:59:56
