menu,price,order_time
만두,1571,2024-12-30 06:32:56
김밥,8504,2024-12-29 22:35:56
만두,11865,2024-12-30 09:34:56
만두,7589,2024-12-30 09:34:56
만두,23674,2024-12-30 06:31:56
만두,21154,2024-12-30 03:15:56
만두,24031,2024-12-30 07:35:56
떡볶이,18484,2024-12-30 16:47:56
김밥,1478,2024-12-30 11:51:56
떡볶이,25441,2024-12-29 21:25:56
김밥,2315,2024-12-30 09:31:56
만두,16116,2024-12-30 11:18:56
떡볶이,22072,2024-12-30 05:04:56
만두,19122,2024-12-30 14:36:56
떡볶이,28257,2024-12-30 11:01:56
떡볶이,23813,2024-12-30 13:07:56
떡볶이,22032,2024-12-30 08:21:56
김밥,12927,2024-12-29 19:06:56
김밥,5217,2024-12-30 02:07:56
만두,17223,2024-12-29 20:50:56
만두,15148,2024-12-30 11:18:56
김밥,8076,2024-12-29 19:40:56
떡볶이,12857,2024-12-29 21:18:56
김밥,11211,2024-12-29 18:52:56
만두,18622,2024-12-29 23:16:56
떡볶이,15372,2024-12-30 14:59:56
만두,26117,2024-12-30 05:04:56
만두,12132,2024-12-30 12:13:56
만두,22260,2024-12-29 19:55:56
김밥,26539,2024-12-29 19:19:56
만두,27055,2024-12-29 23:35:56
김밥,25105,2024-12-29 22:56:56
만두,12598,2024-12-29 20:57:56
만두,18374,2024-12-29 19:16:56
떡볶이,6623,2024-12-30 04:53:56
김밥,13565,2024-12-30 13:55:56
만두,16382,2024-12-30 12:39:56
김밥,6985,2024-12-30 16:28:56
김밥,27347,2024-12-29 20:35:56
김밥,2892,2024-12-29 20:34:56
떡볶이,28940,2024-12-30 05:22:56
떡볶이,26835,2024-12-30 07:42:56
만두,22484,2024-12-29 23:42:56
김밥,25899,2024-12-30 00:54:56
김밥,18868,2024-12-30 11:46:56
만두,25952,2024-12-30 10:10:56
김밥,15108,2024-12-30 04:48:56
떡볶이,26556,2024-12-30 04:39:56
김밥,17078,2024-12-29 19:02:56
김밥,15681,2024-12-30 07:14:56
김밥,7751,2024-12-30 07:47:56
떡볶이,17632,2024-12-29 17:51:56
떡볶이,11646,2024-12-30 02:26:56
김밥,2893,2024-12-30 01:30:56
만두,11985,2024-12-29 22:36:56
김밥,14674,2024-12-30 10:19:56
만두,25412,2024-12-29 20:47:56
만두,8020,2024-12-29 22:55:56
만두,1554,2024-12-30 14:43:56
떡볶이,26100,2024-12-30 03:10:56
떡볶이,7246,2024-12-30 05:42:56
김밥,10042,2024-12-29 20:16:56
떡볶이,2599,2024-12-30 08:40:56
떡볶이,5385,2024-12-29 19:16:56
만두,8410,2024-12-30 01:09:56
김밥,2292,2024-12-30 07:26:56
떡볶이,17013,2024-12-30 00:04:56
만두,21011,2024-12-30 03:39:56
김밥,10791,2024-12-30 16:16:56
떡볶이,23049,2024-12-30 15:34:56
만두,20418,2024-12-30 14:13:56
김밥,12910,2024-12-30 03:03:56
김밥,6139,2024-12-30 10:44:56
김밥,23035,2024-12-30 12:24:56
만두,13825,2024-12-30 02:48:56
만두,3019,2024-12-30 13:56:56
김밥,2971,2024-12-30 06:46:56
만두,22680,2024-12-30 13:34:56
김밥,14148,2024-12-30 02:35:56
만두,12219,2024-12-30 13:25:56
만두,17731,2024-12-29 19:16:56
떡볶이,15071,2024-12-29 22:48:56
김밥,8872,2024-12-29 23:53:56
만두,4705,2024-12-30 06:16:56
만두,8112,2024-12-30 12:55:56
만두,9627,2024-12-30 01:24:56
김밥,2933,2024-12-29 23:26:56
떡볶이,18699,2024-12-29 22:42:56
떡볶이,20693,2024-12-29 19:07:56
떡볶이,24465,2024-12-30 12:10:56
김밥,8253,2024-12-29 20:32:56
떡볶이,20134,2024-12-30 06:00:56
떡볶이,27120,2024-12-30 07:15:56
만두,22834,2024-12-30 00:16:56
떡볶이,18910,2024-12-29 21:04:56
김밥,14434,2024-12-30 12:38:56
만두,12701,2024-12-30 05:16:56
만두,2886,2024-12-30 03:54:56
떡볶이,29888,2024-12-30 15:37:56
만두,21158,2024-12-29 20:37:56
