menu,price,order_time
닭강정,28720,2024-12-30 14:47:56
닭강정,15257,2024-12-30 01:55:56
감자튀김,28151,2024-12-30 14:06:56
감자튀김,27452,2024-12-30 16:12:56
닭강정,16486,2024-12-30 01:58:56
떡볶이,7268,2024-12-30 05:49:56
감자튀김,16963,2024-12-30 03:37:56
닭강정,8486,2024-12-29 20:16:56
닭강정,12789,2024-12-30 01:32:56
떡볶이,19164,2024-12-30 06:55:56
감자튀김,15431,2024-12-29 19:46:56
닭강정,25535,2024-12-30 01:58:56
감자튀김,1613,2024-12-29 18:15:56
떡볶이,13098,2024-12-30 05:56:56
닭강정,24066,2024-12-30 10:17:56
감자튀김,15041,2024-12-30 12:36:56
닭강정,6836,2024-12-29 19:53:56
떡볶이,28733,2024-12-30 05:50:56
떡볶이,16652,2024-12-30 09:40:56
떡볶이,23255,2024-12-29 18:04:56
감자튀김,15222,2024-12-29 20:24:56
떡볶이,21419,2024-12-30 16:15:56
떡볶이,18099,2024-12-30 09:32:56
닭강정,17818,2024-12-30 00:14:56
떡볶이,6406,2024-12-30 07:53:56
떡볶이,16522,2024-12-30 07:52:56
떡볶이,14960,2024-12-30 13:55:56
떡볶이,9999,2024-12-30 08:03:56
닭강정,8050,2024-12-29 21:22:56
닭강정,23339,2024-12-30 04:29:56
떡볶이,17867,2024-12-30 00:44:56
감자튀김,17287,2024-12-30 03:52:56
떡볶이,3493,2024-12-30 09:46:56
떡볶이,20581,2024-12-30 00:50:56
감자튀김,19764,2024-12-30 07:18:56
떡볶이,1162,2024-12-29 19:58:56
감자튀김,20801,2024-12-30 06:37:56
감자튀김,25799,2024-12-29 19:53:56
감자튀김,24078,2024-12-30 09:05:56
닭강정,16173,2024-12-30 03:17:56
떡볶이,3502,2024-12-30 09:18:56
떡볶이,17923,2024-12-30 08:52:56
감자튀김,16956,2024-12-30 13:17:56
닭강정,18596,2024-12-30 15:53:56
감자튀김,18598,2024-12-30 17:14:56
감자튀김,11166,2024-12-30 00:20:56
떡볶이,25975,2024-12-30 04:31:56
감자튀김,20211,2024-12-30 03:07:56
감자튀김,10190,2024-12-30 16:08:56
감자튀김,23974,2024-12-29 23:25:56
감자튀김,25714,2024-12-29 19:04:56
감자튀김,26236,2024-12-30 06:45:56
떡볶이,24987,2024-12-30 14:36:56
떡볶이,6145,2024-12-30 05:27:56
닭강정,5075,2024-12-30 11:38:56
감자튀김,28313,2024-12-29 17:42:56
닭강정,6418,2024-12-30 05:54:56
떡볶이,19626,2024-12-29 21:31:56
떡볶이,21154,2024-12-30 03:03:56
닭강정,15741,2024-12-30 11:36:56
닭강정,23033,2024-12-30 17:15:56
떡볶이,1630,2024-12-30 08:16:56
떡볶이,12546,2024-12-30 14:56:56
떡볶이,23652,2024-12-30 07:16:56
떡볶이,26988,2024-12-30 14:34:56
감자튀김,9155,2024-12-30 09:11:56
감자튀김,28741,2024-12-30 10:12:56
닭강정,13945,2024-12-30 01:48:56
감자튀김,7306,2024-12-30 00:41:56
떡볶이,6413,2024-12-30 14:53:56
감자튀김,11236,2024-12-30 08:44:56
닭강정,27297,2024-12-29 21:05:56
떡볶이,2488,2024-12-30 04:19:56
닭강정,13593,2024-12-29 23:15:56
감자튀김,20080,2024-12-30 05:28:56
닭강정,1428,2024-12-30 02:02:56
감자튀김,28770,2024-12-30 03:38:56
닭강정,1886,2024-12-30 00:35:56
감자튀김,17048,2024-12-30 02:35:56
닭강정,29201,2024-12-30 11:38:56
떡볶이,15647,2024-12-30 14:56:56
떡볶이,19777,2024-12-29 18:41:56
닭강정,6172,2024-12-30 10:47:56
떡볶이,28313,2024-12-30 14:09:56
감자튀김,18544,2024-12-30 15:46:56
떡볶이,18519,2024-12-30 12:13:56
떡볶이,24167,2024-12-30 01:33:56
떡볶이,4650,2024-12-30 03:47:56
떡볶이,29804,2024-12-30 13:50:56
닭강정,23497,2024-12-30 02:14:56
닭강정,1232,2024-12-30 02:26:56
닭강정,17283,2024-12-30 01:43:56
떡볶이,22921,2024-12-30 15:06:56
닭강정,12087,2024-12-30 07:53:56
떡볶이,24503,2024-12-29 18:18:56
떡볶이,5662,2024-12-30 10:25:56
떡볶이,7789,2024-12-29 23:16:56
떡볶이,5095,2024-12-29 18:52:56
떡볶이,10418,2024-12-30 06:34:56
닭강정,12567,2024-12-29 18:13:56
