menu,price,order_time
감자튀김,17345,2024-12-29 19:00:56
떡볶이,22958,2024-12-29 23:13:56
감자튀김,10063,2024-12-30 10:44:56
떡볶이,16197,2024-12-30 03:52:56
감자튀김,19215,2024-12-30 13:18:56
닭강정,28643,2024-12-30 17:16:56
닭강정,20785,2024-12-30 14:00:56
닭강정,5244,2024-12-30 04:51:56
닭강정,28876,2024-12-30 15:43:56
떡볶이,18751,2024-12-30 02:06:56
떡볶이,4879,2024-12-29 23:57:56
떡볶이,15231,2024-12-30 05:35:56
떡볶이,19411,2024-12-30 09:43:56
떡볶이,6745,2024-12-29 21:13:56
떡볶이,3549,2024-12-30 13:01:56
감자튀김,26882,2024-12-30 06:33:56
떡볶이,25987,2024-12-30 16:33:56
떡볶이,17892,2024-12-29 19:15:56
닭강정,2944,2024-12-30 11:03:56
떡볶이,9520,2024-12-30 07:18:56
감자튀김,5426,2024-12-29 22:15:56
떡볶이,7862,2024-12-30 02:03:56
감자튀김,15018,2024-12-30 09:50:56
닭강정,2604,2024-12-30 07:31:56
감자튀김,14771,2024-12-30 10:53:56
닭강정,23872,2024-12-30 14:11:56
감자튀김,26672,2024-12-30 16:48:56
감자튀김,15917,2024-12-30 12:29:56
떡볶이,4692,2024-12-30 10:27:56
떡볶이,27124,2024-12-30 00:26:56
닭강정,27587,2024-12-30 05:24:56
감자튀김,20141,2024-12-29 20:12:56
닭강정,6397,2024-12-30 10:20:56
감자튀김,15178,2024-12-30 12:24:56
감자튀김,25968,2024-12-30 14:30:56
떡볶이,26439,2024-12-30 14:06:56
감자튀김,11451,2024-12-30 14:55:56
떡볶이,16453,2024-12-30 05:33:56
떡볶이,29045,2024-12-30 09:22:56
닭강정,9750,2024-12-29 22:35:56
감자튀김,13395,2024-12-29 23:15:56
감자튀김,24976,2024-12-30 08:38:56
닭강정,14680,2024-12-30 04:23:56
감자튀김,27516,2024-12-30 13:30:56
떡볶이,26772,2024-12-29 21:23:56
닭강정,7474,2024-12-30 06:35:56
떡볶이,8495,2024-12-29 22:08:56
닭강정,5976,2024-12-30 07:51:56
감자튀김,6964,2024-12-30 09:13:56
닭강정,2936,2024-12-30 15:28:56
닭강정,7015,2024-12-30 14:30:56
떡볶이,3079,2024-12-30 14:15:56
닭강정,18868,2024-12-30 11:31:56
감자튀김,11223,2024-12-30 03:52:56
감자튀김,21292,2024-12-30 11:05:56
닭강정,28517,2024-12-30 11:59:56
감자튀김,18940,2024-12-30 13:31:56
떡볶이,7890,2024-12-30 00:42:56
닭강정,26145,2024-12-29 22:56:56
떡볶이,19181,2024-12-29 22:59:56
닭강정,5616,2024-12-30 03:59:56
닭강정,25520,2024-12-30 16:27:56
떡볶이,24427,2024-12-29 21:41:56
떡볶이,14113,2024-12-30 01:40:56
닭강정,4244,2024-12-30 06:57:56
떡볶이,27097,2024-12-30 16:51:56
닭강정,29842,2024-12-30 15:48:56
닭강정,13433,2024-12-29 19:34:56
닭강정,29825,2024-12-29 19:42:56
감자튀김,23992,2024-12-30 05:32:56
닭강정,11048,2024-12-29 21:28:56
떡볶이,9441,2024-12-29 22:01:56
떡볶이,21160,2024-12-29 19:48:56
감자튀김,8848,2024-12-30 05:41:56
감자튀김,6362,2024-12-30 02:29:56
닭강정,27279,2024-12-30 03:26:56
떡볶이,15723,2024-12-29 20:42:56
감자튀김,22145,2024-12-29 21:53:56
감자튀김,29459,2024-12-29 18:10:56
닭강정,4273,2024-12-30 14:42:56
떡볶이,28404,2024-12-29 18:57:56
떡볶이,12668,2024-12-29 20:35:56
닭강정,10934,2024-12-30 06:11:56
닭강정,6156,2024-12-30 13:22:56
감자튀김,29589,2024-12-30 14:17:56
떡볶이,6958,2024-12-29 21:38:56
떡볶이,23976,2024-12-29 18:12:56
감자튀김,21710,2024-12-30 05:55:56
닭강정,12549,2024-12-29 19:18:56
감자튀김,22011,2024-12-30 13:19:56
닭강정,21201,2024-12-30 07:49:56
떡볶이,12468,2024-12-30 02:05:56
떡볶이,10734,2024-12-30 02:42:56
떡볶이,11653,2024-12-30 06:58:56
닭강정,21362,2024-12-29 22:24:56
닭강정,13828,2024-12-29 23:27:56
닭강정,16890,2024-12-30 01:27:56
닭강정,13607,2024-12-30 10:54:56
감자튀김,24571,2024-12-30 03:50:56
떡볶이,24779,2024-12-30 14:39:56
