menu,price,order_time
크루아상,26290,2024-12-30 11:02:56
크루아상,19141,2024-12-30 02:15:56
도넛,10326,2024-12-30 13:00:56
도넛,23130,2024-12-29 19:46:56
머핀,7215,2024-12-30 10:29:56
머핀,8580,2024-12-30 01:33:56
도넛,1928,2024-12-30 16:52:56
머핀,20936,2024-12-30 14:29:56
머핀,24042,2024-12-30 00:08:56
머핀,3850,2024-12-29 19:07:56
도넛,12445,2024-12-30 03:19:56
머핀,21213,2024-12-30 04:12:56
도넛,18807,2024-12-30 09:20:56
크루아상,18551,2024-12-30 11:23:56
크루아상,5908,2024-12-30 16:35:56
크루아상,16518,2024-12-29 18:40:56
머핀,27648,2024-12-30 13:53:56
머핀,1507,2024-12-30 14:15:56
도넛,5957,2024-12-30 02:29:56
도넛,11119,2024-12-30 14:36:56
크루아상,28516,2024-12-30 12:37:56
크루아상,18087,2024-12-30 11:57:56
도넛,29972,2024-12-29 19:35:56
머핀,20067,2024-12-30 01:12:56
머핀,21510,2024-12-30 13:26:56
크루아상,4515,2024-12-30 05:40:56
도넛,29253,2024-12-30 05:15:56
머핀,4895,2024-12-30 05:21:56
머핀,18765,2024-12-30 10:05:56
크루아상,13503,2024-12-30 01:01:56
크루아상,25752,2024-12-30 09:15:56
도넛,11997,2024-12-29 20:41:56
머핀,15758,2024-12-29 22:51:56
크루아상,16680,2024-12-30 12:10:56
머핀,16415,2024-12-30 09:34:56
도넛,15682,2024-12-30 08:51:56
도넛,10212,2024-12-30 06:32:56
도넛,13443,2024-12-30 08:51:56
도넛,20319,2024-12-30 00:41:56
크루아상,17416,2024-12-29 17:54:56
도넛,1368,2024-12-30 05:01:56
도넛,21921,2024-12-30 11:53:56
도넛,21647,2024-12-30 08:26:56
도넛,3444,2024-12-30 14:41:56
크루아상,10173,2024-12-30 14:31:56
도넛,28764,2024-12-30 04:08:56
도넛,11579,2024-12-29 22:05:56
머핀,13801,2024-12-30 05:43:56
머핀,18248,2024-12-29 19:15:56
크루아상,2335,2024-12-30 04:02:56
도넛,7873,2024-12-29 17:39:56
크루아상,12771,2024-12-30 13:28:56
머핀,28854,2024-12-30 03:03:56
머핀,25301,2024-12-30 04:46:56
도넛,18448,2024-12-30 13:46:56
머핀,19371,2024-12-29 18:13:56
머핀,14026,2024-12-30 05:19:56
머핀,21706,2024-12-30 13:28:56
머핀,28640,2024-12-29 19:10:56
크루아상,6922,2024-12-29 17:44:56
도넛,3296,2024-12-30 05:27:56
도넛,7499,2024-12-30 15:58:56
크루아상,27782,2024-12-30 12:01:56
머핀,12661,2024-12-30 03:35:56
도넛,28277,2024-12-30 17:06:56
크루아상,3369,2024-12-30 05:41:56
도넛,21298,2024-12-30 16:22:56
크루아상,27274,2024-12-30 04:26:56
도넛,22750,2024-12-30 11:29:56
크루아상,21720,2024-12-30 03:58:56
크루아상,12043,2024-12-29 20:09:56
크루아상,21317,2024-12-29 20:46:56
머핀,14231,2024-12-29 20:50:56
머핀,20393,2024-12-30 07:59:56
크루아상,1299,2024-12-30 10:59:56
도넛,13651,2024-12-30 11:18:56
머핀,21478,2024-12-30 13:46:56
도넛,17068,2024-12-29 20:21:56
머핀,29358,2024-12-30 13:39:56
도넛,14023,2024-12-30 01:52:56
도넛,15254,2024-12-30 09:19:56
도넛,27059,2024-12-29 20:36:56
크루아상,28340,2024-12-29 22:30:56
머핀,24019,2024-12-30 11:00:56
크루아상,6727,2024-12-29 18:03:56
도넛,2369,2024-12-30 05:59:56
크루아상,17574,2024-12-29 22:04:56
도넛,22135,2024-12-29 21:50:56
크루아상,11782,2024-12-29 19:55:56
머핀,23120,2024-12-30 06:26:56
크루아상,15306,2024-12-30 07:23:56
도넛,10077,2024-12-30 05:49:56
머핀,14223,2024-12-30 06:14:56
머핀,16481,2024-12-30 05:24:56
도넛,3072,2024-12-29 22:35:56
머핀,10037,2024-12-30 15:18:56
머핀,11725,2024-12-29 23:54:56
크루아상,14607,2024-12-29 18:29:56
머핀,8162,2024-12-30 06:22:56
머핀,5091,2024-12-30 14:18:56
