menu,price,order_time
카푸치노,5575,2024-12-30 06:09:56
케이크,4195,2024-12-30 00:16:56
카푸치노,23357,2024-12-30 04:26:56
아메리카노,20480,2024-12-29 23:39:56
아메리카노,27740,2024-12-30 09:54:56
아메리카노,27555,2024-12-30 01:37:56
케이크,5127,2024-12-30 06:45:56
카푸치노,28847,2024-12-30 10:23:56
케이크,16233,2024-12-29 22:50:56
케이크,16992,2024-12-29 18:09:56
케이크,25695,2024-12-29 19:09:56
케이크,17964,2024-12-29 19:53:56
아메리카노,26798,2024-12-30 16:15:56
케이크,29147,2024-12-30 06:01:56
카푸치노,28405,2024-12-29 20:48:56
카푸치노,3045,2024-12-30 02:32:56
아메리카노,7161,2024-12-30 13:41:56
케이크,23023,2024-12-30 16:08:56
아메리카노,2445,2024-12-30 14:15:56
카푸치노,6513,2024-12-30 12:00:56
카푸치노,28807,2024-12-29 18:37:56
아메리카노,23799,2024-12-30 17:14:56
카푸치노,3479,2024-12-29 22:49:56
카푸치노,8707,2024-12-30 02:49:56
아메리카노,16377,2024-12-29 20:28:56
카푸치노,17658,2024-12-29 19:20:56
아메리카노,15010,2024-12-30 04:12:56
카푸치노,21796,2024-12-30 11:43:56
카푸치노,19775,2024-12-30 10:48:56
케이크,5059,2024-12-29 17:29:56
케이크,13755,2024-12-29 19:07:56
아메리카노,5722,2024-12-30 06:29:56
카푸치노,24780,2024-12-29 18:31:56
케이크,2554,2024-12-30 10:48:56
아메리카노,29226,2024-12-30 04:33:56
카푸치노,8691,2024-12-30 13:03:56
카푸치노,24685,2024-12-30 05:55:56
케이크,18889,2024-12-29 23:06:56
케이크,6795,2024-12-30 08:21:56
아메리카노,20522,2024-12-29 19:42:56
카푸치노,25885,2024-12-30 02:36:56
아메리카노,11756,2024-12-29 19:46:56
카푸치노,27322,2024-12-30 08:57:56
케이크,29287,2024-12-29 18:22:56
아메리카노,10147,2024-12-30 09:11:56
카푸치노,12750,2024-12-29 20:07:56
케이크,2677,2024-12-30 07:07:56
케이크,20370,2024-12-30 02:09:56
카푸치노,10527,2024-12-29 20:52:56
아메리카노,17195,2024-12-30 05:30:56
카푸치노,23136,2024-12-30 15:35:56
카푸치노,9840,2024-12-30 15:28:56
케이크,26234,2024-12-30 11:00:56
아메리카노,9454,2024-12-30 11:04:56
케이크,9436,2024-12-29 18:16:56
카푸치노,17947,2024-12-30 03:03:56
아메리카노,6886,2024-12-30 14:43:56
케이크,1062,2024-12-29 23:30:56
아메리카노,3603,2024-12-30 10:49:56
아메리카노,27677,2024-12-30 04:10:56
케이크,20865,2024-12-30 13:36:56
아메리카노,27105,2024-12-30 13:05:56
아메리카노,27694,2024-12-30 00:39:56
아메리카노,18301,2024-12-30 04:03:56
케이크,13516,2024-12-30 07:21:56
카푸치노,17573,2024-12-29 22:13:56
아메리카노,14532,2024-12-30 07:25:56
카푸치노,17405,2024-12-30 12:28:56
케이크,8490,2024-12-30 16:03:56
케이크,12052,2024-12-30 14:46:56
케이크,4177,2024-12-30 14:07:56
아메리카노,6534,2024-12-30 12:04:56
아메리카노,2869,2024-12-30 15:52:56
아메리카노,20015,2024-12-29 19:37:56
아메리카노,12810,2024-12-30 10:07:56
케이크,5384,2024-12-30 13:13:56
케이크,23293,2024-12-30 11:13:56
아메리카노,19469,2024-12-30 15:16:56
카푸치노,8066,2024-12-29 21:32:56
케이크,3265,2024-12-30 05:40:56
카푸치노,20359,2024-12-30 10:59:56
카푸치노,4815,2024-12-30 02:19:56
아메리카노,4007,2024-12-30 10:38:56
카푸치노,12831,2024-12-30 07:54:56
케이크,10687,2024-12-29 22:58:56
케이크,13209,2024-12-30 05:37:56
아메리카노,6730,2024-12-30 09:37:56
아메리카노,2516,2024-12-30 13:57:56
아메리카노,19401,2024-12-30 17:01:56
카푸치노,22487,2024-12-29 21:14:56
아메리카노,28622,2024-12-29 21:32:56
케이크,2524,2024-12-30 00:42:56
케이크,29459,2024-12-30 06:25:56
케이크,6043,2024-12-29 21:33:56
케이크,10321,2024-12-30 00:15:56
카푸치노,19063,2024-12-30 09:17:56
카푸치노,15053,2024-12-30 11:35:56
케이크,18412,2024-12-30 11:50:56
케이크,3181,2024-12-30 09:51:56
카푸치노,29074,2024-12-30 01:09:56
