menu,price,order_time
아메리카노,20015,2024-12-29 20:23:57
카푸치노,18270,2024-12-30 15:50:57
아메리카노,13997,2024-12-30 02:36:57
케이크,18742,2024-12-29 18:28:57
아메리카노,11090,2024-12-29 17:55:57
카푸치노,16237,2024-12-29 23:31:57
케이크,14070,2024-12-30 06:44:57
케이크,26978,2024-12-29 18:27:57
케이크,1130,2024-12-29 17:53:57
카푸치노,24710,2024-12-30 10:33:57
카푸치노,11591,2024-12-29 21:14:57
카푸치노,9757,2024-12-30 09:42:57
아메리카노,15445,2024-12-30 16:59:57
카푸치노,26327,2024-12-30 12:44:57
카푸치노,17214,2024-12-30 03:32:57
아메리카노,1464,2024-12-30 17:04:57
카푸치노,29454,2024-12-29 21:43:57
케이크,2869,2024-12-30 05:33:57
카푸치노,22913,2024-12-30 10:15:57
아메리카노,18717,2024-12-30 12:13:57
카푸치노,24246,2024-12-30 05:27:57
카푸치노,21584,2024-12-30 11:14:57
카푸치노,12732,2024-12-29 22:07:57
케이크,20069,2024-12-30 10:26:57
아메리카노,12590,2024-12-30 14:20:57
케이크,20981,2024-12-30 11:40:57
아메리카노,28130,2024-12-29 23:12:57
아메리카노,3970,2024-12-30 14:49:57
아메리카노,23782,2024-12-30 13:43:57
카푸치노,7970,2024-12-30 17:15:57
아메리카노,17278,2024-12-30 06:09:57
카푸치노,2123,2024-12-29 22:59:57
카푸치노,26383,2024-12-29 18:29:57
카푸치노,26090,2024-12-30 08:57:57
카푸치노,14435,2024-12-30 12:18:57
카푸치노,19476,2024-12-29 23:58:57
아메리카노,25323,2024-12-30 14:58:57
아메리카노,8957,2024-12-30 01:46:57
케이크,24979,2024-12-29 21:57:57
아메리카노,8332,2024-12-30 04:45:57
케이크,4831,2024-12-30 11:13:57
케이크,10018,2024-12-30 17:20:57
아메리카노,8048,2024-12-30 05:58:57
케이크,19484,2024-12-30 05:16:57
케이크,1051,2024-12-30 00:28:57
케이크,25898,2024-12-30 16:42:57
아메리카노,23284,2024-12-29 18:22:57
아메리카노,24735,2024-12-29 22:27:57
케이크,24960,2024-12-30 07:11:57
아메리카노,25122,2024-12-30 16:03:57
카푸치노,11242,2024-12-30 09:16:57
케이크,15975,2024-12-29 21:07:57
아메리카노,11964,2024-12-30 12:02:57
아메리카노,25877,2024-12-30 11:51:57
아메리카노,7380,2024-12-29 23:43:57
카푸치노,25006,2024-12-30 15:50:57
아메리카노,27638,2024-12-29 22:10:57
케이크,8010,2024-12-30 02:55:57
케이크,29207,2024-12-30 05:29:57
케이크,19621,2024-12-30 13:29:57
케이크,26275,2024-12-30 14:21:57
아메리카노,24138,2024-12-29 17:41:57
카푸치노,6525,2024-12-30 05:06:57
카푸치노,27826,2024-12-30 02:01:57
카푸치노,8221,2024-12-29 22:11:57
케이크,3959,2024-12-29 17:48:57
케이크,22168,2024-12-30 08:56:57
케이크,27830,2024-12-29 19:12:57
아메리카노,2819,2024-12-30 14:38:57
케이크,12551,2024-12-29 19:54:57
카푸치노,23655,2024-12-30 14:24:57
케이크,22031,2024-12-30 09:27:57
아메리카노,1039,2024-12-30 06:19:57
카푸치노,12415,2024-12-30 16:40:57
아메리카노,23692,2024-12-30 10:48:57
카푸치노,2900,2024-12-30 02:34:57
아메리카노,10731,2024-12-30 09:01:57
아메리카노,22656,2024-12-30 07:46:57
카푸치노,26170,2024-12-30 07:17:57
케이크,22477,2024-12-30 01:20:57
카푸치노,22584,2024-12-30 03:29:57
카푸치노,2266,2024-12-29 21:21:57
아메리카노,3270,2024-12-30 11:27:57
아메리카노,5119,2024-12-30 12:19:57
케이크,19054,2024-12-30 08:36:57
아메리카노,21265,2024-12-30 17:09:57
케이크,3451,2024-12-30 11:39:57
아메리카노,1658,2024-12-30 16:43:57
아메리카노,19655,2024-12-29 22:09:57
카푸치노,7881,2024-12-30 06:28:57
아메리카노,10584,2024-12-30 15:38:57
아메리카노,9688,2024-12-30 12:34:57
아메리카노,22059,2024-12-30 16:40:57
케이크,26815,2024-12-30 03:52:57
아메리카노,14029,2024-12-30 00:55:57
케이크,24685,2024-12-30 03:42:57
아메리카노,15534,2024-12-29 23:38:57
케이크,1079,2024-12-30 14:50:57
케이크,24111,2024-12-30 14:25:57
케이크,18160,2024-12-30 12:51:57
