menu,price,order_time
만두,15287,2024-12-30 05:35:56
김밥,22860,2024-12-30 14:00:56
김밥,4978,2024-12-29 17:58:56
떡볶이,6897,2024-12-30 02:01:56
김밥,7162,2024-12-30 09:04:56
김밥,9688,2024-12-29 18:21:56
김밥,22362,2024-12-30 02:56:56
김밥,6637,2024-12-30 04:57:56
김밥,14963,2024-12-30 02:28:56
김밥,11661,2024-12-30 00:50:56
만두,11258,2024-12-30 13:29:56
떡볶이,13398,2024-12-30 09:10:56
떡볶이,1399,2024-12-30 04:37:56
떡볶이,8718,2024-12-30 06:24:56
김밥,5450,2024-12-30 11:24:56
만두,16283,2024-12-30 13:35:56
김밥,9766,2024-12-30 13:56:56
만두,10317,2024-12-30 08:39:56
김밥,20326,2024-12-29 19:20:56
김밥,19574,2024-12-30 04:59:56
김밥,20124,2024-12-30 07:48:56
김밥,21558,2024-12-29 22:04:56
떡볶이,9686,2024-12-30 10:49:56
떡볶이,17621,2024-12-30 08:42:56
만두,17345,2024-12-30 16:32:56
만두,13468,2024-12-30 12:45:56
만두,11198,2024-12-29 19:04:56
떡볶이,21700,2024-12-30 06:32:56
만두,2260,2024-12-29 18:03:56
떡볶이,5925,2024-12-30 06:42:56
만두,21442,2024-12-30 11:15:56
만두,25073,2024-12-30 03:05:56
김밥,10817,2024-12-29 21:36:56
만두,7632,2024-12-29 18:58:56
떡볶이,12636,2024-12-30 10:54:56
만두,4462,2024-12-30 16:35:56
김밥,9121,2024-12-30 13:06:56
김밥,7455,2024-12-30 14:25:56
만두,10429,2024-12-30 07:00:56
만두,27798,2024-12-29 21:31:56
만두,23929,2024-12-29 19:02:56
만두,3561,2024-12-30 00:10:56
떡볶이,17096,2024-12-29 19:53:56
떡볶이,20772,2024-12-30 11:09:56
만두,22121,2024-12-30 02:19:56
떡볶이,15761,2024-12-29 19:10:56
만두,14760,2024-12-30 10:58:56
김밥,28180,2024-12-30 10:41:56
김밥,28975,2024-12-30 01:33:56
만두,28429,2024-12-30 09:03:56
떡볶이,17916,2024-12-29 19:45:56
만두,15521,2024-12-30 16:41:56
떡볶이,8700,2024-12-29 17:42:56
만두,14813,2024-12-30 00:44:56
김밥,15830,2024-12-30 12:19:56
김밥,9989,2024-12-30 16:09:56
떡볶이,27200,2024-12-30 17:05:56
만두,27147,2024-12-29 19:02:56
만두,15559,2024-12-30 11:08:56
떡볶이,9945,2024-12-30 04:36:56
만두,23880,2024-12-30 00:35:56
만두,14691,2024-12-30 11:53:56
김밥,2731,2024-12-30 10:07:56
떡볶이,27191,2024-12-30 02:44:56
만두,1749,2024-12-30 04:42:56
김밥,17302,2024-12-30 14:39:56
만두,21646,2024-12-30 04:11:56
떡볶이,7350,2024-12-30 16:40:56
떡볶이,7685,2024-12-30 06:28:56
김밥,12032,2024-12-30 07:41:56
떡볶이,16281,2024-12-29 18:28:56
김밥,13312,2024-12-30 00:38:56
김밥,26666,2024-12-29 23:32:56
떡볶이,28600,2024-12-29 21:07:56
김밥,19370,2024-12-30 07:11:56
김밥,2884,2024-12-30 05:21:56
떡볶이,9035,2024-12-30 12:18:56
김밥,10368,2024-12-30 11:30:56
만두,4811,2024-12-29 22:07:56
김밥,2283,2024-12-30 16:40:56
만두,11906,2024-12-29 22:27:56
김밥,23263,2024-12-30 00:44:56
떡볶이,14885,2024-12-30 11:29:56
떡볶이,26893,2024-12-29 22:42:56
만두,4233,2024-12-30 05:17:56
떡볶이,26636,2024-12-29 23:01:56
만두,12418,2024-12-30 01:29:56
김밥,8563,2024-12-30 05:31:56
떡볶이,7699,2024-12-30 09:02:56
떡볶이,5734,2024-12-30 09:42:56
김밥,1941,2024-12-30 15:59:56
떡볶이,29504,2024-12-30 06:19:56
만두,6002,2024-12-30 07:23:56
떡볶이,14746,2024-12-30 15:30:56
김밥,8285,2024-12-30 08:39:56
만두,11416,2024-12-30 10:51:56
떡볶이,6384,2024-12-30 11:46:56
만두,10639,2024-12-30 06:55:56
만두,20676,2024-12-30 12:56:56
만두,20049,2024-12-30 07:08:56
