menu,price,order_time
닭강정,11282,2024-12-30 13:59:56
닭강정,15381,2024-12-30 08:24:56
닭강정,15662,2024-12-30 17:07:56
떡볶이,29188,2024-12-30 15:02:56
닭강정,6454,2024-12-30 11:27:56
떡볶이,6834,2024-12-30 14:24:56
감자튀김,23614,2024-12-30 15:09:56
닭강정,6996,2024-12-29 21:35:56
떡볶이,2251,2024-12-30 02:08:56
닭강정,21257,2024-12-29 22:10:56
닭강정,28362,2024-12-30 10:53:56
감자튀김,18561,2024-12-30 01:17:56
닭강정,25015,2024-12-30 10:23:56
떡볶이,26070,2024-12-29 21:08:56
감자튀김,2240,2024-12-29 21:09:56
닭강정,3469,2024-12-30 01:23:56
떡볶이,10636,2024-12-29 22:09:56
닭강정,16985,2024-12-30 15:32:56
감자튀김,5886,2024-12-29 23:06:56
닭강정,1900,2024-12-29 20:39:56
감자튀김,9167,2024-12-30 08:48:56
닭강정,4248,2024-12-30 14:52:56
떡볶이,11021,2024-12-30 08:47:56
감자튀김,8483,2024-12-30 06:24:56
떡볶이,9768,2024-12-30 10:28:56
떡볶이,27204,2024-12-30 05:02:56
감자튀김,22639,2024-12-30 11:34:56
떡볶이,19846,2024-12-30 08:50:56
닭강정,20848,2024-12-30 05:50:56
떡볶이,9829,2024-12-29 21:17:56
감자튀김,29608,2024-12-29 23:05:56
닭강정,14019,2024-12-30 01:28:56
떡볶이,5159,2024-12-30 00:25:56
감자튀김,26772,2024-12-29 22:50:56
닭강정,27209,2024-12-29 17:24:56
떡볶이,13593,2024-12-29 19:21:56
닭강정,6336,2024-12-30 01:48:56
감자튀김,7598,2024-12-30 12:07:56
떡볶이,25959,2024-12-30 12:24:56
닭강정,17610,2024-12-30 02:21:56
떡볶이,4390,2024-12-30 01:34:56
닭강정,13539,2024-12-29 20:52:56
감자튀김,1456,2024-12-29 20:17:56
떡볶이,13112,2024-12-30 09:36:56
감자튀김,20520,2024-12-30 07:46:56
닭강정,3174,2024-12-30 16:14:56
감자튀김,10347,2024-12-30 01:25:56
닭강정,1409,2024-12-30 11:59:56
떡볶이,15094,2024-12-30 00:27:56
닭강정,8577,2024-12-30 15:44:56
떡볶이,24600,2024-12-30 12:14:56
감자튀김,8338,2024-12-29 17:49:56
닭강정,5901,2024-12-30 12:18:56
닭강정,11125,2024-12-29 23:50:56
감자튀김,26294,2024-12-30 13:58:56
닭강정,2517,2024-12-30 10:36:56
감자튀김,24924,2024-12-30 16:59:56
떡볶이,6284,2024-12-30 14:47:56
감자튀김,22680,2024-12-30 04:10:56
감자튀김,28084,2024-12-30 04:45:56
닭강정,7441,2024-12-29 23:44:56
떡볶이,11999,2024-12-29 20:01:56
감자튀김,3185,2024-12-30 09:25:56
감자튀김,9661,2024-12-29 23:21:56
감자튀김,21224,2024-12-29 18:02:56
떡볶이,26352,2024-12-30 06:45:56
닭강정,27323,2024-12-29 22:29:56
닭강정,24150,2024-12-30 11:05:56
닭강정,28150,2024-12-29 20:17:56
감자튀김,11473,2024-12-30 10:43:56
닭강정,16305,2024-12-30 04:57:56
닭강정,13451,2024-12-30 13:47:56
감자튀김,14597,2024-12-30 02:05:56
감자튀김,4182,2024-12-29 23:20:56
닭강정,4319,2024-12-30 08:37:56
감자튀김,9360,2024-12-30 11:19:56
떡볶이,28528,2024-12-30 07:37:56
감자튀김,14384,2024-12-30 03:38:56
닭강정,14593,2024-12-29 21:45:56
닭강정,22218,2024-12-30 02:10:56
감자튀김,24675,2024-12-30 16:28:56
감자튀김,6890,2024-12-30 01:14:56
감자튀김,21883,2024-12-30 05:00:56
떡볶이,9308,2024-12-30 00:42:56
떡볶이,28713,2024-12-30 12:03:56
감자튀김,20370,2024-12-30 11:37:56
감자튀김,24809,2024-12-30 07:45:56
떡볶이,28020,2024-12-30 07:36:56
감자튀김,27104,2024-12-30 16:24:56
떡볶이,28825,2024-12-30 05:17:56
닭강정,1733,2024-12-29 23:34:56
감자튀김,27455,2024-12-30 00:20:56
닭강정,22948,2024-12-30 11:28:56
감자튀김,25074,2024-12-30 07:07:56
닭강정,9196,2024-12-30 15:14:56
닭강정,3467,2024-12-30 09:47:56
감자튀김,6728,2024-12-30 16:25:56
닭강정,12031,2024-12-30 02:15:56
감자튀김,13837,2024-12-29 19:07:56
감자튀김,8015,2024-12-30 14:10:56
