menu,price,order_time
케이크,16658,2024-12-30 12:41:56
카푸치노,7593,2024-12-30 02:06:56
아메리카노,5692,2024-12-30 08:20:56
카푸치노,6630,2024-12-30 05:31:56
케이크,6974,2024-12-30 03:15:56
케이크,23629,2024-12-29 22:07:56
아메리카노,28195,2024-12-30 04:24:56
케이크,15547,2024-12-29 23:03:56
아메리카노,1533,2024-12-29 17:42:56
카푸치노,26389,2024-12-30 12:56:56
카푸치노,8652,2024-12-30 02:14:56
케이크,26108,2024-12-30 00:09:56
아메리카노,14376,2024-12-30 03:08:56
케이크,23583,2024-12-30 09:20:56
아메리카노,11468,2024-12-30 11:54:56
케이크,5377,2024-12-30 08:59:56
케이크,13875,2024-12-30 12:54:56
카푸치노,28929,2024-12-30 12:44:56
케이크,28412,2024-12-30 02:58:56
케이크,6956,2024-12-29 23:28:56
아메리카노,4090,2024-12-29 19:34:56
케이크,5994,2024-12-29 23:43:56
카푸치노,29698,2024-12-30 15:47:56
아메리카노,23333,2024-12-30 09:42:56
아메리카노,27853,2024-12-30 06:45:56
카푸치노,18999,2024-12-30 12:18:56
아메리카노,21656,2024-12-30 10:00:56
케이크,25833,2024-12-29 19:22:56
카푸치노,4480,2024-12-30 00:24:56
카푸치노,17324,2024-12-30 07:41:56
카푸치노,21022,2024-12-29 21:41:56
카푸치노,18784,2024-12-30 00:30:56
아메리카노,10989,2024-12-30 12:17:56
카푸치노,21641,2024-12-30 03:56:56
케이크,7475,2024-12-30 01:01:56
케이크,28913,2024-12-30 08:26:56
케이크,21243,2024-12-30 13:24:56
아메리카노,23749,2024-12-30 02:46:56
아메리카노,8423,2024-12-29 18:54:56
아메리카노,6635,2024-12-29 18:47:56
케이크,18977,2024-12-30 04:48:56
케이크,21029,2024-12-30 15:36:56
카푸치노,1624,2024-12-30 01:00:56
카푸치노,14298,2024-12-29 18:51:56
케이크,15136,2024-12-30 04:28:56
케이크,19388,2024-12-30 11:03:56
카푸치노,1303,2024-12-29 21:00:56
아메리카노,16170,2024-12-30 02:45:56
케이크,9614,2024-12-30 07:00:56
카푸치노,16461,2024-12-30 11:53:56
아메리카노,12381,2024-12-30 05:42:56
카푸치노,6031,2024-12-29 22:21:56
카푸치노,18453,2024-12-29 21:36:56
케이크,18943,2024-12-29 21:11:56
케이크,21994,2024-12-30 15:54:56
아메리카노,14634,2024-12-30 11:06:56
케이크,4402,2024-12-29 18:22:56
아메리카노,29966,2024-12-30 08:58:56
아메리카노,18573,2024-12-30 13:56:56
케이크,29014,2024-12-30 11:23:56
케이크,16615,2024-12-29 22:58:56
케이크,2191,2024-12-30 13:40:56
아메리카노,20563,2024-12-30 15:31:56
카푸치노,13430,2024-12-30 01:12:56
아메리카노,15433,2024-12-29 23:45:56
케이크,2262,2024-12-30 08:53:56
아메리카노,16859,2024-12-30 04:06:56
케이크,21077,2024-12-30 00:15:56
카푸치노,20554,2024-12-30 14:07:56
카푸치노,22993,2024-12-29 20:54:56
카푸치노,23711,2024-12-29 22:23:56
아메리카노,13918,2024-12-30 14:29:56
케이크,28983,2024-12-29 19:17:56
카푸치노,15800,2024-12-30 06:54:56
아메리카노,4732,2024-12-30 16:10:56
케이크,13521,2024-12-30 12:51:56
케이크,22733,2024-12-30 10:58:56
케이크,1794,2024-12-30 06:36:56
케이크,7215,2024-12-29 21:07:56
카푸치노,8763,2024-12-30 04:56:56
케이크,13641,2024-12-30 13:02:56
카푸치노,26619,2024-12-30 11:05:56
케이크,16526,2024-12-30 07:28:56
카푸치노,29500,2024-12-30 12:10:56
카푸치노,22572,2024-12-29 18:43:56
아메리카노,28672,2024-12-30 08:06:56
카푸치노,3551,2024-12-30 11:09:56
카푸치노,19839,2024-12-30 07:00:56
케이크,8348,2024-12-30 14:52:56
카푸치노,24405,2024-12-29 23:29:56
카푸치노,13728,2024-12-30 07:49:56
케이크,15826,2024-12-30 07:31:56
카푸치노,8588,2024-12-30 16:42:56
카푸치노,18409,2024-12-29 23:37:56
아메리카노,7311,2024-12-30 00:31:56
카푸치노,24092,2024-12-30 16:59:56
카푸치노,6301,2024-12-30 16:36:56
카푸치노,12105,2024-12-29 20:11:56
케이크,22028,2024-12-30 01:55:56
카푸치노,4978,2024-12-30 16:27:56
