menu,price,order_time
참치회,6273,2024-12-29 22:55:56
광어회,20549,2024-12-30 14:16:56
참치회,10554,2024-12-30 08:28:56
참치회,10550,2024-12-30 10:10:56
참치회,26081,2024-12-29 22:53:56
참치회,28489,2024-12-30 15:48:56
연어초밥,16671,2024-12-30 06:32:56
연어초밥,24274,2024-12-30 13:48:56
광어회,8410,2024-12-30 02:58:56
광어회,6203,2024-12-30 10:07:56
광어회,4360,2024-12-29 19:04:56
참치회,2104,2024-12-30 03:37:56
광어회,10769,2024-12-30 08:08:56
연어초밥,8161,2024-12-30 15:47:56
참치회,29638,2024-12-30 05:03:56
광어회,5275,2024-12-29 21:01:56
참치회,6524,2024-12-30 13:16:56
참치회,21461,2024-12-29 21:56:56
광어회,2611,2024-12-29 22:10:56
참치회,15175,2024-12-30 10:23:56
광어회,4549,2024-12-30 00:24:56
참치회,12908,2024-12-30 06:57:56
광어회,15427,2024-12-29 21:45:56
연어초밥,21156,2024-12-30 09:53:56
참치회,3450,2024-12-30 16:42:56
참치회,10333,2024-12-30 04:38:56
참치회,11979,2024-12-29 21:31:56
연어초밥,13938,2024-12-30 09:26:56
참치회,24306,2024-12-30 15:11:56
광어회,20192,2024-12-30 13:19:56
연어초밥,19330,2024-12-29 20:42:56
참치회,11681,2024-12-29 20:27:56
참치회,24284,2024-12-30 08:01:56
광어회,28216,2024-12-30 16:34:56
광어회,10672,2024-12-30 12:08:56
광어회,29294,2024-12-29 17:36:56
광어회,13103,2024-12-29 23:04:56
참치회,22712,2024-12-29 18:36:56
연어초밥,3275,2024-12-30 03:15:56
연어초밥,8407,2024-12-30 04:02:56
광어회,23265,2024-12-30 14:54:56
참치회,20049,2024-12-30 14:01:56
참치회,23200,2024-12-30 03:06:56
연어초밥,17950,2024-12-30 15:10:56
연어초밥,18652,2024-12-29 18:30:56
참치회,12383,2024-12-30 05:00:56
참치회,26329,2024-12-30 01:31:56
광어회,22873,2024-12-30 07:54:56
참치회,15641,2024-12-29 19:48:56
연어초밥,12993,2024-12-30 04:02:56
연어초밥,27686,2024-12-30 04:29:56
광어회,24622,2024-12-30 12:26:56
참치회,17515,2024-12-30 03:35:56
광어회,6194,2024-12-29 23:37:56
참치회,23153,2024-12-30 13:31:56
연어초밥,18330,2024-12-30 01:02:56
연어초밥,26288,2024-12-30 05:20:56
연어초밥,4241,2024-12-29 22:06:56
광어회,18050,2024-12-30 09:18:56
광어회,1768,2024-12-30 13:21:56
광어회,3292,2024-12-29 18:28:56
참치회,27826,2024-12-30 00:04:56
광어회,12398,2024-12-30 13:50:56
광어회,19827,2024-12-30 14:49:56
참치회,14234,2024-12-30 01:45:56
참치회,2748,2024-12-30 13:45:56
참치회,17517,2024-12-29 23:14:56
연어초밥,13876,2024-12-30 07:44:56
참치회,21599,2024-12-30 10:53:56
광어회,25928,2024-12-30 02:05:56
참치회,6044,2024-12-30 06:04:56
연어초밥,1631,2024-12-30 11:35:56
연어초밥,23766,2024-12-30 13:26:56
참치회,10940,2024-12-30 11:29:56
참치회,25316,2024-12-30 12:43:56
연어초밥,29838,2024-12-30 12:31:56
연어초밥,10180,2024-12-30 12:48:56
광어회,26507,2024-12-29 21:06:56
광어회,18828,2024-12-30 02:25:56
연어초밥,14138,2024-12-30 16:20:56
광어회,25742,2024-12-30 17:18:56
연어초밥,10437,2024-12-29 22:24:56
연어초밥,16551,2024-12-29 19:20:56
연어초밥,18201,2024-12-29 19:38:56
광어회,22308,2024-12-30 12:48:56
참치회,15899,2024-12-30 12:31:56
참치회,14412,2024-12-29 22:26:56
참치회,10574,2024-12-30 01:47:56
광어회,3312,2024-12-30 10:33:56
광어회,23124,2024-12-30 13:06:56
광어회,26803,2024-12-30 07:03:56
참치회,7628,2024-12-29 18:43:56
참치회,15449,2024-12-30 12:32:56
참치회,21495,2024-12-29 18:27:56
광어회,8184,2024-12-30 14:52:56
참치회,7845,2024-12-29 21:51:56
참치회,16578,2024-12-30 04:15:56
참치회,8101,2024-12-29 23:58:56
참치회,24978,2024-12-29 17:51:56
참치회,9630,2024-12-30 06:54:56
