menu,price,order_time
감자튀김,17546,2024-12-30 10:49:56
떡볶이,15652,2024-12-30 13:03:56
떡볶이,3976,2024-12-29 19:56:56
감자튀김,13491,2024-12-30 13:48:56
감자튀김,1510,2024-12-30 03:23:56
감자튀김,4456,2024-12-30 06:39:56
감자튀김,27341,2024-12-30 04:03:56
떡볶이,5905,2024-12-30 11:15:56
감자튀김,29138,2024-12-29 23:32:56
떡볶이,16208,2024-12-30 12:34:56
떡볶이,3630,2024-12-30 09:42:56
닭강정,19731,2024-12-30 04:04:56
감자튀김,7040,2024-12-30 05:06:56
닭강정,29980,2024-12-30 16:08:56
닭강정,4328,2024-12-30 13:30:56
감자튀김,19418,2024-12-30 02:39:56
감자튀김,13125,2024-12-29 21:34:56
닭강정,27673,2024-12-29 22:05:56
떡볶이,25446,2024-12-30 12:22:56
닭강정,10286,2024-12-30 11:01:56
감자튀김,4526,2024-12-30 16:30:56
닭강정,13398,2024-12-30 07:57:56
감자튀김,27149,2024-12-30 02:31:56
떡볶이,2016,2024-12-30 06:35:56
감자튀김,3759,2024-12-30 03:48:56
떡볶이,23252,2024-12-30 09:16:56
닭강정,21986,2024-12-30 13:16:56
감자튀김,10325,2024-12-30 16:27:56
떡볶이,4878,2024-12-30 04:30:56
감자튀김,8346,2024-12-29 23:26:56
떡볶이,8399,2024-12-30 15:28:56
닭강정,28338,2024-12-30 04:32:56
감자튀김,16267,2024-12-30 06:06:56
떡볶이,7606,2024-12-30 14:18:56
떡볶이,22594,2024-12-30 11:06:56
감자튀김,15142,2024-12-30 02:04:56
떡볶이,28049,2024-12-29 18:29:56
감자튀김,13332,2024-12-30 12:43:56
감자튀김,6563,2024-12-30 12:04:56
닭강정,19259,2024-12-29 23:52:56
떡볶이,24900,2024-12-30 17:20:56
떡볶이,7323,2024-12-30 14:14:56
닭강정,1130,2024-12-30 10:24:56
감자튀김,8137,2024-12-30 01:34:56
떡볶이,9090,2024-12-29 22:04:56
닭강정,9535,2024-12-30 02:17:56
감자튀김,6841,2024-12-29 22:45:56
감자튀김,6445,2024-12-30 13:58:56
닭강정,17319,2024-12-30 04:28:56
감자튀김,19383,2024-12-30 00:26:56
닭강정,26561,2024-12-30 16:10:56
떡볶이,21351,2024-12-29 19:02:56
떡볶이,2092,2024-12-30 06:19:56
떡볶이,28223,2024-12-30 11:39:56
닭강정,15726,2024-12-30 11:34:56
감자튀김,7258,2024-12-29 19:02:56
감자튀김,19142,2024-12-29 18:41:56
감자튀김,16154,2024-12-30 16:46:56
떡볶이,10424,2024-12-30 04:46:56
떡볶이,1031,2024-12-30 11:39:56
닭강정,1409,2024-12-30 04:12:56
닭강정,21152,2024-12-30 11:08:56
감자튀김,14549,2024-12-30 00:23:56
감자튀김,16187,2024-12-30 07:01:56
닭강정,17209,2024-12-30 03:35:56
떡볶이,22786,2024-12-30 02:23:56
떡볶이,27334,2024-12-30 08:07:56
닭강정,10406,2024-12-30 05:53:56
떡볶이,9732,2024-12-30 15:53:56
닭강정,24293,2024-12-29 22:42:56
닭강정,1817,2024-12-30 02:24:56
떡볶이,15077,2024-12-30 00:32:56
떡볶이,22583,2024-12-29 23:12:56
감자튀김,12509,2024-12-30 08:38:56
떡볶이,27831,2024-12-30 05:40:56
감자튀김,9002,2024-12-29 19:21:56
닭강정,5065,2024-12-30 14:23:56
닭강정,22925,2024-12-30 04:29:56
닭강정,1109,2024-12-29 21:28:56
떡볶이,5320,2024-12-30 07:20:56
감자튀김,5670,2024-12-30 00:49:56
감자튀김,29564,2024-12-30 16:41:56
닭강정,13075,2024-12-30 16:40:56
떡볶이,23286,2024-12-30 08:47:56
닭강정,29815,2024-12-29 22:53:56
닭강정,18320,2024-12-30 08:22:56
감자튀김,13577,2024-12-30 12:14:56
감자튀김,9436,2024-12-29 22:52:56
떡볶이,10533,2024-12-30 14:33:56
감자튀김,28637,2024-12-30 13:09:56
떡볶이,6189,2024-12-30 12:17:56
닭강정,13532,2024-12-30 12:57:56
감자튀김,11653,2024-12-30 11:52:56
떡볶이,21580,2024-12-30 01:30:56
떡볶이,11760,2024-12-30 13:01:56
닭강정,3146,2024-12-29 23:13:56
떡볶이,10465,2024-12-30 03:31:56
떡볶이,2333,2024-12-29 19:24:56
떡볶이,22597,2024-12-29 18:58:56
닭강정,16032,2024-12-30 09:18:56
