menu,price,order_time
도넛,14746,2024-12-30 05:49:57
머핀,1456,2024-12-29 23:18:57
도넛,20054,2024-12-30 05:23:57
크루아상,12696,2024-12-30 04:15:57
도넛,19488,2024-12-30 01:16:57
크루아상,16482,2024-12-30 05:14:57
도넛,10107,2024-12-29 23:27:57
도넛,18509,2024-12-30 00:36:57
머핀,26529,2024-12-29 18:42:57
머핀,17941,2024-12-30 10:31:57
크루아상,23152,2024-12-29 19:12:57
크루아상,14343,2024-12-29 23:06:57
머핀,1223,2024-12-30 02:08:57
도넛,7841,2024-12-30 02:34:57
머핀,27964,2024-12-30 00:39:57
머핀,29602,2024-12-29 18:21:57
도넛,15164,2024-12-30 02:27:57
머핀,8683,2024-12-30 07:24:57
머핀,19265,2024-12-30 01:09:57
크루아상,5614,2024-12-30 00:19:57
머핀,22635,2024-12-30 07:00:57
도넛,6155,2024-12-29 22:43:57
크루아상,7961,2024-12-30 03:44:57
크루아상,17039,2024-12-30 07:34:57
머핀,9629,2024-12-29 22:01:57
크루아상,24500,2024-12-29 20:13:57
도넛,8757,2024-12-29 22:38:57
머핀,8877,2024-12-29 22:42:57
머핀,17530,2024-12-29 23:33:57
도넛,28356,2024-12-30 04:23:57
도넛,17235,2024-12-30 09:48:57
도넛,18921,2024-12-30 13:43:57
도넛,7943,2024-12-29 18:30:57
도넛,12471,2024-12-30 04:53:57
머핀,14831,2024-12-29 17:56:57
크루아상,17924,2024-12-30 06:32:57
도넛,3247,2024-12-30 04:13:57
도넛,23144,2024-12-29 20:20:57
도넛,21498,2024-12-29 21:41:57
크루아상,27788,2024-12-30 17:02:57
도넛,14956,2024-12-30 02:20:57
크루아상,24079,2024-12-30 04:13:57
머핀,2959,2024-12-29 22:38:57
머핀,27220,2024-12-30 05:16:57
도넛,22433,2024-12-29 19:38:57
도넛,29904,2024-12-30 06:25:57
도넛,5477,2024-12-30 08:04:57
도넛,7619,2024-12-29 18:43:57
머핀,22602,2024-12-30 04:41:57
크루아상,10375,2024-12-30 06:10:57
머핀,15122,2024-12-30 03:46:57
머핀,24302,2024-12-29 20:44:57
크루아상,7900,2024-12-30 04:19:57
크루아상,29690,2024-12-29 20:05:57
머핀,12589,2024-12-30 04:48:57
머핀,28672,2024-12-30 07:58:57
도넛,9399,2024-12-30 13:01:57
도넛,10741,2024-12-30 13:50:57
크루아상,10820,2024-12-30 10:08:57
도넛,23582,2024-12-30 08:27:57
크루아상,16005,2024-12-30 15:33:57
도넛,17146,2024-12-30 01:55:57
도넛,6635,2024-12-30 10:44:57
머핀,19786,2024-12-30 09:28:57
머핀,20691,2024-12-30 08:43:57
머핀,22711,2024-12-30 00:40:57
크루아상,16347,2024-12-30 05:45:57
머핀,16011,2024-12-30 15:56:57
머핀,13640,2024-12-30 05:17:57
크루아상,3428,2024-12-30 07:13:57
도넛,11527,2024-12-29 22:54:57
크루아상,3099,2024-12-30 01:36:57
도넛,23980,2024-12-29 23:10:57
머핀,7904,2024-12-29 22:16:57
머핀,29460,2024-12-30 06:28:57
크루아상,1841,2024-12-30 05:29:57
머핀,23306,2024-12-30 12:19:57
크루아상,27607,2024-12-30 00:43:57
크루아상,8174,2024-12-29 21:09:57
크루아상,11206,2024-12-30 10:33:57
크루아상,26606,2024-12-30 12:23:57
도넛,7563,2024-12-30 02:14:57
크루아상,1795,2024-12-29 19:43:57
도넛,21815,2024-12-30 03:07:57
머핀,15994,2024-12-30 16:02:57
크루아상,21020,2024-12-29 20:28:57
도넛,7146,2024-12-29 22:17:57
도넛,1139,2024-12-29 21:52:57
머핀,3927,2024-12-30 06:01:57
머핀,21703,2024-12-30 06:37:57
크루아상,7045,2024-12-29 18:47:57
크루아상,19841,2024-12-29 17:50:57
크루아상,16625,2024-12-30 10:14:57
머핀,15158,2024-12-30 01:20:57
머핀,28418,2024-12-30 15:32:57
머핀,16544,2024-12-30 02:16:57
머핀,26339,2024-12-30 12:53:57
머핀,12815,2024-12-30 05:26:57
머핀,10105,2024-12-30 11:23:57
머핀,29293,2024-12-29 22:17:57
