menu,price,order_time
카푸치노,26550,2024-12-30 02:52:56
아메리카노,24181,2024-12-29 21:01:56
케이크,24100,2024-12-30 03:29:56
아메리카노,17103,2024-12-30 14:08:56
카푸치노,3939,2024-12-30 11:57:56
아메리카노,4246,2024-12-30 03:07:56
카푸치노,21127,2024-12-30 06:37:56
카푸치노,4768,2024-12-30 02:52:56
아메리카노,10802,2024-12-30 13:02:56
아메리카노,5172,2024-12-30 06:08:56
케이크,24470,2024-12-30 14:33:56
아메리카노,9204,2024-12-30 16:52:56
아메리카노,20744,2024-12-30 13:37:56
케이크,29378,2024-12-30 12:49:56
아메리카노,16144,2024-12-30 07:32:56
아메리카노,4919,2024-12-29 19:11:56
케이크,20032,2024-12-30 00:13:56
아메리카노,15028,2024-12-30 09:15:56
카푸치노,19317,2024-12-30 01:58:56
카푸치노,13055,2024-12-29 21:45:56
케이크,23385,2024-12-29 19:56:56
케이크,1952,2024-12-30 04:37:56
아메리카노,4636,2024-12-29 20:20:56
카푸치노,19416,2024-12-29 22:50:56
아메리카노,26832,2024-12-30 00:30:56
아메리카노,26839,2024-12-29 22:37:56
카푸치노,8711,2024-12-30 05:13:56
카푸치노,7390,2024-12-30 00:36:56
아메리카노,10753,2024-12-29 18:36:56
아메리카노,14976,2024-12-29 18:28:56
카푸치노,7615,2024-12-30 16:19:56
아메리카노,13366,2024-12-30 06:18:56
카푸치노,14436,2024-12-30 03:41:56
카푸치노,23105,2024-12-30 14:17:56
카푸치노,11261,2024-12-29 22:09:56
카푸치노,17021,2024-12-30 05:40:56
카푸치노,18999,2024-12-30 02:21:56
아메리카노,11866,2024-12-30 15:29:56
케이크,21307,2024-12-30 06:19:56
아메리카노,2578,2024-12-30 14:20:56
카푸치노,27179,2024-12-29 22:24:56
아메리카노,10604,2024-12-30 01:15:56
카푸치노,12136,2024-12-30 05:52:56
카푸치노,5823,2024-12-30 13:51:56
카푸치노,12175,2024-12-30 14:02:56
카푸치노,4953,2024-12-30 05:14:56
케이크,18645,2024-12-30 05:25:56
아메리카노,24433,2024-12-30 07:11:56
케이크,7396,2024-12-30 15:52:56
아메리카노,29140,2024-12-30 05:54:56
카푸치노,8495,2024-12-30 02:28:56
아메리카노,23463,2024-12-30 10:42:56
케이크,24125,2024-12-30 00:34:56
카푸치노,14512,2024-12-30 11:24:56
카푸치노,26901,2024-12-29 21:30:56
케이크,11632,2024-12-30 08:15:56
아메리카노,13943,2024-12-30 16:34:56
케이크,10896,2024-12-30 07:00:56
아메리카노,24814,2024-12-30 15:20:56
케이크,19340,2024-12-30 02:12:56
카푸치노,9990,2024-12-30 11:27:56
카푸치노,11113,2024-12-30 15:08:56
카푸치노,18403,2024-12-30 04:32:56
케이크,18800,2024-12-30 11:29:56
케이크,5933,2024-12-30 05:22:56
아메리카노,12676,2024-12-30 05:40:56
카푸치노,1250,2024-12-29 18:23:56
카푸치노,21848,2024-12-30 12:03:56
카푸치노,10849,2024-12-30 01:26:56
카푸치노,11302,2024-12-30 06:19:56
케이크,23226,2024-12-29 22:34:56
아메리카노,21321,2024-12-30 09:38:56
케이크,11938,2024-12-30 05:13:56
케이크,11762,2024-12-29 17:55:56
케이크,5314,2024-12-29 20:18:56
카푸치노,22513,2024-12-30 12:45:56
아메리카노,13655,2024-12-30 07:18:56
아메리카노,3072,2024-12-29 17:38:56
아메리카노,20569,2024-12-30 09:30:56
아메리카노,16696,2024-12-29 22:59:56
케이크,12385,2024-12-29 20:59:56
아메리카노,2950,2024-12-30 16:17:56
카푸치노,3693,2024-12-30 10:34:56
카푸치노,26544,2024-12-30 11:14:56
카푸치노,14942,2024-12-29 23:44:56
케이크,29533,2024-12-30 12:23:56
카푸치노,14193,2024-12-30 16:14:56
아메리카노,29693,2024-12-30 12:40:56
카푸치노,23993,2024-12-30 08:34:56
케이크,20123,2024-12-30 02:00:56
아메리카노,13799,2024-12-30 06:36:56
케이크,16617,2024-12-30 12:45:56
카푸치노,7539,2024-12-30 14:15:56
아메리카노,14579,2024-12-30 11:11:56
아메리카노,6108,2024-12-29 23:58:56
아메리카노,11853,2024-12-30 03:28:56
아메리카노,2976,2024-12-30 09:36:56
아메리카노,25828,2024-12-30 15:28:56
케이크,29194,2024-12-30 11:32:56
아메리카노,27981,2024-12-30 09:03:56
