menu,price,order_time
닭강정,23946,2024-12-30 17:09:56
닭강정,21920,2024-12-30 04:41:56
떡볶이,16085,2024-12-30 00:46:56
떡볶이,10443,2024-12-30 08:47:56
떡볶이,2766,2024-12-30 01:49:56
감자튀김,27333,2024-12-29 20:56:56
떡볶이,28889,2024-12-30 17:19:56
떡볶이,5202,2024-12-30 11:09:56
감자튀김,4391,2024-12-30 07:04:56
떡볶이,1263,2024-12-29 19:58:56
떡볶이,22452,2024-12-30 03:50:56
감자튀김,10753,2024-12-29 18:30:56
감자튀김,8305,2024-12-30 10:29:56
감자튀김,3575,2024-12-30 16:53:56
떡볶이,29601,2024-12-30 01:32:56
감자튀김,27681,2024-12-30 10:40:56
떡볶이,7391,2024-12-30 16:58:56
떡볶이,15192,2024-12-30 13:03:56
닭강정,17191,2024-12-30 11:47:56
감자튀김,3627,2024-12-30 17:19:56
떡볶이,18849,2024-12-29 22:09:56
닭강정,20574,2024-12-30 05:42:56
떡볶이,22353,2024-12-30 12:27:56
떡볶이,22517,2024-12-30 01:32:56
감자튀김,27606,2024-12-29 18:22:56
감자튀김,16950,2024-12-30 16:06:56
닭강정,13730,2024-12-30 13:17:56
닭강정,20700,2024-12-29 19:18:56
떡볶이,27338,2024-12-30 07:37:56
떡볶이,12738,2024-12-30 03:35:56
떡볶이,28859,2024-12-30 14:53:56
감자튀김,9632,2024-12-29 23:25:56
감자튀김,8418,2024-12-30 04:39:56
감자튀김,29148,2024-12-29 22:24:56
떡볶이,12391,2024-12-29 17:48:56
감자튀김,21494,2024-12-29 21:11:56
감자튀김,14378,2024-12-30 15:05:56
닭강정,9377,2024-12-30 16:18:56
떡볶이,27319,2024-12-30 15:00:56
떡볶이,24830,2024-12-30 09:24:56
감자튀김,4869,2024-12-30 01:10:56
닭강정,13942,2024-12-30 00:17:56
감자튀김,23478,2024-12-29 22:10:56
닭강정,28466,2024-12-29 18:50:56
닭강정,8123,2024-12-29 19:11:56
떡볶이,28206,2024-12-30 01:19:56
떡볶이,19523,2024-12-30 02:45:56
감자튀김,26670,2024-12-30 12:34:56
감자튀김,27441,2024-12-30 14:49:56
감자튀김,6250,2024-12-30 07:43:56
닭강정,4242,2024-12-30 07:51:56
감자튀김,25400,2024-12-30 06:21:56
닭강정,13524,2024-12-30 00:01:56
닭강정,21776,2024-12-29 21:34:56
닭강정,6751,2024-12-29 23:59:56
떡볶이,17536,2024-12-29 19:05:56
감자튀김,25767,2024-12-30 17:19:56
닭강정,29938,2024-12-30 02:09:56
닭강정,22242,2024-12-30 10:14:56
감자튀김,28376,2024-12-30 05:55:56
닭강정,27467,2024-12-30 10:21:56
떡볶이,26308,2024-12-30 09:49:56
닭강정,7867,2024-12-30 01:42:56
닭강정,18530,2024-12-30 09:47:56
닭강정,14503,2024-12-30 03:48:56
떡볶이,3393,2024-12-30 02:31:56
닭강정,17631,2024-12-29 19:59:56
떡볶이,12450,2024-12-29 19:58:56
닭강정,13688,2024-12-30 01:06:56
닭강정,15198,2024-12-29 22:41:56
닭강정,1909,2024-12-30 06:32:56
닭강정,2135,2024-12-29 20:22:56
떡볶이,10023,2024-12-30 11:32:56
닭강정,22551,2024-12-30 04:29:56
닭강정,11681,2024-12-30 04:35:56
닭강정,27648,2024-12-30 00:56:56
떡볶이,8069,2024-12-30 05:19:56
닭강정,29061,2024-12-30 07:31:56
떡볶이,5449,2024-12-30 16:52:56
감자튀김,21743,2024-12-29 18:00:56
닭강정,5393,2024-12-29 21:28:56
떡볶이,15122,2024-12-30 04:02:56
닭강정,11648,2024-12-30 00:39:56
닭강정,4685,2024-12-30 05:03:56
닭강정,12988,2024-12-30 04:45:56
떡볶이,26505,2024-12-30 09:33:56
감자튀김,4838,2024-12-30 07:25:56
감자튀김,24321,2024-12-30 16:26:56
감자튀김,22729,2024-12-29 22:04:56
감자튀김,15531,2024-12-30 05:41:56
감자튀김,29652,2024-12-30 09:22:56
감자튀김,22846,2024-12-30 08:40:56
닭강정,27910,2024-12-29 20:23:56
닭강정,28132,2024-12-30 09:12:56
떡볶이,1004,2024-12-30 15:41:56
닭강정,7663,2024-12-29 20:52:56
감자튀김,25784,2024-12-30 12:34:56
떡볶이,5277,2024-12-29 22:17:56
떡볶이,28613,2024-12-30 16:13:56
떡볶이,23551,2024-12-30 01:45:56
