menu,price,order_time
닭강정,5601,2024-12-29 20:15:56
닭강정,8734,2024-12-30 10:14:56
감자튀김,17416,2024-12-29 23:01:56
닭강정,3110,2024-12-30 00:59:56
감자튀김,5047,2024-12-30 11:38:56
감자튀김,7486,2024-12-29 21:07:56
닭강정,17702,2024-12-30 17:08:56
감자튀김,6401,2024-12-30 12:04:56
닭강정,1667,2024-12-29 18:42:56
감자튀김,28923,2024-12-30 11:47:56
떡볶이,6751,2024-12-30 02:34:56
떡볶이,23281,2024-12-30 12:30:56
감자튀김,21561,2024-12-30 08:55:56
닭강정,5240,2024-12-30 00:02:56
닭강정,22551,2024-12-29 22:27:56
감자튀김,21021,2024-12-30 10:09:56
닭강정,21495,2024-12-30 15:33:56
닭강정,13329,2024-12-30 15:05:56
감자튀김,10871,2024-12-30 02:22:56
감자튀김,2138,2024-12-30 10:41:56
떡볶이,18522,2024-12-30 03:29:56
떡볶이,22059,2024-12-29 23:43:56
감자튀김,4023,2024-12-30 11:31:56
떡볶이,25755,2024-12-30 04:39:56
닭강정,13483,2024-12-30 07:51:56
떡볶이,2523,2024-12-30 12:23:56
감자튀김,23878,2024-12-30 07:25:56
떡볶이,14649,2024-12-30 03:31:56
떡볶이,11769,2024-12-29 21:19:56
떡볶이,25381,2024-12-30 00:41:56
떡볶이,20646,2024-12-29 22:12:56
떡볶이,19967,2024-12-30 12:47:56
감자튀김,24211,2024-12-30 02:13:56
떡볶이,9020,2024-12-30 08:06:56
닭강정,24111,2024-12-30 01:25:56
떡볶이,26427,2024-12-30 16:09:56
감자튀김,26447,2024-12-29 22:21:56
닭강정,20866,2024-12-30 05:49:56
감자튀김,10720,2024-12-30 02:51:56
닭강정,13806,2024-12-30 17:02:56
감자튀김,22232,2024-12-30 15:30:56
떡볶이,13967,2024-12-29 22:43:56
감자튀김,29654,2024-12-30 00:44:56
떡볶이,10577,2024-12-29 21:47:56
떡볶이,7457,2024-12-30 07:05:56
감자튀김,1076,2024-12-30 06:32:56
감자튀김,14724,2024-12-29 23:21:56
닭강정,22154,2024-12-29 18:10:56
감자튀김,25759,2024-12-30 12:39:56
떡볶이,12861,2024-12-30 01:13:56
닭강정,3019,2024-12-30 05:18:56
닭강정,11462,2024-12-30 02:04:56
떡볶이,23629,2024-12-29 22:51:56
닭강정,12798,2024-12-30 06:32:56
감자튀김,16887,2024-12-30 02:59:56
떡볶이,21349,2024-12-30 04:34:56
떡볶이,28521,2024-12-30 01:10:56
감자튀김,22191,2024-12-30 09:13:56
떡볶이,11917,2024-12-30 09:38:56
닭강정,24427,2024-12-30 11:42:56
떡볶이,23175,2024-12-29 23:53:56
닭강정,27431,2024-12-30 02:48:56
닭강정,6837,2024-12-30 03:24:56
감자튀김,6053,2024-12-30 00:29:56
떡볶이,14231,2024-12-29 19:37:56
닭강정,16126,2024-12-29 19:49:56
감자튀김,6314,2024-12-30 11:41:56
닭강정,25633,2024-12-30 17:02:56
떡볶이,2778,2024-12-30 09:27:56
닭강정,16499,2024-12-29 20:37:56
닭강정,26450,2024-12-30 01:48:56
떡볶이,3503,2024-12-30 14:17:56
닭강정,27044,2024-12-29 22:04:56
떡볶이,13571,2024-12-29 20:15:56
닭강정,1542,2024-12-30 02:51:56
닭강정,16825,2024-12-30 15:01:56
감자튀김,17280,2024-12-29 21:49:56
떡볶이,4991,2024-12-30 01:59:56
떡볶이,16671,2024-12-29 23:23:56
닭강정,12772,2024-12-29 19:53:56
닭강정,23068,2024-12-29 22:09:56
감자튀김,21474,2024-12-30 06:25:56
감자튀김,16431,2024-12-30 00:56:56
닭강정,2148,2024-12-30 04:53:56
감자튀김,10421,2024-12-30 17:03:56
감자튀김,26785,2024-12-30 02:58:56
닭강정,2950,2024-12-30 01:37:56
떡볶이,15949,2024-12-30 06:21:56
닭강정,14999,2024-12-30 03:03:56
닭강정,6122,2024-12-30 12:19:56
떡볶이,19411,2024-12-30 08:58:56
떡볶이,25282,2024-12-30 02:40:56
닭강정,24715,2024-12-30 07:25:56
떡볶이,13877,2024-12-30 11:52:56
떡볶이,7149,2024-12-29 19:43:56
닭강정,23504,2024-12-29 19:53:56
감자튀김,13886,2024-12-30 12:17:56
감자튀김,2966,2024-12-30 01:23:56
감자튀김,21927,2024-12-29 18:25:56
닭강정,11928,2024-12-30 15:47:56
