menu,price,order_time
도넛,24402,2024-12-30 08:44:56
머핀,7398,2024-12-30 07:24:56
도넛,23132,2024-12-29 23:22:56
크루아상,11417,2024-12-30 10:47:56
도넛,21883,2024-12-30 05:58:56
머핀,19960,2024-12-30 07:47:56
머핀,18868,2024-12-30 16:17:56
머핀,20063,2024-12-29 17:37:56
도넛,8499,2024-12-30 07:31:56
머핀,10550,2024-12-30 05:07:56
크루아상,20917,2024-12-29 21:04:56
크루아상,6888,2024-12-30 16:42:56
머핀,29929,2024-12-30 08:59:56
크루아상,20867,2024-12-30 10:45:56
크루아상,4302,2024-12-29 21:37:56
머핀,5497,2024-12-30 13:33:56
크루아상,5010,2024-12-30 14:32:56
도넛,24239,2024-12-30 02:11:56
머핀,19576,2024-12-30 07:09:56
크루아상,3575,2024-12-30 16:31:56
도넛,29079,2024-12-30 03:09:56
크루아상,4544,2024-12-30 04:01:56
크루아상,20629,2024-12-30 17:14:56
크루아상,7296,2024-12-30 05:09:56
머핀,3985,2024-12-29 18:41:56
크루아상,2025,2024-12-30 09:28:56
크루아상,3771,2024-12-30 07:13:56
크루아상,26247,2024-12-30 05:36:56
도넛,26742,2024-12-30 05:44:56
도넛,11892,2024-12-30 05:58:56
크루아상,23757,2024-12-30 11:23:56
크루아상,23319,2024-12-30 14:02:56
크루아상,5542,2024-12-30 07:12:56
크루아상,18513,2024-12-30 08:26:56
크루아상,29414,2024-12-29 18:28:56
크루아상,12761,2024-12-30 16:10:56
도넛,16985,2024-12-30 02:14:56
머핀,11813,2024-12-30 09:04:56
크루아상,21025,2024-12-29 17:55:56
크루아상,28080,2024-12-30 13:21:56
크루아상,2030,2024-12-29 20:04:56
머핀,28022,2024-12-30 14:06:56
도넛,29886,2024-12-29 21:51:56
도넛,19633,2024-12-30 08:05:56
도넛,4812,2024-12-29 17:23:56
머핀,1765,2024-12-30 12:49:56
머핀,12746,2024-12-30 15:47:56
크루아상,7986,2024-12-29 18:13:56
도넛,3929,2024-12-29 19:16:56
머핀,17116,2024-12-29 22:49:56
도넛,15296,2024-12-29 22:54:56
머핀,1108,2024-12-29 21:50:56
도넛,19333,2024-12-29 19:43:56
크루아상,19646,2024-12-30 09:10:56
도넛,10387,2024-12-30 11:18:56
도넛,8333,2024-12-30 12:23:56
도넛,16827,2024-12-29 18:49:56
머핀,9037,2024-12-29 19:38:56
머핀,8739,2024-12-30 08:53:56
머핀,25577,2024-12-29 21:18:56
도넛,24176,2024-12-30 06:58:56
도넛,8975,2024-12-30 06:48:56
크루아상,3100,2024-12-30 12:30:56
크루아상,3638,2024-12-30 13:27:56
도넛,24358,2024-12-30 03:19:56
도넛,13964,2024-12-30 05:14:56
도넛,15567,2024-12-30 15:16:56
도넛,13868,2024-12-30 10:53:56
도넛,15722,2024-12-29 17:45:56
크루아상,28889,2024-12-29 18:30:56
크루아상,22491,2024-12-30 17:13:56
머핀,25987,2024-12-30 15:36:56
머핀,17946,2024-12-30 02:48:56
도넛,20910,2024-12-29 17:57:56
도넛,25894,2024-12-29 18:18:56
도넛,5263,2024-12-29 23:25:56
도넛,10204,2024-12-30 11:27:56
크루아상,22573,2024-12-30 01:50:56
크루아상,21255,2024-12-30 10:59:56
도넛,4430,2024-12-30 08:36:56
크루아상,21069,2024-12-30 09:04:56
도넛,7916,2024-12-30 02:56:56
도넛,24258,2024-12-30 08:51:56
머핀,26534,2024-12-30 10:07:56
머핀,29432,2024-12-29 17:59:56
크루아상,6555,2024-12-30 13:46:56
도넛,29928,2024-12-30 01:01:56
머핀,26304,2024-12-30 05:24:56
머핀,6839,2024-12-30 14:26:56
도넛,12852,2024-12-30 09:35:56
크루아상,9923,2024-12-30 01:42:56
크루아상,1990,2024-12-29 21:27:56
도넛,25219,2024-12-30 16:21:56
도넛,3780,2024-12-30 10:07:56
크루아상,17197,2024-12-30 13:37:56
크루아상,20721,2024-12-30 11:44:56
크루아상,3154,2024-12-30 15:26:56
머핀,24724,2024-12-30 08:03:56
도넛,22570,2024-12-29 17:24:56
크루아상,22107,2024-12-29 22:49:56
