menu,price,order_time
만두,26963,2024-12-29 21:03:56
김밥,14539,2024-12-30 11:34:56
김밥,23514,2024-12-30 10:29:56
떡볶이,6406,2024-12-30 15:53:56
떡볶이,7249,2024-12-30 06:00:56
만두,21904,2024-12-30 02:14:56
떡볶이,21030,2024-12-29 17:28:56
만두,24405,2024-12-29 19:39:56
만두,18983,2024-12-30 06:32:56
떡볶이,27917,2024-12-30 05:54:56
김밥,11172,2024-12-30 12:45:56
김밥,2539,2024-12-30 03:35:56
김밥,3400,2024-12-30 05:20:56
김밥,24290,2024-12-30 01:54:56
김밥,27260,2024-12-29 21:52:56
떡볶이,11381,2024-12-30 03:14:56
만두,18525,2024-12-29 19:37:56
만두,29154,2024-12-30 02:01:56
만두,12402,2024-12-30 04:51:56
김밥,5868,2024-12-30 08:28:56
김밥,20238,2024-12-30 01:04:56
만두,1033,2024-12-29 23:34:56
김밥,7828,2024-12-29 18:07:56
만두,21814,2024-12-30 03:07:56
만두,19525,2024-12-30 01:05:56
김밥,23690,2024-12-29 18:34:56
떡볶이,25608,2024-12-30 08:54:56
만두,15047,2024-12-29 20:58:56
김밥,10329,2024-12-30 08:32:56
김밥,22226,2024-12-30 17:16:56
만두,28636,2024-12-30 13:31:56
떡볶이,12390,2024-12-30 04:09:56
만두,29324,2024-12-29 21:50:56
떡볶이,19379,2024-12-30 00:43:56
떡볶이,15483,2024-12-30 00:26:56
떡볶이,11314,2024-12-30 14:13:56
떡볶이,14814,2024-12-30 13:46:56
만두,15677,2024-12-30 00:22:56
떡볶이,6997,2024-12-29 20:36:56
떡볶이,12472,2024-12-30 10:53:56
떡볶이,1507,2024-12-30 17:11:56
김밥,27478,2024-12-30 00:38:56
떡볶이,26808,2024-12-30 10:48:56
떡볶이,5098,2024-12-30 14:01:56
떡볶이,12939,2024-12-29 17:57:56
떡볶이,22908,2024-12-30 16:23:56
김밥,24434,2024-12-30 05:44:56
김밥,4326,2024-12-30 09:46:56
김밥,21967,2024-12-29 21:09:56
떡볶이,24687,2024-12-30 02:53:56
떡볶이,12731,2024-12-30 11:15:56
만두,28162,2024-12-30 01:43:56
김밥,21383,2024-12-30 14:52:56
만두,17527,2024-12-29 19:13:56
떡볶이,24733,2024-12-30 16:20:56
떡볶이,21663,2024-12-30 07:10:56
만두,22713,2024-12-30 07:01:56
만두,28316,2024-12-30 11:39:56
김밥,11920,2024-12-30 03:31:56
떡볶이,28762,2024-12-30 07:15:56
떡볶이,11961,2024-12-30 07:44:56
만두,3263,2024-12-29 21:12:56
만두,10527,2024-12-29 23:48:56
만두,18760,2024-12-30 05:26:56
떡볶이,17246,2024-12-30 07:24:56
만두,11637,2024-12-30 16:58:56
김밥,7293,2024-12-30 14:46:56
만두,23217,2024-12-30 08:54:56
떡볶이,1368,2024-12-29 21:22:56
만두,4058,2024-12-29 18:44:56
만두,19836,2024-12-30 14:53:56
만두,7261,2024-12-30 04:01:56
김밥,5310,2024-12-29 23:59:56
만두,7988,2024-12-29 17:29:56
떡볶이,3528,2024-12-30 13:21:56
김밥,15108,2024-12-29 18:38:56
떡볶이,21090,2024-12-29 20:45:56
김밥,4094,2024-12-30 07:09:56
만두,19282,2024-12-29 18:21:56
만두,5137,2024-12-30 04:09:56
김밥,18645,2024-12-30 14:25:56
떡볶이,2022,2024-12-30 03:19:56
만두,24554,2024-12-30 14:00:56
김밥,28674,2024-12-30 04:08:56
만두,6400,2024-12-30 11:52:56
김밥,20749,2024-12-30 15:04:56
만두,14493,2024-12-30 14:17:56
만두,14492,2024-12-30 02:02:56
만두,10347,2024-12-29 23:18:56
김밥,12778,2024-12-30 07:14:56
떡볶이,15630,2024-12-30 01:45:56
김밥,7746,2024-12-30 16:20:56
김밥,28739,2024-12-30 15:17:56
김밥,24088,2024-12-30 01:30:56
만두,10201,2024-12-29 22:34:56
떡볶이,1291,2024-12-30 13:56:56
떡볶이,7764,2024-12-29 17:30:56
김밥,6703,2024-12-29 18:46:56
만두,4847,2024-12-30 03:40:56
떡볶이,13896,2024-12-29 20:52:56
