menu,price,order_time
떡볶이,12942,2024-12-29 17:26:56
감자튀김,12945,2024-12-30 16:14:56
감자튀김,4800,2024-12-30 08:13:56
떡볶이,23706,2024-12-30 15:16:56
떡볶이,18341,2024-12-29 18:04:56
닭강정,7743,2024-12-30 09:43:56
감자튀김,4119,2024-12-30 06:05:56
떡볶이,14430,2024-12-30 16:30:56
감자튀김,20510,2024-12-29 18:34:56
감자튀김,7020,2024-12-29 22:23:56
떡볶이,10927,2024-12-30 07:12:56
닭강정,10639,2024-12-30 00:49:56
떡볶이,16064,2024-12-29 19:10:56
감자튀김,27372,2024-12-30 03:03:56
감자튀김,6543,2024-12-30 05:42:56
닭강정,27792,2024-12-30 15:23:56
감자튀김,24557,2024-12-29 23:14:56
닭강정,22378,2024-12-29 23:30:56
감자튀김,22300,2024-12-30 11:12:56
감자튀김,17260,2024-12-30 03:39:56
떡볶이,14769,2024-12-30 17:02:56
닭강정,11441,2024-12-30 05:49:56
감자튀김,2819,2024-12-29 23:54:56
떡볶이,13282,2024-12-29 18:50:56
닭강정,15911,2024-12-29 22:33:56
떡볶이,23401,2024-12-30 09:21:56
감자튀김,24194,2024-12-30 12:46:56
떡볶이,22143,2024-12-30 05:09:56
닭강정,15169,2024-12-30 05:33:56
닭강정,24234,2024-12-30 01:08:56
떡볶이,21000,2024-12-30 00:34:56
감자튀김,13522,2024-12-30 10:50:56
떡볶이,24976,2024-12-30 11:34:56
감자튀김,14013,2024-12-30 08:33:56
닭강정,1329,2024-12-30 12:15:56
닭강정,22345,2024-12-30 15:28:56
감자튀김,27671,2024-12-30 15:53:56
감자튀김,19906,2024-12-30 05:54:56
떡볶이,22053,2024-12-30 17:15:56
떡볶이,8033,2024-12-29 23:36:56
떡볶이,7515,2024-12-30 16:02:56
닭강정,23440,2024-12-30 13:13:56
닭강정,6211,2024-12-29 19:19:56
떡볶이,28470,2024-12-30 14:09:56
떡볶이,15524,2024-12-30 13:31:56
감자튀김,14946,2024-12-29 21:18:56
닭강정,13350,2024-12-30 04:30:56
감자튀김,26227,2024-12-29 19:56:56
떡볶이,23127,2024-12-30 05:14:56
떡볶이,14024,2024-12-30 06:25:56
떡볶이,22543,2024-12-30 16:45:56
떡볶이,8293,2024-12-30 07:33:56
떡볶이,27996,2024-12-30 01:12:56
떡볶이,8626,2024-12-29 19:45:56
감자튀김,4865,2024-12-29 23:46:56
닭강정,13277,2024-12-30 12:58:56
감자튀김,21953,2024-12-30 15:33:56
감자튀김,20223,2024-12-30 00:14:56
떡볶이,4326,2024-12-29 17:41:56
감자튀김,29403,2024-12-30 14:38:56
감자튀김,12797,2024-12-30 12:21:56
닭강정,11808,2024-12-30 13:14:56
떡볶이,24426,2024-12-29 19:58:56
감자튀김,25771,2024-12-29 18:59:56
닭강정,24663,2024-12-30 06:01:56
감자튀김,6405,2024-12-30 12:37:56
떡볶이,25295,2024-12-29 17:24:56
감자튀김,24062,2024-12-29 22:07:56
닭강정,28610,2024-12-30 09:23:56
떡볶이,8737,2024-12-30 11:01:56
감자튀김,27835,2024-12-29 23:19:56
감자튀김,1977,2024-12-30 10:36:56
감자튀김,14856,2024-12-30 10:51:56
떡볶이,11735,2024-12-30 05:57:56
감자튀김,26277,2024-12-30 14:04:56
감자튀김,16017,2024-12-29 18:54:56
떡볶이,9129,2024-12-29 22:10:56
감자튀김,24336,2024-12-29 22:56:56
떡볶이,17708,2024-12-30 04:15:56
감자튀김,28655,2024-12-29 22:23:56
떡볶이,8810,2024-12-30 11:21:56
떡볶이,19996,2024-12-30 06:04:56
감자튀김,13508,2024-12-30 00:04:56
닭강정,2611,2024-12-29 20:05:56
떡볶이,13162,2024-12-30 15:53:56
떡볶이,22282,2024-12-30 10:18:56
떡볶이,10351,2024-12-30 14:00:56
감자튀김,19435,2024-12-30 03:16:56
닭강정,1609,2024-12-29 23:24:56
감자튀김,23228,2024-12-30 16:19:56
감자튀김,12156,2024-12-29 20:39:56
닭강정,18615,2024-12-29 18:38:56
감자튀김,11595,2024-12-30 09:11:56
떡볶이,14513,2024-12-30 02:25:56
감자튀김,27762,2024-12-29 20:00:56
닭강정,16679,2024-12-30 08:39:56
떡볶이,6536,2024-12-30 07:04:56
감자튀김,18848,2024-12-30 03:14:56
떡볶이,25403,2024-12-30 02:44:56
감자튀김,3035,2024-12-29 19:13:56
