menu,price,order_time
아메리카노,20134,2024-12-30 09:11:57
아메리카노,28425,2024-12-30 04:37:57
아메리카노,4547,2024-12-29 19:59:57
아메리카노,24378,2024-12-30 07:26:57
아메리카노,5678,2024-12-30 01:15:57
카푸치노,6945,2024-12-29 22:42:57
아메리카노,8348,2024-12-30 01:32:57
카푸치노,16416,2024-12-29 23:54:57
카푸치노,3159,2024-12-30 16:23:57
카푸치노,10694,2024-12-29 22:47:57
케이크,15087,2024-12-30 06:03:57
아메리카노,17003,2024-12-30 07:45:57
카푸치노,8441,2024-12-30 05:22:57
케이크,22356,2024-12-29 23:34:57
카푸치노,25256,2024-12-30 11:46:57
아메리카노,16041,2024-12-29 18:45:57
케이크,19008,2024-12-29 21:26:57
카푸치노,1038,2024-12-30 03:00:57
케이크,1110,2024-12-30 03:34:57
카푸치노,11351,2024-12-30 09:30:57
아메리카노,29220,2024-12-30 08:16:57
카푸치노,2111,2024-12-29 18:17:57
케이크,7003,2024-12-30 02:11:57
카푸치노,22686,2024-12-30 10:19:57
카푸치노,29329,2024-12-30 10:54:57
아메리카노,6203,2024-12-30 12:07:57
아메리카노,29970,2024-12-30 12:30:57
케이크,25532,2024-12-30 15:39:57
케이크,13930,2024-12-30 02:02:57
케이크,19393,2024-12-30 07:17:57
카푸치노,29588,2024-12-30 03:36:57
케이크,6802,2024-12-30 04:42:57
케이크,12532,2024-12-30 14:14:57
케이크,24058,2024-12-30 01:10:57
아메리카노,21334,2024-12-30 12:35:57
아메리카노,25293,2024-12-30 00:54:57
카푸치노,2303,2024-12-30 09:35:57
카푸치노,19131,2024-12-29 22:32:57
아메리카노,4331,2024-12-30 10:13:57
카푸치노,6307,2024-12-30 08:32:57
아메리카노,3199,2024-12-30 15:34:57
아메리카노,25283,2024-12-29 18:29:57
카푸치노,17859,2024-12-30 07:53:57
카푸치노,2427,2024-12-30 10:21:57
아메리카노,21083,2024-12-30 03:03:57
아메리카노,18160,2024-12-29 18:37:57
케이크,1251,2024-12-30 00:08:57
케이크,19199,2024-12-29 18:24:57
아메리카노,5727,2024-12-29 19:11:57
케이크,25585,2024-12-30 05:03:57
아메리카노,21125,2024-12-30 13:42:57
케이크,1079,2024-12-30 01:49:57
아메리카노,28433,2024-12-29 20:13:57
케이크,29776,2024-12-30 11:01:57
카푸치노,26209,2024-12-29 20:54:57
아메리카노,18330,2024-12-29 19:01:57
케이크,1623,2024-12-30 16:56:57
아메리카노,25032,2024-12-30 02:38:57
아메리카노,25340,2024-12-30 01:49:57
아메리카노,24361,2024-12-30 05:41:57
케이크,23540,2024-12-29 18:53:57
카푸치노,15408,2024-12-30 10:17:57
카푸치노,23189,2024-12-29 20:48:57
카푸치노,1206,2024-12-30 05:18:57
카푸치노,22359,2024-12-30 03:19:57
케이크,2792,2024-12-30 03:33:57
케이크,8773,2024-12-30 01:58:57
케이크,14836,2024-12-30 00:37:57
아메리카노,19022,2024-12-30 04:09:57
케이크,7175,2024-12-29 19:25:57
카푸치노,21488,2024-12-30 15:39:57
케이크,8006,2024-12-29 19:46:57
아메리카노,29656,2024-12-30 11:21:57
케이크,27309,2024-12-30 06:59:57
아메리카노,3754,2024-12-30 11:50:57
케이크,26139,2024-12-30 10:38:57
카푸치노,4048,2024-12-29 20:43:57
카푸치노,1677,2024-12-30 14:46:57
케이크,3963,2024-12-30 00:49:57
케이크,15285,2024-12-30 04:23:57
카푸치노,6783,2024-12-29 21:03:57
케이크,18753,2024-12-29 21:34:57
아메리카노,8349,2024-12-30 15:29:57
케이크,6791,2024-12-30 13:53:57
아메리카노,22111,2024-12-29 21:11:57
케이크,17750,2024-12-30 00:51:57
케이크,2114,2024-12-30 10:31:57
카푸치노,1426,2024-12-30 13:35:57
아메리카노,24295,2024-12-30 11:37:57
아메리카노,25894,2024-12-30 05:29:57
카푸치노,18821,2024-12-29 17:31:57
아메리카노,1934,2024-12-30 02:55:57
케이크,21402,2024-12-29 19:01:57
케이크,3777,2024-12-29 21:55:57
아메리카노,18389,2024-12-30 09:04:57
케이크,22797,2024-12-29 22:21:57
카푸치노,2846,2024-12-29 19:05:57
아메리카노,3681,2024-12-29 21:48:57
아메리카노,8196,2024-12-30 00:49:57
아메리카노,7878,2024-12-30 06:33:57
