menu,price,order_time
아메리카노,16846,2024-12-30 03:23:56
아메리카노,24346,2024-12-29 21:38:56
케이크,5954,2024-12-30 12:03:56
아메리카노,27379,2024-12-30 12:04:56
아메리카노,14224,2024-12-30 11:48:56
케이크,22837,2024-12-30 06:08:56
케이크,11164,2024-12-29 18:58:56
케이크,24576,2024-12-30 09:08:56
카푸치노,5229,2024-12-30 12:31:56
케이크,27745,2024-12-30 12:17:56
케이크,8934,2024-12-30 08:46:56
카푸치노,4470,2024-12-30 09:27:56
아메리카노,23180,2024-12-30 05:02:56
케이크,21906,2024-12-29 19:22:56
카푸치노,1075,2024-12-30 00:42:56
카푸치노,9427,2024-12-29 17:53:56
카푸치노,25522,2024-12-29 19:10:56
케이크,10093,2024-12-29 17:42:56
아메리카노,20598,2024-12-29 20:37:56
카푸치노,21483,2024-12-30 08:30:56
케이크,27042,2024-12-30 11:29:56
카푸치노,24198,2024-12-29 19:19:56
케이크,24050,2024-12-30 03:53:56
아메리카노,4677,2024-12-29 19:33:56
케이크,3783,2024-12-29 18:28:56
아메리카노,19501,2024-12-30 05:19:56
아메리카노,3401,2024-12-30 09:08:56
카푸치노,12722,2024-12-30 12:52:56
아메리카노,18518,2024-12-30 06:16:56
아메리카노,7279,2024-12-30 01:12:56
케이크,23480,2024-12-29 19:55:56
케이크,16261,2024-12-30 10:54:56
카푸치노,8487,2024-12-29 18:38:56
케이크,5271,2024-12-30 16:34:56
카푸치노,13017,2024-12-30 08:08:56
카푸치노,27471,2024-12-30 04:49:56
케이크,5367,2024-12-30 11:53:56
카푸치노,6103,2024-12-30 08:32:56
케이크,20469,2024-12-29 22:12:56
카푸치노,20983,2024-12-29 17:21:56
케이크,20738,2024-12-29 21:58:56
케이크,26091,2024-12-30 04:31:56
아메리카노,16118,2024-12-30 14:27:56
케이크,18287,2024-12-30 08:35:56
아메리카노,22367,2024-12-29 22:12:56
아메리카노,18301,2024-12-30 09:47:56
아메리카노,29755,2024-12-30 05:18:56
카푸치노,15811,2024-12-29 19:39:56
카푸치노,5156,2024-12-29 23:05:56
아메리카노,10817,2024-12-30 08:12:56
카푸치노,5425,2024-12-30 02:15:56
케이크,18236,2024-12-30 13:27:56
카푸치노,17834,2024-12-30 15:52:56
아메리카노,27773,2024-12-29 19:17:56
카푸치노,22523,2024-12-30 10:31:56
아메리카노,5783,2024-12-30 05:44:56
카푸치노,27348,2024-12-30 06:26:56
아메리카노,5951,2024-12-30 13:04:56
아메리카노,4969,2024-12-29 18:50:56
케이크,17313,2024-12-29 19:36:56
케이크,22957,2024-12-30 03:27:56
아메리카노,24385,2024-12-30 02:20:56
케이크,27383,2024-12-29 18:09:56
아메리카노,10576,2024-12-30 14:42:56
케이크,19122,2024-12-29 21:03:56
케이크,24759,2024-12-30 03:55:56
아메리카노,12362,2024-12-30 01:10:56
케이크,14468,2024-12-30 05:03:56
아메리카노,11983,2024-12-30 01:48:56
카푸치노,18141,2024-12-29 22:22:56
카푸치노,24272,2024-12-29 21:34:56
카푸치노,3805,2024-12-29 20:46:56
아메리카노,21857,2024-12-30 00:41:56
카푸치노,16074,2024-12-30 16:36:56
케이크,1487,2024-12-30 07:37:56
카푸치노,20936,2024-12-30 12:51:56
아메리카노,27515,2024-12-29 20:25:56
아메리카노,15912,2024-12-29 19:10:56
아메리카노,4704,2024-12-30 12:29:56
아메리카노,27002,2024-12-29 22:09:56
아메리카노,23161,2024-12-30 07:05:56
케이크,16110,2024-12-30 04:05:56
케이크,7810,2024-12-30 06:25:56
케이크,17989,2024-12-30 02:13:56
케이크,8639,2024-12-29 23:11:56
아메리카노,28911,2024-12-30 14:31:56
카푸치노,16827,2024-12-30 09:07:56
케이크,10156,2024-12-30 07:08:56
카푸치노,15180,2024-12-30 02:52:56
아메리카노,17045,2024-12-30 04:35:56
카푸치노,27391,2024-12-29 21:06:56
아메리카노,25361,2024-12-30 05:42:56
카푸치노,23458,2024-12-30 06:31:56
케이크,3916,2024-12-30 03:48:56
아메리카노,12747,2024-12-30 07:31:56
케이크,20022,2024-12-29 17:51:56
케이크,15933,2024-12-30 05:34:56
카푸치노,13811,2024-12-30 14:13:56
케이크,5406,2024-12-30 05:02:56
카푸치노,14061,2024-12-30 01:17:56
