menu,price,order_time
케이크,20974,2024-12-30 08:06:56
카푸치노,18623,2024-12-29 18:00:56
카푸치노,11073,2024-12-30 06:08:56
아메리카노,15826,2024-12-30 13:48:56
케이크,26883,2024-12-30 00:59:56
카푸치노,6507,2024-12-29 22:01:56
아메리카노,2166,2024-12-30 03:53:56
카푸치노,8042,2024-12-30 07:06:56
아메리카노,11048,2024-12-30 00:10:56
케이크,6982,2024-12-30 03:40:56
카푸치노,16598,2024-12-29 19:30:56
케이크,21278,2024-12-30 05:58:56
케이크,26347,2024-12-29 19:41:56
케이크,12721,2024-12-30 11:08:56
아메리카노,14705,2024-12-29 23:47:56
카푸치노,11970,2024-12-30 07:21:56
아메리카노,2996,2024-12-29 20:04:56
카푸치노,15915,2024-12-30 14:51:56
아메리카노,28139,2024-12-30 10:20:56
케이크,11605,2024-12-30 16:40:56
아메리카노,9352,2024-12-30 10:04:56
케이크,27885,2024-12-30 02:24:56
아메리카노,26460,2024-12-30 03:48:56
케이크,13136,2024-12-29 20:22:56
아메리카노,16262,2024-12-30 04:05:56
카푸치노,23753,2024-12-30 04:49:56
케이크,4606,2024-12-30 01:51:56
카푸치노,22183,2024-12-29 23:17:56
아메리카노,29252,2024-12-29 23:34:56
카푸치노,22810,2024-12-29 19:41:56
케이크,12483,2024-12-30 04:46:56
아메리카노,20955,2024-12-30 00:16:56
케이크,21974,2024-12-30 05:07:56
카푸치노,9682,2024-12-30 16:04:56
아메리카노,17314,2024-12-29 17:47:56
케이크,5978,2024-12-30 10:19:56
카푸치노,21534,2024-12-29 22:45:56
아메리카노,1993,2024-12-30 04:02:56
카푸치노,8482,2024-12-30 11:53:56
케이크,26204,2024-12-30 17:18:56
아메리카노,6930,2024-12-30 06:22:56
아메리카노,3433,2024-12-30 10:29:56
카푸치노,4624,2024-12-30 13:33:56
아메리카노,5589,2024-12-30 06:55:56
아메리카노,8747,2024-12-30 00:19:56
카푸치노,14602,2024-12-30 07:54:56
케이크,14448,2024-12-30 06:52:56
케이크,19079,2024-12-30 14:48:56
아메리카노,7757,2024-12-30 13:44:56
아메리카노,26249,2024-12-30 10:10:56
아메리카노,4719,2024-12-30 06:21:56
아메리카노,23344,2024-12-30 16:20:56
아메리카노,3098,2024-12-30 10:12:56
카푸치노,4349,2024-12-30 11:05:56
케이크,11335,2024-12-29 21:00:56
아메리카노,23472,2024-12-29 19:46:56
케이크,19479,2024-12-30 16:44:56
아메리카노,23465,2024-12-30 10:50:56
아메리카노,13089,2024-12-29 19:17:56
카푸치노,28021,2024-12-30 14:07:56
카푸치노,1822,2024-12-30 02:11:56
카푸치노,4896,2024-12-30 16:43:56
케이크,22495,2024-12-30 00:01:56
카푸치노,2099,2024-12-30 12:39:56
카푸치노,24724,2024-12-30 17:00:56
아메리카노,25901,2024-12-30 08:54:56
카푸치노,21271,2024-12-30 01:46:56
케이크,7733,2024-12-30 14:34:56
케이크,20302,2024-12-30 14:31:56
카푸치노,21220,2024-12-30 09:41:56
카푸치노,5140,2024-12-30 15:54:56
아메리카노,2426,2024-12-30 03:42:56
케이크,18970,2024-12-29 22:36:56
카푸치노,7563,2024-12-30 11:41:56
케이크,13228,2024-12-30 04:57:56
아메리카노,28066,2024-12-30 16:16:56
카푸치노,18345,2024-12-30 01:32:56
아메리카노,16045,2024-12-30 15:03:56
카푸치노,23483,2024-12-30 07:53:56
카푸치노,6624,2024-12-30 16:34:56
카푸치노,19807,2024-12-30 05:49:56
케이크,9734,2024-12-30 15:56:56
카푸치노,3512,2024-12-30 12:26:56
카푸치노,13170,2024-12-30 04:33:56
케이크,24165,2024-12-30 07:22:56
아메리카노,5603,2024-12-30 01:40:56
아메리카노,5836,2024-12-29 17:24:56
아메리카노,5541,2024-12-30 03:04:56
아메리카노,3692,2024-12-29 19:40:56
카푸치노,3305,2024-12-29 18:16:56
케이크,1229,2024-12-30 06:08:56
케이크,17444,2024-12-30 07:29:56
케이크,12789,2024-12-29 20:25:56
케이크,13628,2024-12-29 23:59:56
아메리카노,26557,2024-12-30 16:03:56
카푸치노,29188,2024-12-29 17:32:56
케이크,25877,2024-12-30 07:07:56
케이크,17693,2024-12-29 20:10:56
카푸치노,9874,2024-12-29 18:19:56
아메리카노,10624,2024-12-30 02:44:56
