menu,price,order_time
케이크,22419,2024-12-30 14:44:56
케이크,10063,2024-12-30 12:22:56
케이크,3083,2024-12-30 01:28:56
아메리카노,16699,2024-12-30 08:43:56
카푸치노,18112,2024-12-30 16:45:56
카푸치노,7999,2024-12-30 17:02:56
케이크,19370,2024-12-30 05:53:56
카푸치노,23883,2024-12-30 15:30:56
아메리카노,13985,2024-12-30 06:00:56
카푸치노,24972,2024-12-30 06:02:56
케이크,1939,2024-12-30 01:12:56
아메리카노,24452,2024-12-30 07:17:56
아메리카노,15303,2024-12-30 15:17:56
케이크,19065,2024-12-30 17:04:56
카푸치노,12541,2024-12-30 14:14:56
카푸치노,19969,2024-12-29 18:15:56
아메리카노,7295,2024-12-30 06:58:56
카푸치노,16207,2024-12-30 08:36:56
케이크,18486,2024-12-30 13:54:56
케이크,12858,2024-12-30 16:38:56
케이크,19430,2024-12-30 08:10:56
케이크,21873,2024-12-30 12:14:56
카푸치노,6356,2024-12-30 02:52:56
아메리카노,3964,2024-12-30 02:12:56
케이크,18655,2024-12-30 11:42:56
카푸치노,5409,2024-12-29 21:34:56
케이크,9757,2024-12-30 04:39:56
카푸치노,23265,2024-12-30 05:22:56
카푸치노,25380,2024-12-30 09:18:56
아메리카노,13032,2024-12-29 19:23:56
카푸치노,7138,2024-12-29 22:30:56
케이크,13311,2024-12-30 16:14:56
케이크,12688,2024-12-30 06:14:56
아메리카노,3495,2024-12-30 02:57:56
케이크,12240,2024-12-29 19:35:56
카푸치노,4586,2024-12-29 21:50:56
카푸치노,20214,2024-12-30 00:17:56
카푸치노,11309,2024-12-30 04:14:56
아메리카노,26553,2024-12-29 20:24:56
카푸치노,1777,2024-12-30 13:24:56
아메리카노,16388,2024-12-30 06:50:56
케이크,21623,2024-12-30 07:50:56
아메리카노,26949,2024-12-30 16:09:56
아메리카노,29346,2024-12-30 05:27:56
카푸치노,4607,2024-12-30 10:48:56
카푸치노,23982,2024-12-30 17:21:56
케이크,14339,2024-12-30 10:17:56
아메리카노,23513,2024-12-30 03:23:56
카푸치노,14288,2024-12-30 08:24:56
아메리카노,15354,2024-12-30 14:30:56
카푸치노,8935,2024-12-30 14:02:56
카푸치노,9060,2024-12-30 00:11:56
아메리카노,7374,2024-12-30 10:35:56
케이크,23088,2024-12-30 06:59:56
케이크,4235,2024-12-29 20:59:56
카푸치노,7250,2024-12-30 15:44:56
아메리카노,17844,2024-12-30 00:04:56
케이크,27819,2024-12-30 03:13:56
카푸치노,22806,2024-12-30 09:57:56
아메리카노,29384,2024-12-30 11:25:56
아메리카노,21653,2024-12-29 18:39:56
카푸치노,29975,2024-12-30 00:48:56
아메리카노,20049,2024-12-30 15:54:56
케이크,28614,2024-12-30 03:00:56
카푸치노,10209,2024-12-30 13:08:56
케이크,14720,2024-12-30 04:58:56
케이크,28381,2024-12-29 21:17:56
아메리카노,20100,2024-12-30 13:59:56
케이크,11823,2024-12-30 14:57:56
아메리카노,21346,2024-12-30 02:38:56
아메리카노,11541,2024-12-30 00:49:56
케이크,12672,2024-12-30 02:50:56
카푸치노,7541,2024-12-30 02:49:56
아메리카노,29811,2024-12-30 09:09:56
카푸치노,8442,2024-12-29 20:49:56
아메리카노,13010,2024-12-29 20:08:56
아메리카노,29408,2024-12-29 21:43:56
케이크,7514,2024-12-29 19:43:56
카푸치노,20628,2024-12-29 22:33:56
카푸치노,22786,2024-12-30 02:44:56
아메리카노,9605,2024-12-29 20:43:56
아메리카노,5678,2024-12-30 14:10:56
케이크,26650,2024-12-30 06:42:56
아메리카노,3025,2024-12-30 01:18:56
아메리카노,7081,2024-12-29 19:37:56
케이크,28487,2024-12-30 06:29:56
아메리카노,22369,2024-12-30 05:17:56
아메리카노,2301,2024-12-29 17:22:56
케이크,24993,2024-12-29 17:47:56
아메리카노,5049,2024-12-29 22:11:56
아메리카노,6435,2024-12-30 12:56:56
케이크,14545,2024-12-30 13:43:56
케이크,20640,2024-12-29 21:05:56
케이크,26493,2024-12-30 11:30:56
아메리카노,6929,2024-12-30 17:00:56
카푸치노,26961,2024-12-30 15:30:56
아메리카노,23995,2024-12-30 07:26:56
카푸치노,25933,2024-12-30 01:08:56
아메리카노,9156,2024-12-30 11:42:56
아메리카노,23989,2024-12-30 01:48:56
