menu,price,order_time
카푸치노,22642,2024-12-29 20:17:57
케이크,26313,2024-12-30 11:27:57
아메리카노,21247,2024-12-30 13:01:57
케이크,11071,2024-12-29 17:51:57
아메리카노,5231,2024-12-30 07:26:57
카푸치노,6438,2024-12-30 02:08:57
케이크,18187,2024-12-29 22:39:57
아메리카노,8697,2024-12-29 21:21:57
아메리카노,12247,2024-12-29 21:17:57
케이크,14134,2024-12-30 02:03:57
케이크,27705,2024-12-30 03:47:57
아메리카노,17605,2024-12-30 08:02:57
카푸치노,2685,2024-12-29 18:02:57
아메리카노,29790,2024-12-30 07:52:57
아메리카노,9270,2024-12-30 03:16:57
카푸치노,29291,2024-12-30 17:07:57
케이크,11868,2024-12-29 21:00:57
카푸치노,24997,2024-12-30 10:16:57
카푸치노,5862,2024-12-30 15:53:57
아메리카노,8032,2024-12-30 17:09:57
케이크,5742,2024-12-30 10:45:57
아메리카노,24862,2024-12-30 11:23:57
카푸치노,19860,2024-12-29 23:39:57
아메리카노,22944,2024-12-30 12:11:57
아메리카노,18162,2024-12-30 02:19:57
케이크,16543,2024-12-30 15:48:57
카푸치노,22051,2024-12-30 00:29:57
카푸치노,10814,2024-12-30 01:23:57
카푸치노,4790,2024-12-30 12:31:57
카푸치노,22849,2024-12-30 03:49:57
케이크,24755,2024-12-30 15:05:57
케이크,6337,2024-12-30 04:11:57
케이크,7082,2024-12-30 08:32:57
카푸치노,27329,2024-12-30 04:42:57
케이크,12942,2024-12-30 16:40:57
케이크,3095,2024-12-29 22:33:57
카푸치노,22161,2024-12-30 12:31:57
아메리카노,4994,2024-12-30 13:04:57
아메리카노,20991,2024-12-30 05:02:57
아메리카노,12661,2024-12-30 08:35:57
케이크,13571,2024-12-30 03:58:57
카푸치노,3181,2024-12-30 07:19:57
케이크,21890,2024-12-30 05:34:57
카푸치노,11515,2024-12-30 06:13:57
아메리카노,5090,2024-12-29 19:22:57
아메리카노,28423,2024-12-30 02:07:57
케이크,12332,2024-12-30 00:46:57
아메리카노,1839,2024-12-29 23:36:57
케이크,17164,2024-12-29 21:09:57
케이크,13461,2024-12-30 08:01:57
카푸치노,26229,2024-12-30 02:06:57
케이크,16579,2024-12-29 22:41:57
카푸치노,3731,2024-12-29 23:29:57
케이크,18654,2024-12-29 23:47:57
케이크,14661,2024-12-29 21:11:57
케이크,26092,2024-12-30 02:28:57
아메리카노,3429,2024-12-30 09:52:57
아메리카노,16392,2024-12-30 12:39:57
아메리카노,2997,2024-12-30 10:50:57
케이크,6759,2024-12-30 12:25:57
아메리카노,14613,2024-12-30 09:20:57
케이크,24572,2024-12-30 02:21:57
카푸치노,25080,2024-12-30 08:28:57
아메리카노,18729,2024-12-30 16:41:57
아메리카노,5422,2024-12-30 00:51:57
아메리카노,20881,2024-12-30 12:02:57
케이크,15969,2024-12-30 04:32:57
아메리카노,21692,2024-12-29 19:15:57
케이크,28324,2024-12-30 17:16:57
케이크,17009,2024-12-30 06:37:57
카푸치노,4276,2024-12-30 02:05:57
케이크,19337,2024-12-30 05:53:57
아메리카노,19360,2024-12-29 23:56:57
케이크,2548,2024-12-30 11:28:57
아메리카노,15119,2024-12-29 20:03:57
아메리카노,28674,2024-12-30 05:28:57
아메리카노,5916,2024-12-30 12:37:57
케이크,12290,2024-12-30 16:23:57
카푸치노,26801,2024-12-30 05:27:57
아메리카노,5109,2024-12-30 03:29:57
케이크,20756,2024-12-30 12:29:57
케이크,10652,2024-12-30 06:03:57
아메리카노,23114,2024-12-30 12:26:57
카푸치노,11656,2024-12-29 22:28:57
케이크,12172,2024-12-30 02:31:57
카푸치노,29449,2024-12-30 07:59:57
케이크,23624,2024-12-30 06:31:57
카푸치노,8891,2024-12-30 04:01:57
아메리카노,16100,2024-12-30 07:38:57
카푸치노,29831,2024-12-30 00:30:57
카푸치노,11679,2024-12-30 14:07:57
아메리카노,21501,2024-12-30 06:44:57
케이크,3108,2024-12-30 11:16:57
카푸치노,22212,2024-12-30 12:17:57
케이크,12411,2024-12-30 04:16:57
케이크,10057,2024-12-30 05:04:57
아메리카노,15616,2024-12-29 22:45:57
케이크,6178,2024-12-30 14:50:57
아메리카노,7890,2024-12-30 11:10:57
케이크,20843,2024-12-29 20:39:57
