menu,price,order_time
케이크,2994,2024-12-30 08:12:56
케이크,10155,2024-12-30 04:13:56
카푸치노,2243,2024-12-30 09:28:56
아메리카노,21302,2024-12-30 01:31:56
케이크,8645,2024-12-30 16:41:56
케이크,24517,2024-12-30 12:32:56
아메리카노,15179,2024-12-30 14:55:56
아메리카노,13713,2024-12-29 17:59:56
카푸치노,21984,2024-12-29 17:58:56
카푸치노,22558,2024-12-29 23:09:56
케이크,25422,2024-12-30 14:02:56
카푸치노,10203,2024-12-29 19:03:56
아메리카노,17528,2024-12-30 16:08:56
아메리카노,4522,2024-12-30 14:38:56
아메리카노,8160,2024-12-30 03:16:56
케이크,13989,2024-12-30 10:49:56
아메리카노,27485,2024-12-30 10:11:56
아메리카노,15676,2024-12-30 12:01:56
카푸치노,11045,2024-12-30 10:48:56
케이크,11403,2024-12-30 09:54:56
카푸치노,18047,2024-12-29 22:54:56
카푸치노,4081,2024-12-30 01:12:56
케이크,24613,2024-12-30 01:37:56
아메리카노,18209,2024-12-30 09:26:56
케이크,16882,2024-12-29 21:47:56
케이크,26276,2024-12-30 15:33:56
케이크,12517,2024-12-30 13:54:56
카푸치노,19700,2024-12-30 09:32:56
케이크,20942,2024-12-30 14:52:56
케이크,22996,2024-12-30 03:57:56
케이크,16086,2024-12-30 12:25:56
카푸치노,4320,2024-12-30 04:52:56
아메리카노,14128,2024-12-29 23:12:56
카푸치노,28164,2024-12-29 19:45:56
카푸치노,6022,2024-12-30 01:25:56
케이크,21831,2024-12-30 05:51:56
아메리카노,14047,2024-12-30 11:07:56
아메리카노,17537,2024-12-30 06:13:56
아메리카노,23172,2024-12-29 20:40:56
케이크,5102,2024-12-30 09:46:56
카푸치노,9818,2024-12-30 11:51:56
케이크,16192,2024-12-30 09:14:56
카푸치노,7628,2024-12-30 11:10:56
카푸치노,9431,2024-12-29 22:16:56
케이크,5005,2024-12-30 15:29:56
아메리카노,24143,2024-12-30 06:45:56
케이크,16536,2024-12-30 15:57:56
아메리카노,11538,2024-12-30 08:16:56
카푸치노,19155,2024-12-30 09:33:56
케이크,6171,2024-12-30 10:02:56
케이크,26386,2024-12-30 02:01:56
카푸치노,8209,2024-12-30 01:01:56
케이크,29472,2024-12-29 19:50:56
케이크,3245,2024-12-30 13:55:56
카푸치노,21190,2024-12-29 23:43:56
케이크,16947,2024-12-30 15:58:56
케이크,9637,2024-12-29 22:01:56
케이크,17563,2024-12-30 16:24:56
케이크,14462,2024-12-30 15:50:56
케이크,20474,2024-12-30 07:14:56
카푸치노,26918,2024-12-30 03:36:56
카푸치노,11785,2024-12-30 10:54:56
카푸치노,26488,2024-12-29 19:35:56
케이크,11791,2024-12-30 10:53:56
케이크,3331,2024-12-30 11:47:56
케이크,5200,2024-12-30 03:29:56
아메리카노,14374,2024-12-30 02:05:56
케이크,15752,2024-12-30 00:06:56
케이크,20475,2024-12-29 19:41:56
아메리카노,12579,2024-12-30 05:33:56
아메리카노,1550,2024-12-30 00:31:56
아메리카노,16202,2024-12-30 11:14:56
아메리카노,25219,2024-12-30 07:08:56
아메리카노,20039,2024-12-29 18:48:56
케이크,1884,2024-12-30 11:33:56
아메리카노,25843,2024-12-29 20:44:56
카푸치노,15353,2024-12-29 18:22:56
카푸치노,8472,2024-12-30 10:40:56
아메리카노,10888,2024-12-29 21:35:56
아메리카노,22817,2024-12-30 13:36:56
케이크,13560,2024-12-30 06:31:56
아메리카노,14722,2024-12-30 04:09:56
아메리카노,17868,2024-12-30 14:43:56
케이크,14827,2024-12-30 03:32:56
케이크,25735,2024-12-30 08:32:56
카푸치노,13574,2024-12-30 04:14:56
케이크,21962,2024-12-30 06:59:56
아메리카노,27247,2024-12-30 15:27:56
아메리카노,5469,2024-12-30 01:35:56
아메리카노,22450,2024-12-30 09:49:56
케이크,14813,2024-12-30 05:59:56
카푸치노,2287,2024-12-29 23:39:56
아메리카노,26552,2024-12-29 21:28:56
케이크,3068,2024-12-30 07:18:56
카푸치노,11622,2024-12-30 05:02:56
아메리카노,14887,2024-12-29 23:43:56
카푸치노,24597,2024-12-30 11:27:56
아메리카노,16627,2024-12-30 12:32:56
카푸치노,7770,2024-12-30 04:52:56
카푸치노,24910,2024-12-30 12:57:56
