menu,price,order_time
아메리카노,17379,2024-12-30 07:27:57
카푸치노,13439,2024-12-30 09:12:57
케이크,19018,2024-12-29 20:48:57
케이크,28375,2024-12-29 18:57:57
아메리카노,15368,2024-12-30 10:45:57
카푸치노,24151,2024-12-30 13:33:57
카푸치노,8198,2024-12-29 23:53:57
케이크,23432,2024-12-30 15:48:57
카푸치노,17309,2024-12-30 10:58:57
아메리카노,3887,2024-12-30 14:00:57
아메리카노,16277,2024-12-29 22:35:57
아메리카노,20832,2024-12-30 01:07:57
카푸치노,28955,2024-12-29 17:30:57
카푸치노,13867,2024-12-30 13:10:57
아메리카노,25446,2024-12-30 08:26:57
케이크,28774,2024-12-30 03:02:57
아메리카노,15283,2024-12-30 05:22:57
아메리카노,1135,2024-12-30 01:36:57
카푸치노,13034,2024-12-30 04:23:57
아메리카노,14195,2024-12-29 21:54:57
카푸치노,29313,2024-12-30 07:05:57
카푸치노,10649,2024-12-30 05:04:57
카푸치노,20243,2024-12-30 02:35:57
아메리카노,14492,2024-12-30 09:41:57
카푸치노,12523,2024-12-30 14:53:57
아메리카노,13030,2024-12-29 20:49:57
케이크,19007,2024-12-30 08:34:57
아메리카노,17568,2024-12-30 08:28:57
카푸치노,18129,2024-12-29 20:08:57
카푸치노,25441,2024-12-29 17:25:57
카푸치노,24180,2024-12-30 16:19:57
아메리카노,18013,2024-12-29 20:12:57
케이크,28117,2024-12-30 15:04:57
아메리카노,22011,2024-12-30 09:31:57
카푸치노,4513,2024-12-30 13:46:57
카푸치노,10838,2024-12-30 07:05:57
케이크,12985,2024-12-30 17:03:57
케이크,3367,2024-12-30 04:03:57
케이크,28917,2024-12-30 06:08:57
케이크,15469,2024-12-30 13:22:57
아메리카노,17115,2024-12-30 06:16:57
케이크,24247,2024-12-29 18:37:57
카푸치노,21337,2024-12-30 10:40:57
카푸치노,14609,2024-12-30 13:36:57
케이크,11057,2024-12-30 07:18:57
케이크,29594,2024-12-29 19:26:57
케이크,1736,2024-12-30 00:08:57
케이크,20299,2024-12-29 17:28:57
케이크,12162,2024-12-30 15:17:57
카푸치노,5177,2024-12-29 17:31:57
케이크,16819,2024-12-30 12:03:57
카푸치노,29407,2024-12-30 01:45:57
케이크,4934,2024-12-30 11:06:57
카푸치노,7905,2024-12-30 00:24:57
아메리카노,19268,2024-12-30 03:07:57
케이크,9359,2024-12-30 11:49:57
아메리카노,20246,2024-12-30 00:39:57
카푸치노,24172,2024-12-30 07:17:57
카푸치노,14065,2024-12-29 20:06:57
케이크,25243,2024-12-29 22:31:57
아메리카노,6651,2024-12-30 13:54:57
카푸치노,22572,2024-12-29 22:43:57
아메리카노,18385,2024-12-29 19:40:57
카푸치노,26449,2024-12-30 06:12:57
케이크,6515,2024-12-30 05:33:57
아메리카노,16888,2024-12-30 09:53:57
아메리카노,16818,2024-12-30 15:54:57
카푸치노,19053,2024-12-30 11:21:57
케이크,3750,2024-12-30 06:24:57
카푸치노,12607,2024-12-29 20:25:57
케이크,19388,2024-12-30 16:18:57
아메리카노,14134,2024-12-29 21:48:57
아메리카노,20350,2024-12-30 11:20:57
케이크,4825,2024-12-30 05:30:57
카푸치노,20392,2024-12-30 15:33:57
아메리카노,22930,2024-12-30 00:54:57
케이크,9151,2024-12-30 12:55:57
카푸치노,3226,2024-12-30 12:44:57
케이크,15224,2024-12-30 05:09:57
아메리카노,10120,2024-12-30 06:17:57
아메리카노,28054,2024-12-29 20:23:57
카푸치노,16177,2024-12-30 14:23:57
케이크,24350,2024-12-30 11:09:57
케이크,17245,2024-12-29 22:08:57
케이크,14575,2024-12-30 08:17:57
케이크,12441,2024-12-30 03:25:57
아메리카노,25819,2024-12-29 17:21:57
카푸치노,18902,2024-12-30 04:53:57
카푸치노,27823,2024-12-30 17:18:57
아메리카노,15609,2024-12-29 18:09:57
케이크,15347,2024-12-30 13:20:57
아메리카노,14164,2024-12-30 16:56:57
카푸치노,22477,2024-12-30 08:41:57
카푸치노,25203,2024-12-30 04:04:57
카푸치노,7861,2024-12-30 05:38:57
아메리카노,8372,2024-12-29 22:52:57
케이크,29099,2024-12-29 19:12:57
카푸치노,5822,2024-12-30 11:33:57
아메리카노,16701,2024-12-30 04:05:57
카푸치노,22309,2024-12-29 21:04:57
