menu,price,order_time
카푸치노,2544,2024-12-30 12:11:56
아메리카노,14433,2024-12-29 23:31:56
아메리카노,22287,2024-12-30 02:21:56
케이크,17659,2024-12-30 07:07:56
카푸치노,6771,2024-12-29 18:29:56
아메리카노,28401,2024-12-30 03:55:56
케이크,2720,2024-12-30 13:06:56
카푸치노,3554,2024-12-29 23:33:56
아메리카노,15972,2024-12-30 09:14:56
케이크,14051,2024-12-30 03:38:56
케이크,13737,2024-12-30 10:52:56
카푸치노,17203,2024-12-30 11:50:56
케이크,4814,2024-12-30 16:54:56
아메리카노,14695,2024-12-30 08:56:56
아메리카노,19375,2024-12-29 18:21:56
케이크,8788,2024-12-29 19:46:56
아메리카노,25259,2024-12-29 23:48:56
케이크,3617,2024-12-29 20:27:56
케이크,3340,2024-12-30 17:11:56
카푸치노,10879,2024-12-30 06:50:56
아메리카노,6973,2024-12-30 14:51:56
아메리카노,6568,2024-12-30 16:18:56
케이크,18538,2024-12-29 20:43:56
카푸치노,24804,2024-12-30 07:08:56
케이크,20839,2024-12-30 12:39:56
아메리카노,2802,2024-12-30 10:11:56
아메리카노,24524,2024-12-30 00:27:56
케이크,23328,2024-12-30 04:26:56
카푸치노,26329,2024-12-30 14:44:56
카푸치노,28892,2024-12-30 08:29:56
케이크,18522,2024-12-29 21:01:56
아메리카노,26845,2024-12-29 21:11:56
카푸치노,1259,2024-12-30 10:42:56
케이크,17236,2024-12-29 22:16:56
아메리카노,14844,2024-12-30 10:28:56
카푸치노,17716,2024-12-30 09:54:56
케이크,1480,2024-12-29 21:51:56
카푸치노,9696,2024-12-30 15:42:56
카푸치노,22166,2024-12-30 06:30:56
케이크,27864,2024-12-30 09:18:56
케이크,27258,2024-12-30 01:07:56
아메리카노,12557,2024-12-29 18:44:56
케이크,29642,2024-12-30 03:11:56
카푸치노,17048,2024-12-30 04:10:56
카푸치노,10817,2024-12-30 13:04:56
카푸치노,7541,2024-12-30 05:11:56
아메리카노,4214,2024-12-30 15:34:56
케이크,10839,2024-12-29 23:26:56
아메리카노,14015,2024-12-30 13:45:56
카푸치노,7142,2024-12-30 14:16:56
케이크,22469,2024-12-29 17:52:56
케이크,4043,2024-12-30 07:52:56
케이크,28270,2024-12-30 16:23:56
카푸치노,23399,2024-12-29 22:47:56
카푸치노,9407,2024-12-30 00:53:56
카푸치노,11157,2024-12-30 05:33:56
케이크,27290,2024-12-29 21:19:56
케이크,28066,2024-12-29 21:19:56
카푸치노,6783,2024-12-29 17:22:56
케이크,14633,2024-12-30 10:32:56
아메리카노,8082,2024-12-29 18:09:56
카푸치노,1394,2024-12-30 15:39:56
카푸치노,12257,2024-12-30 03:13:56
카푸치노,19649,2024-12-30 15:27:56
카푸치노,6934,2024-12-30 00:03:56
아메리카노,20398,2024-12-30 01:49:56
아메리카노,17848,2024-12-29 18:37:56
케이크,1382,2024-12-30 12:10:56
케이크,21859,2024-12-30 08:51:56
카푸치노,1034,2024-12-30 16:58:56
카푸치노,21741,2024-12-29 19:20:56
아메리카노,12653,2024-12-30 15:34:56
카푸치노,26210,2024-12-30 11:34:56
아메리카노,9258,2024-12-30 00:06:56
케이크,6418,2024-12-30 14:18:56
케이크,6907,2024-12-30 13:29:56
카푸치노,8377,2024-12-29 19:48:56
아메리카노,15547,2024-12-30 16:27:56
아메리카노,13309,2024-12-30 03:18:56
카푸치노,21551,2024-12-30 16:29:56
케이크,5637,2024-12-29 18:04:56
아메리카노,24444,2024-12-30 15:45:56
아메리카노,10083,2024-12-30 01:54:56
카푸치노,20567,2024-12-30 01:20:56
케이크,10739,2024-12-30 00:00:56
카푸치노,7432,2024-12-30 15:09:56
케이크,25300,2024-12-30 01:29:56
카푸치노,17327,2024-12-30 16:18:56
아메리카노,4939,2024-12-30 06:42:56
케이크,13914,2024-12-30 15:07:56
아메리카노,5370,2024-12-30 03:50:56
아메리카노,17501,2024-12-30 08:06:56
케이크,21153,2024-12-30 14:14:56
카푸치노,19684,2024-12-30 00:56:56
아메리카노,25608,2024-12-30 04:11:56
카푸치노,1111,2024-12-30 01:13:56
케이크,17604,2024-12-30 07:57:56
아메리카노,4878,2024-12-30 16:30:56
케이크,11544,2024-12-30 09:26:56
아메리카노,19256,2024-12-29 19:05:56
