menu,price,order_time
광어회,29452,2024-12-30 16:03:56
연어초밥,4023,2024-12-29 18:48:56
참치회,14165,2024-12-29 22:00:56
연어초밥,12698,2024-12-30 13:56:56
참치회,2313,2024-12-30 14:42:56
연어초밥,4305,2024-12-29 21:01:56
연어초밥,1936,2024-12-29 18:30:56
광어회,16466,2024-12-30 03:02:56
연어초밥,12501,2024-12-30 17:15:56
광어회,17516,2024-12-30 09:20:56
광어회,20819,2024-12-30 16:48:56
연어초밥,15504,2024-12-29 20:51:56
광어회,24216,2024-12-30 03:31:56
연어초밥,19761,2024-12-30 10:53:56
광어회,15816,2024-12-30 13:37:56
광어회,25451,2024-12-30 15:17:56
광어회,2248,2024-12-30 05:28:56
광어회,14308,2024-12-29 22:56:56
참치회,28104,2024-12-30 05:26:56
광어회,14708,2024-12-30 08:47:56
참치회,5318,2024-12-30 03:15:56
참치회,25187,2024-12-30 14:31:56
광어회,14437,2024-12-30 03:38:56
연어초밥,26588,2024-12-30 13:33:56
연어초밥,4612,2024-12-30 05:06:56
광어회,12047,2024-12-30 11:43:56
참치회,14895,2024-12-30 17:18:56
연어초밥,26962,2024-12-30 02:46:56
광어회,27347,2024-12-30 14:50:56
연어초밥,18029,2024-12-29 21:03:56
광어회,24697,2024-12-30 15:15:56
연어초밥,15407,2024-12-30 10:43:56
연어초밥,15155,2024-12-29 22:56:56
참치회,12133,2024-12-30 12:14:56
광어회,16945,2024-12-30 04:54:56
광어회,16659,2024-12-29 23:37:56
참치회,25429,2024-12-30 12:09:56
광어회,25206,2024-12-30 02:31:56
광어회,21399,2024-12-30 08:32:56
참치회,26083,2024-12-29 18:54:56
광어회,1648,2024-12-30 09:16:56
참치회,15939,2024-12-29 21:09:56
연어초밥,22464,2024-12-29 17:40:56
연어초밥,28983,2024-12-30 04:53:56
광어회,6304,2024-12-29 21:27:56
참치회,9937,2024-12-30 05:48:56
광어회,25595,2024-12-30 06:26:56
연어초밥,25305,2024-12-30 09:32:56
광어회,1602,2024-12-30 07:08:56
연어초밥,7107,2024-12-30 08:22:56
광어회,20995,2024-12-30 07:19:56
광어회,21879,2024-12-29 18:32:56
광어회,4975,2024-12-30 02:50:56
광어회,11750,2024-12-29 19:25:56
광어회,25154,2024-12-30 02:46:56
연어초밥,9468,2024-12-30 03:46:56
참치회,11565,2024-12-30 12:23:56
광어회,9326,2024-12-30 14:36:56
광어회,18580,2024-12-30 02:44:56
참치회,5987,2024-12-30 13:53:56
광어회,25226,2024-12-30 08:54:56
광어회,5223,2024-12-30 05:30:56
참치회,24178,2024-12-29 18:07:56
광어회,25354,2024-12-30 03:52:56
참치회,13131,2024-12-30 03:49:56
참치회,1738,2024-12-30 04:05:56
광어회,22032,2024-12-30 04:41:56
참치회,2556,2024-12-30 08:54:56
연어초밥,27091,2024-12-30 01:32:56
연어초밥,10834,2024-12-30 10:00:56
연어초밥,7288,2024-12-30 03:53:56
연어초밥,16596,2024-12-30 05:48:56
연어초밥,29605,2024-12-30 09:55:56
광어회,16643,2024-12-30 11:44:56
연어초밥,20206,2024-12-30 02:41:56
광어회,27023,2024-12-29 19:36:56
참치회,27421,2024-12-30 17:15:56
참치회,29732,2024-12-29 18:15:56
참치회,29825,2024-12-30 01:27:56
연어초밥,22041,2024-12-30 05:52:56
연어초밥,1026,2024-12-30 02:33:56
연어초밥,4244,2024-12-30 14:45:56
광어회,21249,2024-12-30 04:15:56
광어회,3400,2024-12-30 08:02:56
광어회,6230,2024-12-30 10:30:56
참치회,2806,2024-12-29 19:44:56
연어초밥,8209,2024-12-30 12:44:56
연어초밥,23506,2024-12-30 12:23:56
연어초밥,22824,2024-12-30 07:10:56
참치회,24570,2024-12-29 20:03:56
연어초밥,6071,2024-12-30 07:34:56
연어초밥,1518,2024-12-30 02:21:56
광어회,26542,2024-12-30 08:19:56
참치회,10500,2024-12-30 05:05:56
광어회,27717,2024-12-30 04:45:56
연어초밥,15835,2024-12-29 22:10:56
광어회,4307,2024-12-30 06:39:56
광어회,3767,2024-12-30 05:43:56
광어회,14388,2024-12-29 23:40:56
참치회,24451,2024-12-30 08:12:56
