menu,price,order_time
카푸치노,24759,2024-12-30 07:54:56
케이크,11835,2024-12-29 18:49:56
카푸치노,17152,2024-12-29 22:09:56
케이크,9421,2024-12-29 19:34:56
카푸치노,21421,2024-12-29 19:56:56
아메리카노,11112,2024-12-30 14:43:56
아메리카노,24397,2024-12-30 15:21:56
케이크,10989,2024-12-30 13:55:56
아메리카노,21458,2024-12-29 21:34:56
카푸치노,4530,2024-12-30 04:25:56
카푸치노,17276,2024-12-30 02:09:56
케이크,17137,2024-12-30 08:52:56
아메리카노,17468,2024-12-30 02:56:56
아메리카노,26085,2024-12-30 08:42:56
카푸치노,10185,2024-12-29 18:49:56
케이크,8576,2024-12-30 09:31:56
카푸치노,4409,2024-12-30 07:58:56
아메리카노,25211,2024-12-30 02:59:56
아메리카노,15639,2024-12-30 11:36:56
아메리카노,9957,2024-12-29 22:07:56
케이크,1824,2024-12-30 01:36:56
아메리카노,28289,2024-12-29 17:53:56
케이크,7893,2024-12-30 15:10:56
케이크,12824,2024-12-30 08:56:56
카푸치노,9521,2024-12-30 13:20:56
아메리카노,17583,2024-12-30 05:46:56
아메리카노,5895,2024-12-30 08:08:56
케이크,29649,2024-12-29 18:07:56
아메리카노,28024,2024-12-30 13:08:56
카푸치노,15795,2024-12-30 16:51:56
케이크,10517,2024-12-30 13:54:56
아메리카노,18864,2024-12-29 21:14:56
케이크,25525,2024-12-30 12:02:56
아메리카노,25519,2024-12-30 05:36:56
케이크,28340,2024-12-30 17:02:56
케이크,4596,2024-12-30 11:19:56
카푸치노,23657,2024-12-30 05:01:56
카푸치노,2474,2024-12-30 08:57:56
케이크,12695,2024-12-30 16:43:56
케이크,27622,2024-12-29 19:25:56
아메리카노,20886,2024-12-30 14:18:56
케이크,8182,2024-12-30 08:11:56
아메리카노,23403,2024-12-30 09:09:56
카푸치노,29624,2024-12-30 06:58:56
케이크,18074,2024-12-30 12:48:56
아메리카노,10714,2024-12-30 06:19:56
아메리카노,3472,2024-12-30 06:08:56
케이크,20953,2024-12-29 23:01:56
케이크,11702,2024-12-30 08:03:56
아메리카노,7565,2024-12-30 01:23:56
카푸치노,2697,2024-12-30 14:02:56
케이크,11210,2024-12-30 13:30:56
케이크,2287,2024-12-30 15:24:56
케이크,1578,2024-12-30 13:37:56
카푸치노,1089,2024-12-29 21:36:56
카푸치노,20651,2024-12-30 09:33:56
아메리카노,29951,2024-12-29 23:13:56
케이크,9814,2024-12-29 23:27:56
카푸치노,2554,2024-12-30 15:18:56
케이크,15338,2024-12-30 11:08:56
카푸치노,13211,2024-12-30 06:33:56
카푸치노,19386,2024-12-30 07:39:56
아메리카노,21756,2024-12-30 12:39:56
카푸치노,18083,2024-12-29 17:39:56
카푸치노,19343,2024-12-30 09:46:56
카푸치노,15036,2024-12-30 04:06:56
아메리카노,4884,2024-12-29 18:57:56
케이크,3144,2024-12-29 18:20:56
카푸치노,25735,2024-12-29 22:36:56
카푸치노,10934,2024-12-30 10:42:56
카푸치노,16120,2024-12-30 15:15:56
아메리카노,21690,2024-12-29 18:34:56
카푸치노,27150,2024-12-29 22:57:56
아메리카노,17460,2024-12-30 07:40:56
카푸치노,19642,2024-12-30 08:58:56
아메리카노,3642,2024-12-30 00:45:56
케이크,13106,2024-12-30 10:34:56
케이크,16111,2024-12-30 15:43:56
카푸치노,11454,2024-12-29 17:43:56
카푸치노,26046,2024-12-30 16:02:56
카푸치노,13965,2024-12-30 05:20:56
케이크,27543,2024-12-29 17:25:56
케이크,4697,2024-12-29 18:38:56
카푸치노,11878,2024-12-29 20:02:56
카푸치노,18579,2024-12-30 01:33:56
케이크,6934,2024-12-30 09:35:56
케이크,11764,2024-12-29 21:50:56
카푸치노,5475,2024-12-30 05:25:56
아메리카노,15649,2024-12-30 07:37:56
카푸치노,7168,2024-12-30 15:22:56
아메리카노,24704,2024-12-30 17:08:56
케이크,15012,2024-12-29 19:47:56
케이크,23150,2024-12-29 20:33:56
케이크,29426,2024-12-30 12:51:56
아메리카노,4626,2024-12-30 14:04:56
케이크,5776,2024-12-29 23:05:56
아메리카노,20760,2024-12-30 01:30:56
아메리카노,27311,2024-12-30 13:14:56
케이크,6505,2024-12-29 21:09:56
케이크,24187,2024-12-29 21:46:56
